year,deux_DET gouttes_NOUN
1800,3.772997487772045e-07
1801,4.2146930434583396e-07
1802,3.065840985527757e-07
1803,2.84749516410443e-07
1804,4.7212351894643234e-07
1805,4.7191770136123523e-07
1806,4.2936868993592725e-07
1807,2.6476682180032185e-07
1808,1.880841375978548e-07
1809,3.343365131414089e-07
1810,3.8144065062084564e-07
1811,3.4096242984560376e-07
1812,4.107500668482089e-07
1813,3.795978971155023e-07
1814,3.052276928983133e-07
1815,3.101807020122749e-07
1816,2.1090195545525603e-07
1817,2.740097126974206e-07
1818,4.911525310902221e-07
1819,2.887943049145747e-07
1820,3.9990041500459483e-07
1821,4.87157511219749e-07
1822,2.526455205043021e-07
1823,2.707856143757681e-07
1824,3.4105505264392377e-07
1825,2.9674342272301146e-07
1826,3.329418163389164e-07
1827,2.8665719309373117e-07
1828,3.6414037118959186e-07
1829,4.792405299269831e-07
1830,4.279102672199997e-07
1831,4.864456286668428e-07
1832,5.899066688463961e-07
1833,5.270550857972012e-07
1834,4.50857843503627e-07
1835,4.099193731121886e-07
1836,3.9786839423072706e-07
1837,3.8964187965007113e-07
1838,3.2128904514650003e-07
1839,5.264580948960429e-07
1840,4.681721126331695e-07
1841,2.728733079493395e-07
1842,3.407798612187207e-07
1843,4.1939068751162267e-07
1844,2.8046548727900245e-07
1845,3.018903393936512e-07
1846,3.313647862768221e-07
1847,2.9069475715459703e-07
1848,3.2985409781360886e-07
1849,3.2009366002228035e-07
1850,3.910461643386043e-07
1851,4.533955468843942e-07
1852,4.1732595512655735e-07
1853,5.022394677922648e-07
1854,3.6473564968275696e-07
1855,4.4206784721723125e-07
1856,4.4886230377017e-07
1857,4.486106757184416e-07
1858,3.5283403398977953e-07
1859,3.9107892124690125e-07
1860,3.9272237550846967e-07
1861,3.928397882546619e-07
1862,4.197209273471003e-07
1863,3.521207618817357e-07
1864,4.15702901435111e-07
1865,5.055150751331894e-07
1866,3.6492096189277845e-07
1867,4.3190022047667753e-07
1868,3.8679213965053805e-07
1869,4.4733035586830283e-07
1870,4.220259777198976e-07
1871,3.749275476749858e-07
1872,4.529457218183097e-07
1873,6.339178497682951e-07
1874,4.690068200474684e-07
1875,6.791452449306234e-07
1876,4.601017327132695e-07
1877,5.974532246710851e-07
1878,5.604274520010222e-07
1879,5.388425119434714e-07
1880,4.960995116931599e-07
1881,5.675621110867723e-07
1882,5.776874250074115e-07
1883,4.992278022086793e-07
1884,5.18233211899144e-07
1885,5.098497695144033e-07
1886,4.49161099425055e-07
1887,5.634461892611853e-07
1888,6.004561825534438e-07
1889,5.431873741912341e-07
1890,4.5225266820381194e-07
1891,6.049134686492152e-07
1892,4.757800837751347e-07
1893,5.641109659393351e-07
1894,5.564259168977514e-07
1895,4.243123115088565e-07
1896,4.5878884513683715e-07
1897,6.607493414634291e-07
1898,4.62287589542143e-07
1899,4.062770155854878e-07
1900,5.440223560526647e-07
1901,5.711691439813649e-07
1902,3.9527785045123665e-07
1903,4.1905708503264805e-07
1904,3.686992737783612e-07
1905,4.871756487112577e-07
1906,4.995003246577312e-07
1907,4.906272597082761e-07
1908,4.159946680459825e-07
1909,5.060904850751058e-07
1910,5.130384543861055e-07
1911,4.745773676262388e-07
1912,4.3863327459092716e-07
1913,4.146937957472119e-07
1914,4.0917103660831344e-07
1915,3.9229938009199827e-07
1916,3.0215521151788494e-07
1917,3.849215020057528e-07
1918,4.11212273121464e-07
1919,3.8580883732208804e-07
1920,4.08143296937169e-07
1921,5.581115072317289e-07
1922,4.6333434156053954e-07
1923,4.490546050561761e-07
1924,3.674112845075683e-07
1925,3.4534278903208815e-07
1926,4.0571944026623896e-07
1927,3.8241839916963727e-07
1928,4.044818604498346e-07
1929,3.965984616272067e-07
1930,3.392664051915517e-07
1931,4.0831177727795875e-07
1932,4.942751132830381e-07
1933,4.2670863109606216e-07
1934,4.6967795519492483e-07
1935,4.524011316675569e-07
1936,4.073904005252871e-07
1937,4.2432069369269243e-07
1938,4.602650989227186e-07
1939,3.425867376449787e-07
1940,3.727600841330059e-07
1941,4.161618782916321e-07
1942,5.036791375090388e-07
