year,plusieurs_DET arts_NOUN,plusieurs_DET gares_NOUN
1800,7.766086334015654e-07,3.144164484325529e-09
1801,5.357660786131646e-07,0.0
1802,5.661735258399858e-07,0.0
1803,5.577970290104872e-07,0.0
1804,4.7212353271319785e-07,0.0
1805,4.093743901645297e-07,0.0
1806,2.9681191904273874e-07,0.0
1807,3.871858860193811e-07,0.0
1808,4.1922368332336646e-07,0.0
1809,7.635523013860279e-07,0.0
1810,3.112368620605821e-07,0.0
1811,4.512738200901367e-07,1.0028307073639553e-08
1812,2.853912830502736e-07,0.0
1813,2.990771328370556e-07,5.751483289628823e-09
1814,2.6746754855366817e-07,0.0
1815,1.6722785467493395e-07,0.0
1816,1.4832664518849015e-07,0.0
1817,4.1568520714463375e-07,0.0
1818,3.016057954496887e-07,0.0
1819,4.357792082743117e-07,0.0
1820,3.4650124192125986e-07,0.0
1821,3.471243843478078e-07,0.0
1822,3.8498363608141517e-07,0.0
1823,3.9333094969951077e-07,0.0
1824,2.4758071415220684e-07,1.6842225392110777e-09
1825,3.099516074911435e-07,0.0
1826,2.5366994194087056e-07,3.5231937367541377e-09
1827,2.1752764922666756e-07,0.0
1828,3.21947770887121e-07,1.8344602503717056e-09
1829,3.0263310835110246e-07,0.0
1830,2.6092088400986313e-07,0.0
1831,2.728461083734146e-07,0.0
1832,2.638344049898933e-07,9.470978667991403e-09
1833,2.050302256861869e-07,0.0
1834,2.0535968037194152e-07,9.334530925997342e-10
1835,3.494146625371286e-07,0.0
1836,2.2447305703110487e-07,7.392825018825988e-09
1837,1.405494008954733e-07,2.7831563720326358e-09
1838,2.0451403881516228e-07,6.312161904276081e-10
1839,2.1323999810363148e-07,6.9914751765765e-10
1840,1.5350949489345567e-07,1.2739377330817092e-09
1841,1.5794548735570402e-07,1.926164561183441e-09
1842,1.0599058430926789e-07,2.0124795163667386e-09
1843,1.4058448238873922e-07,0.0
1844,1.7673167462817219e-07,0.0
1845,8.258737693722651e-08,2.2320911785556063e-09
