year,beaux_ADJ ans_NOUN,beaux_ADJ gants_NOUN
1800,3.4900224932243873e-07,2.2009151834367913e-08
1801,2.1668761007731518e-07,9.524730337773235e-09
1802,9.175144555229053e-08,2.2378401354217203e-09
1803,1.8723255834629526e-07,3.900678446910888e-09
1804,1.359518080334965e-07,1.9774807569206132e-08
1805,2.302730877090653e-07,5.685755422035754e-09
1806,5.4751712497136396e-08,0.0
1807,1.3095993267597805e-07,1.1387820464392462e-08
1808,1.3369836437959748e-07,4.5321479902327155e-09
1809,7.454800510231507e-08,4.518061036407062e-09
1810,1.942305232205399e-07,3.510190182964834e-08
1811,1.0028307428910921e-07,2.5070767684098882e-09
1812,1.6269970615212515e-07,5.3344164641089264e-09
1813,2.1568062891219597e-07,5.751483289628823e-09
1814,8.181360300341112e-08,0.0
1815,3.506390555685357e-08,2.697223555614414e-09
1816,3.7081662185300956e-08,2.3176038865813098e-09
1817,1.4634609613040084e-07,0.0
1818,9.775365583664097e-08,8.344824387052086e-09
1819,1.4698491668241331e-07,2.070210003424222e-09
1820,8.42520151422832e-08,8.306536791735653e-09
1821,1.0453177878844144e-07,2.9584463767662328e-09
1822,1.4938167680611514e-07,5.012807946513931e-09
1823,1.2452186126665765e-07,6.917880934764753e-09
1824,1.717907025522436e-07,5.052667617633233e-09
1825,1.3912600138610287e-07,4.4027217427355936e-09
1826,1.1802698907104059e-07,4.403992281964975e-09
1827,5.7147094167930845e-08,2.7651818612639545e-09
1828,9.264024214417077e-08,2.0179061976932644e-08
1829,4.9724420136953995e-08,2.571952872898464e-09
1830,5.635891398014792e-08,5.218417697960831e-09
1831,9.978371906527173e-08,0.0
1832,1.461236678323985e-07,4.058990921151917e-09
1833,1.3437009727113036e-07,8.108539617524002e-09
1834,5.2273371409228275e-08,9.334531370086552e-09
1835,6.731148260996633e-08,1.8151411040889798e-08
1836,5.779845224651581e-08,4.704525213838906e-09
1837,5.6358917532861597e-08,4.174734336004349e-09
1838,8.521418237705802e-08,3.1560809521380406e-09
1839,3.775396706373613e-08,6.292327547896548e-09
1840,3.05745047057826e-08,3.1848443882154243e-09
1841,7.255219713897532e-08,2.5682194149112547e-09
1842,5.836190553054621e-08,4.024959032733477e-09
1843,3.721353891705803e-08,1.0041748765843295e-08
1844,3.841993034825464e-08,8.781698035420504e-09
1845,5.1896119401817487e-08,8.928364714222425e-09
1846,5.678866443759034e-08,6.439951683034906e-09
1847,2.6426796750911308e-08,5.393223645455691e-10
1848,4.827133182061516e-08,2.413566457803995e-09
1849,3.854530916669319e-08,1.6758829879393033e-09
1850,6.381656447729256e-08,3.394498016007219e-09
1851,2.579775504329973e-08,1.3543821175687754e-08
1852,3.2552726736412296e-08,5.859490670445666e-09
1853,3.822036376277538e-08,1.4332636411040767e-08
1854,3.4291385730966795e-08,1.0391328686409906e-08
1855,2.4942604426314574e-08,7.960405667972736e-09
1856,4.34883880018333e-08,6.212626857404757e-09
1857,4.5886185517929334e-08,9.763018171682347e-10
1858,4.3553715300959084e-08,2.4468380654951716e-09
1859,2.2914779407301467e-08,8.147477359443656e-09
1860,1.9224172476128842e-08,3.204028820036342e-09
1861,6.602348889828136e-08,7.545541969022906e-09
1862,6.912519268098549e-08,6.776979422085105e-09
1863,3.795911851511846e-08,2.4973103585068657e-09
1864,4.6029388300894425e-08,2.8768367688059016e-09
1865,2.9182434246877165e-08,2.8241067262513297e-09
1866,4.135770836910524e-08,7.784980660119345e-09
1867,3.299911810472622e-08,1.6014277903764196e-08
1868,3.754304245262574e-08,3.457911734727759e-09
1869,4.6393431318847433e-08,7.325278605918584e-09
1870,3.096386436141074e-08,6.307453670473251e-09
1871,2.973929724703339e-08,7.434824311758348e-09
1872,2.116568786902917e-08,1.1489944995446422e-08
1873,3.95076291681562e-08,5.387403856360606e-09
