year,aux_ADP arts_NOUN,aux_ADP gares_NOUN
1800,9.492232409868961e-06,3.144164484325529e-09
1801,6.767321032441487e-06,2.3811825844433088e-09
1802,6.494211845620157e-06,0.0
1803,7.22015596466008e-06,0.0
1804,6.491080696946483e-06,2.4718509461507665e-09
1805,7.110037023139171e-06,8.528632911009026e-09
1806,7.797796595099271e-06,0.0
1807,9.60847353326244e-06,2.8469551160981155e-09
1808,6.39712692063199e-06,0.0
1809,5.988689963487559e-06,6.7770917766551975e-09
1810,7.455644006171269e-06,0.0
1811,5.773797786545742e-06,1.0028307073639553e-08
1812,6.291944060876631e-06,0.0
1813,5.906773560937495e-06,0.0
1814,5.242364110813469e-06,0.0
1815,4.436932698581586e-06,0.0
1816,5.51126220216247e-06,0.0
1817,5.103430922304142e-06,1.556873407970727e-08
1818,4.667141027425714e-06,1.3113295338484932e-08
1819,5.145506875692263e-06,9.315945348475907e-09
1820,4.7655788080192e-06,3.5599443393152796e-09
1821,5.1703782375511764e-06,1.97229765852569e-09
1822,5.469976002814292e-06,1.0025615893027862e-09
1823,5.026334470414895e-06,9.882686669016039e-09
1824,4.880876732116235e-06,0.0
1825,6.023803607035916e-06,0.0
1826,5.874925456339497e-06,0.0
1827,6.737826716118889e-06,1.8434546111834038e-09
1828,5.504298016489884e-06,1.8344602503717056e-09
1829,5.674585082715566e-06,9.430493719264632e-09
1830,5.496037545071886e-06,7.305785310052215e-09
1831,4.755317764448819e-06,3.1182412207897414e-09
1832,4.849140797791307e-06,1.2176972319366541e-08
1833,4.679786020034271e-06,2.548398292390175e-08
1834,4.5113788909034724e-06,4.667265685043276e-09
1835,4.065916122897306e-06,1.8151411040889798e-08
1836,3.365079589201514e-06,1.4113575197427508e-08
1837,4.265187053320574e-06,5.5663127440652715e-09
1838,4.1319410399864864e-06,6.312161904276081e-10
1839,4.060648924664179e-06,1.6080392128969834e-08
1840,4.030738871563244e-06,3.3759349093998026e-08
1841,4.0353148307303854e-06,3.2102743574569104e-08
1842,4.245661074264717e-06,2.6162232824589182e-08
1843,3.979486013605538e-06,2.539971788451112e-08
1844,3.5774441826674774e-06,6.860701518007772e-08
1845,3.26443331033488e-06,1.1774280878062982e-07
1846,3.301353384443928e-06,1.1006462230511715e-07
1847,3.817323626975622e-06,1.1056108650819851e-07
1848,3.193148550906244e-06,6.114368744647436e-08
1849,3.0953558542989867e-06,5.027649052635752e-08
1850,3.6321129783800643e-06,6.924775863836885e-08
1851,3.092505846069571e-06,6.320450296470881e-08
1852,3.875727676572183e-06,3.7761164861649377e-08
1853,3.4583457058090517e-06,4.538668108011734e-08
1854,3.6463172250478237e-06,7.273930435758302e-08
1855,3.852305589191474e-06,7.164365101175463e-08
1856,3.835261829010506e-06,8.335274404025483e-08
1857,3.3199143771867057e-06,4.2469130545619294e-08
1858,3.3898493256856455e-06,5.921348078530286e-08
1859,3.293108463253702e-06,8.758538361242074e-08
1860,3.3207470337970335e-06,8.193159056757437e-08
1861,3.4332216429788787e-06,1.0045003051573076e-07
1862,3.5872811423587336e-06,1.088834694074059e-07
1863,3.5177115229600986e-06,9.190102279177381e-08
1864,3.4637113728308577e-06,1.740486182955081e-07
1865,2.7130251218920876e-06,1.1108152886407652e-07
1866,2.912069419380714e-06,7.298419424373037e-08
1867,3.0956084202671263e-06,1.3733457038256347e-07
1868,3.3487405168841633e-06,2.499576199355147e-07
1869,2.600962243803906e-06,1.1915786535254824e-07
1870,2.7454626554401784e-06,1.1353416917714299e-07
1871,2.5469584059578665e-06,3.558094441302728e-07
1872,2.7485156692819146e-06,3.737255748204049e-07
1873,2.5817636597480487e-06,2.627856042769494e-07
1874,2.5003739594353647e-06,3.130695267472561e-07
1875,2.5872744906507705e-06,2.3801552639923784e-07
1876,2.8428362384147476e-06,2.660246611885242e-07
1877,2.6866841658090834e-06,1.6204217379023333e-07
1878,2.631834853161763e-06,3.273186057750621e-07
1879,2.423569320342267e-06,2.2543409583519747e-07
1880,2.8912397027625047e-06,2.701913186520244e-07
1881,2.861517032215488e-06,4.5879100030177256e-07
1882,2.5090803035254794e-06,3.0348557289450184e-07
1883,2.661073523313462e-06,3.058560074653549e-07
1884,2.2762651497032493e-06,3.0565857578324085e-07
1885,2.0793621118286865e-06,3.54509961830729e-07
1886,2.11802678506956e-06,4.039868282124104e-07
1887,1.9717352337522698e-06,5.69322239574177e-07
1888,2.212874598228609e-06,2.904001406012213e-07
1889,2.364462602599815e-06,3.113773032192846e-07
1890,2.075774247600748e-06,4.489754630299103e-07
1891,2.2399008230422623e-06,3.257226537378699e-07
1892,1.8930907756953275e-06,4.3816900285875704e-07
1893,2.045210088397198e-06,4.89594130570481e-07
1894,2.00577994746709e-06,4.1086036484117017e-07
1895,1.8091954814281053e-06,4.062564720186401e-07
