year,ses_DET âges_NOUN,ses_DET ages_NOUN,ses_DET gages_NOUN
1800,1.4463157071986643e-07,3.144164484325529e-09,6.162562264933058e-07
1801,7.381665767525192e-08,0.0,4.881424282565661e-07
1802,2.2378401354217203e-08,2.2378401354217203e-09,7.317737242829025e-07
1803,1.8918289867997373e-07,3.900678446910888e-09,6.104561620645654e-07
1804,3.9549615138412264e-08,0.0,1.038177423140496e-06
1805,1.1087222873129576e-07,0.0,4.3780318037534016e-07
1806,3.7461699520235925e-08,0.0,5.475171178659366e-07
1807,4.27043254092041e-08,0.0,7.971474449419702e-07
1808,6.118399653587403e-08,0.0,9.154938958033654e-07
1809,6.551188391767937e-08,0.0,6.415646920387985e-07
1810,1.8721014072298203e-08,0.0,8.822278019238183e-07
1811,7.521229861140455e-09,0.0,1.2259604815767489e-06
1812,1.600324850414836e-08,5.3344164641089264e-09,5.841186005994814e-07
1813,3.738464116054274e-08,2.8757416448144113e-09,7.8795321556413e-07
1814,4.090680150170556e-08,3.1466771410748606e-09,1.0698701977673863e-06
1815,1.6183340889597275e-08,0.0,7.201586758043277e-07
1816,5.7940098940889584e-08,4.6352077731626196e-09,5.539073022475804e-07
1817,7.628679554727569e-08,3.113746815941454e-09,7.255030031183551e-07
1818,7.867976847819591e-08,1.1921177378582115e-09,7.498420562246366e-07
1819,9.522965882524659e-08,3.1053151161586356e-09,1.0216486767689048e-06
1820,6.170570543417853e-08,8.306536791735653e-09,7.736945768499481e-07
1821,2.859831660373402e-08,1.97229765852569e-09,8.618940885440907e-07
1822,3.909990198280866e-08,2.0051231786055723e-09,6.245958701356358e-07
1823,2.2730180404550993e-08,0.0,6.334802393759276e-07
1824,4.7158231097910175e-08,8.421112696055388e-10,8.555850463665138e-07
1825,6.956300069305144e-08,7.924898959288385e-09,7.555070280496068e-07
1826,2.8185549894033102e-08,5.284790383086602e-09,1.0305341904270904e-06
1827,8.664236617050847e-08,9.217273055917019e-10,7.604250402692969e-07
1828,3.760643352279658e-08,0.0,6.558195480010909e-07
1829,7.801590129474789e-08,8.57317605795771e-10,7.647272779465197e-07
1830,6.262101237552997e-08,0.0,7.608453316265695e-07
1831,7.795603096383275e-08,0.0,5.238645337524162e-07
1832,6.088486514954639e-08,1.3529969367098715e-09,7.130293617763073e-07
1833,1.1467792404573629e-07,0.0,5.270551017844127e-07
1834,8.961149688957448e-08,9.334530925997342e-10,7.308937870487142e-07
1835,1.013453783116347e-07,1.5126175867408165e-09,8.470658343640025e-07
1836,1.0954822471376247e-07,6.720750067579218e-10,5.658871504721219e-07
1837,9.671468603755784e-08,6.957890930081589e-10,8.697363576004591e-07
1838,6.375283589932224e-08,6.312161904276081e-10,1.3520650634646358e-06
1839,6.082583325905944e-08,1.3982950353153e-09,1.0067724058870908e-06
1840,7.38883869644269e-08,1.910906599622564e-09,7.006657760655344e-07
1841,6.292137300079048e-08,0.0,7.749601991235977e-07
