year,certains_DET âges_NOUN,certains_DET ages_NOUN,certains_DET gages_NOUN
1800,1.2576657937302116e-08,0.0,3.144164484325529e-09
1801,9.524730337773235e-09,0.0,0.0
1802,1.5664880947952042e-08,0.0,1.7902721083373763e-08
1803,3.315576790896557e-08,0.0,3.900678446910888e-09
1804,1.4831105232815389e-08,0.0,0.0
1805,1.7057266488151868e-08,0.0,4.264316544322355e-08
1806,2.305335300434308e-08,0.0,0.0
1807,8.540865792383556e-09,0.0,0.0
1808,9.064295980465431e-09,0.0,2.2660739951163578e-09
1809,1.3554183553310395e-08,0.0,0.0
1810,4.680253518074551e-09,0.0,0.0
1811,0.0,0.0,1.2535384286138651e-08
1812,0.0,0.0,2.6672082320544632e-09
1813,1.4378708002027452e-08,0.0,0.0
1814,5.034683425719777e-08,3.1466771410748606e-09,0.0
1815,3.506390555685357e-08,0.0,0.0
1816,1.1588019432906549e-08,0.0,0.0
1817,3.7364962679475866e-08,0.0,0.0
1818,2.384235475716423e-08,0.0,8.344824387052086e-09
1819,1.449147024601416e-08,0.0,1.3456364911235141e-08
1820,1.1866481131050932e-08,0.0,1.1866481131050932e-08
1821,3.94459531705138e-09,0.0,3.94459531705138e-09
1822,9.023054303725075e-09,0.0,1.303330066093622e-08
1823,1.2847493291445744e-08,0.0,4.941343334508019e-09
1824,1.1789557774477544e-08,0.0,3.3684450784221553e-08
1825,9.68598712347557e-09,0.0,7.044354433105582e-09
1826,4.403992281964975e-09,0.0,2.642395191543301e-09
1827,3.3182182335167454e-08,0.0,3.6869092223668076e-09
1828,6.420610709767516e-09,0.0,1.8344602503717056e-09
1829,1.3717081692732336e-08,0.0,5.143905745796928e-09
1830,1.7742620705973877e-08,0.0,1.0436835395921662e-08
1831,6.236482441579483e-09,0.0,0.0
1832,3.788391467196561e-08,0.0,0.0
1833,2.7800709290204395e-08,1.1583628500844156e-09,3.4750886612755494e-09
1834,4.200539072130027e-08,0.0,1.8669061851994684e-09
1835,3.2521278114927554e-08,7.563087933704082e-10,2.7983425354705105e-08
1836,1.5457725044409898e-08,0.0,3.36037508930076e-09
1837,2.1569462660409044e-08,0.0,1.2524203674146861e-08
1838,2.4617431648721322e-08,0.0,1.64116205070286e-08
1839,3.5656523067473245e-08,6.9914751765765e-10,8.38977065598101e-09
1840,3.503328827036967e-08,0.0,4.458782232319436e-09
1841,3.659712666248538e-08,0.0,4.494383976094696e-09
1842,3.018719141323345e-08,0.0,6.037438549100216e-09
1843,4.1939068662344425e-08,1.1813822142769936e-09,1.3585895075607368e-08
1844,1.3721403568922597e-08,0.0,7.1351298203126134e-09
1845,2.3436957263811564e-08,0.0,1.674068350610014e-08
1846,1.2879903366069811e-08,1.1709002656346001e-09,2.3418005312692003e-09
1847,1.294373674909366e-08,0.0,8.089835468183537e-09
1848,1.448139919091318e-08,0.0,1.930853166243196e-08
1849,1.1731181359664333e-08,8.379414939696517e-10,1.6758829879393033e-09
1850,1.9009188889640427e-08,0.0,0.0
1851,2.579775504329973e-08,0.0,0.0
1852,7.161600201754936e-09,0.0,1.3021090872200602e-09
1853,2.329053394589664e-08,5.971931837933653e-10,1.3735443005202796e-08
