year,aux_ADP oeufs_NOUN,aux_ADP gueux_NOUN
1800,6.917161954334006e-08,6.602745239447927e-08
1801,6.667310969987739e-08,9.524730337773235e-09
1802,4.699464284385613e-08,5.370816325012129e-08
1803,3.1400460898112215e-07,7.801356893821776e-08
1804,7.662737999680758e-08,1.0876144207472294e-07
1805,7.960057502032214e-08,9.097208630848286e-08
1806,8.645007376628655e-09,1.2103009794373065e-07
1807,1.4234775580490577e-08,9.11025637151397e-08
1808,1.8128592405020072e-08,5.89179238730253e-08
1809,4.518061036407062e-09,6.325285384356505e-08
1810,5.8503168531842675e-08,5.148278958699848e-08
1811,5.0141537144554604e-08,6.267691787797958e-08
1812,1.3336040716183106e-08,8.268345208506389e-08
1813,5.4639092583741444e-08,6.901779880941206e-08
1814,1.0698702368472368e-07,5.66401889834367e-08
1815,3.7761129112467984e-08,4.315557688983063e-08
1816,3.012885052555703e-08,6.025770105111405e-08
1817,5.916119061311065e-08,1.1053800985649787e-07
1818,3.814776827759658e-08,1.668964877410417e-08
1819,3.726378139390363e-08,4.7614828524444874e-08
1820,2.4919610375206958e-08,4.9839222526770754e-08
1821,5.916893086599373e-09,7.790575651256404e-08
1822,1.804610860745015e-08,8.221005032282847e-08
1823,3.656594182999129e-08,6.423746301553734e-08
1824,8.421112696055388e-09,2.5263338088166165e-08
1825,2.993850611865412e-08,4.050503688013407e-08
1826,1.673516958344834e-08,1.9377564886013943e-08
1827,9.032927417162995e-08,6.267745911170408e-08
1828,2.2013523004460467e-08,2.7516904255175945e-08
1829,1.371708191477694e-08,4.543783155286363e-08
1830,2.713577385016208e-08,3.026682349194232e-08
1831,3.1182412207897414e-09,5.9246584527272717e-08
1832,1.2176972319366541e-08,3.111892887819323e-08
1833,5.096796495962508e-08,1.621708034527103e-08
1834,4.760610750054184e-08,1.773560920348416e-08
1835,1.285724948729694e-08,4.386591001548368e-08
1836,2.2178474501366452e-08,3.0243374249394606e-08
1837,1.669893889832963e-08,4.0355766728339404e-08
1838,2.524864739505972e-08,3.282324279041404e-08
1839,3.705481832483315e-08,2.097442641790792e-08
1840,1.2739376997750185e-08,4.1402974382265256e-08
1841,2.1829864138567245e-08,4.365973138575896e-08
1842,1.2074877098200432e-08,2.2808101629578914e-08
1843,2.067418880535854e-08,1.949280581392543e-08
1844,3.0187086219601866e-08,5.927646212766646e-08
1845,1.0602433431206038e-08,4.017764060337825e-08
1846,2.4588905578326603e-08,3.629790756853879e-08
1847,3.235934187273415e-08,7.76624178300267e-08
1848,4.263967390283341e-08,6.999343127311874e-08
1849,3.192557191944445e-07,4.105913320451293e-08
1850,3.1229382635444836e-08,4.616517124134134e-08
1851,1.3543821397732358e-08,3.5471913406581734e-08
1852,1.2370036106545967e-08,3.385483604567696e-08
1853,2.1498954394516545e-08,4.956703381076011e-08
1854,1.1430461910322265e-08,4.520227969706525e-08
1855,1.0083180512765466e-08,8.384960636931282e-08
1856,1.656700471253103e-08,3.1063134675601844e-08
1857,1.2691923734209354e-08,5.418475101937048e-08
1858,1.810660127388175e-08,3.963877498458501e-08
1859,1.8841041837802663e-08,3.717286589655089e-08
1860,4.9433585891378584e-08,6.087654602637826e-08
1861,2.4523011954435958e-08,6.130752910893378e-08
1862,1.2198563326126788e-08,3.478849613935964e-08
1863,1.1487628237549785e-08,4.5950512728154536e-08
1864,2.0137857159596706e-08,5.2742006984018985e-08
1865,1.6003270930653457e-08,5.083391851901098e-08
1866,1.800276755448138e-08,2.2868380800122878e-08
1867,1.552899675516528e-08,3.008743121313273e-08
1868,2.1735446775750233e-08,3.951899274490245e-08
1869,2.051078074050139e-08,2.783605967948688e-08
1870,1.6055336615750093e-08,3.61245069413485e-08
1871,1.911811908783534e-08,2.1242354097950056e-08
1872,2.8422494247060115e-08,4.7773981881604755e-08
1873,1.975381419550004e-08,2.573981916498269e-08
1874,1.852128866941527e-08,2.330097642611051e-08
1875,1.773673402594156e-08,3.7762079130310156e-08
1876,1.6928840995689143e-08,5.139112757568398e-08
1877,2.3502301438327322e-08,4.08197848855707e-08
1878,1.5701630662334765e-08,4.0461894001975196e-08
1879,1.8327975470633362e-08,4.459807434464835e-08
1880,1.4119261759759638e-08,3.1447446646737376e-08
1881,1.6036767469529423e-08,3.277078630681274e-08
1882,2.4624924765959122e-08,1.8635077481121698e-08
1883,1.9589950550624735e-08,6.256145346217323e-08
1884,2.178559999066465e-08,1.5249920437554465e-07
1885,2.7716233141905633e-08,8.379326388308073e-08
1886,1.677900607344185e-08,7.93776057106399e-08
1887,2.1545451422966266e-08,3.9826440201284896e-08
1888,1.6485597775783845e-08,6.340614699951175e-08
1889,2.7566601890072207e-08,3.195219733242993e-08
1890,1.769684393471138e-08,3.4082809019508886e-08
1891,2.039750490734349e-08,4.143242993137619e-08
1892,2.1939793759528925e-08,5.5162908019212864e-08
1893,6.220000881018706e-08,3.75663404827975e-08
1894,2.7726772655611853e-08,2.5206157827639686e-08
1895,2.1667012406467734e-08,5.2963807117833994e-08
1896,4.304831285883992e-08,3.3023362155937264e-08
1897,2.5054868624252435e-08,2.330685511253705e-08
1898,1.923840697859447e-08,4.074015524935248e-08
1899,1.6029977345510815e-08,4.698441458117486e-08
