year,quelques_DET amas_NOUN,quelques_DET gamma_NOUN
1800,4.087413785214267e-08,0.0
1801,5.000483582762172e-08,0.0
1802,5.370816325012129e-08,0.0
1803,6.826187615160961e-08,0.0
1804,9.887403784603066e-09,0.0
1805,6.254330742194725e-08,0.0
1806,5.187004603612877e-08,0.0
1807,5.693910054560547e-08,0.0
1808,9.064295980465431e-09,0.0
1809,8.132509687897027e-08,0.0
1810,1.6380887313260928e-08,0.0
1811,1.504245972228091e-08,0.0
1812,3.7340916136940905e-08,0.0
1813,8.627225156487839e-09,0.0
1814,4.72001566720337e-08,0.0
1815,6.203614155708692e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,7.152706160695743e-08,0.0
1819,1.9666995143552413e-08,0.0
1820,6.882559233645225e-08,0.0
1821,9.861488514673056e-09,0.0
1822,6.817418807258946e-08,0.0
1823,4.842516521108564e-08,0.0
1824,4.6316120716483056e-08,0.0
1825,3.874394849390228e-08,0.0
1826,6.253669027067588e-08,0.0
1827,2.8573545918231247e-08,0.0
1828,2.659967357487858e-08,0.0
1829,5.744027797849327e-08,0.0
1830,4.487839233568991e-08,0.0
1831,5.3010101197514814e-08,0.0
1832,6.764984583629285e-08,0.0
1833,6.83434073778244e-08,0.0
1834,5.2273371409228275e-08,0.0
1835,4.9916380362446944e-08,0.0
1836,3.4947900573456536e-08,0.0
1837,2.0177884252348122e-08,0.0
1838,2.2092566664966284e-08,0.0
1839,3.495737477265948e-08,0.0
1840,2.8663599938028028e-08,0.0
1841,5.072233255631886e-08,0.0
1842,1.9453969102301016e-08,0.0
1843,1.5357969118667825e-08,0.0
1844,1.756339607084101e-08,0.0
1845,9.48638767539478e-09,0.0
1846,3.9810608143397985e-08,0.0
1847,4.530307862182781e-08,0.0
1848,7.401603902001952e-08,0.0
1849,3.603148557296265e-08,0.0
1850,2.511928531845342e-08,0.0
1851,5.997978136385029e-08,0.0
1852,5.0782253735448535e-08,0.0
1853,5.1358615138497044e-08,0.0
1854,4.6241413143022214e-08,0.0
1855,3.6087172361476405e-08,0.0
1856,2.485050742961903e-08,0.0
1857,2.7824601733783538e-08,0.0
1858,5.3830437884982985e-08,0.0
1859,2.800695408922138e-08,0.0
1860,4.43986838405408e-08,0.0
1861,4.244367401984306e-08,0.0
1862,2.258993192505443e-08,0.0
1863,2.996772519026081e-08,0.0
1864,2.9247839705703882e-08,0.0
1865,3.059448794306974e-08,0.0
1866,4.670988484889449e-08,0.0
1867,5.338092634588065e-08,0.0
1868,6.37243768863982e-08,0.0
1869,6.836927057829456e-08,0.0
1870,6.020751275315206e-08,0.0
1871,5.947859449406678e-08,0.0
1872,3.9912439575573444e-08,0.0
1873,8.32054594113174e-08,0.0
1874,9.380136134495842e-08,0.0
1875,6.293679888358383e-08,0.0
1876,6.106474748079904e-08,0.0
1877,4.4530676479581643e-08,0.0
1878,6.461825186043768e-08,0.0
1879,5.254019908029761e-08,0.0
1880,6.09695396391885e-08,0.0
1881,4.950480536614066e-08,0.0
1882,5.257754365217693e-08,0.0
1883,4.2339570072158494e-08,0.0
1884,4.291103028464249e-08,0.0
1885,3.545099547253017e-08,0.0
1886,8.454037692118277e-08,0.0
1887,6.724792300794036e-08,0.0
1888,4.818867083145051e-08,0.0
1889,5.325366192465708e-08,0.0
1890,7.144281521931362e-08,0.0
