year,leurs_DET gouttes_NOUN
1800,1.5720821977538435e-08
1801,0.0
1802,0.0
1803,1.5602713787643552e-08
1804,0.0
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,1.9765373782121287e-09
1824,1.8526447931321854e-08
1825,1.7610886082763955e-09
1826,8.80798411984074e-09
1827,0.0
1828,9.172301251858528e-10
1829,1.714635211591542e-09
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,0.0
1834,2.8003592777992026e-09
1835,6.050470346963266e-09
1836,2.688300027031687e-09
1837,1.3915781860163179e-09
1838,5.049729523420865e-09
1839,1.4682098203877558e-08
1840,8.917564464638872e-09
1841,1.2841097074556274e-09
1842,2.0124795163667386e-09
1843,6.497602011990011e-09
1844,1.097712254427563e-09
1845,8.37034175305007e-09
1846,1.7563503984519002e-09
1847,2.1572894581822766e-09
1848,3.218088684420195e-09
1849,1.6758829879393033e-09
1850,3.394498016007219e-09
1851,1.096404611544699e-08
1852,1.9531636308300904e-09
1853,1.0749477752369785e-08
1854,5.715230788627679e-09
1855,1.4328730202350926e-08
1856,3.1063134287023786e-09
1857,1.757343248698362e-08
1858,9.787352039936081e-10
1859,5.601390462572908e-09
1860,1.052752293673187e-08
1861,4.715963730639317e-10
1862,4.066187830886747e-09
1863,1.548332484446746e-08
1864,2.8768367688059016e-09
1865,6.589582213223366e-09
1866,6.811858188626729e-09
1867,1.455843445796745e-09
1868,2.4699369660652337e-08
1869,3.4184632902167778e-09
1870,1.3761717099214366e-08
1871,7.434824311758348e-09
1872,2.4189357183956872e-09
1873,1.1972008939764578e-09
1874,0.0
1875,5.721527140956084e-10
1876,3.627608879952504e-09
1877,2.040989244278535e-08
1878,4.22736201599605e-09
1879,1.5273313280772527e-08
1880,1.1552122813895949e-08
1881,1.5339516323820135e-08
1882,4.6587693702804245e-09
1883,8.21514056781325e-09
1884,1.1222884843675729e-08
1885,1.2246707647989297e-08
1886,1.4197620856748472e-08
1887,1.4363634337488662e-08
1888,1.0779045211961602e-08
1889,7.51816386923565e-09
1890,7.209825292342487e-09
1891,7.649063604731055e-09
1892,1.2537024751679837e-09
1893,5.542574843531156e-09
1894,9.452309157609307e-09
1895,3.0093072478365457e-09
1896,1.179405795248556e-09
1897,6.992056267307589e-09
1898,3.3950129374460403e-09
1899,9.39688327150634e-09
1900,7.786579381274805e-09
1901,1.676621685930968e-08
1902,4.910283735171106e-09
1903,4.860198243861191e-09
1904,2.6873125946735854e-09
1905,6.192911072844254e-09
1906,8.230695236477459e-09
1907,1.1314255643490867e-08
1908,1.1787334219803824e-08
1909,1.1001967337165297e-08
1910,1.0153886620400954e-08
1911,4.788336838146279e-09
1912,1.0418842677495377e-08
1913,1.6439267336298968e-08
1914,4.68772043404897e-09
1915,5.890381071793627e-09
1916,2.6369908923129515e-08
1917,5.9218692172180454e-08
1918,2.6418666365657373e-08
1919,9.207848317149825e-09
1920,3.028892692213958e-09
1921,3.0290989716519334e-09
1922,1.4018077088007175e-08
1923,1.0615948120573648e-08
1924,9.02413699321869e-09
1925,4.399271169575059e-09
1926,5.57306911730393e-09
1927,2.2298449753321847e-09
1928,6.8556245125250825e-09
1929,5.570202965543558e-09
1930,7.352522590764465e-09
1931,7.983749661377715e-09
1932,8.767629289252454e-09
1933,1.605892663292252e-08
1934,7.188948103475923e-09
1935,1.196828414151696e-09
1936,1.2124714565686645e-09
1937,1.510934133364117e-08
1938,3.8895642262559704e-09
1939,1.5294050470515685e-09
1940,0.0
1941,1.1806010391524069e-08
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,2.5705489292704442e-08
1945,2.178504043826024e-09
1946,6.960552134671616e-09
1947,1.1920870957027319e-09
1948,1.0871887834440486e-09
1949,2.945102384188658e-09
1950,7.444753258312176e-09
1951,2.1322803522849654e-09
1952,4.2179215675730575e-09
1953,5.386913581872932e-09
1954,3.9090144454689835e-09
1955,3.754243138587299e-09
1956,4.360570571293465e-09
1957,0.0
1958,1.3235589513271862e-08
1959,3.8753737996444215e-09
1960,4.844583401109048e-09
1961,2.0844477810477713e-09
1962,1.585489073363533e-08
1963,7.1126584622049904e-09
1964,6.083968440151466e-09
1965,6.0192477668863376e-09
1966,8.308612464702492e-09
1967,4.437302081328198e-09
1968,3.5931326802796093e-09
1969,4.087581828571274e-09
1970,5.978342709767048e-09
1971,9.762954888969944e-09
1972,5.643161493651405e-09
1973,4.410563025913916e-09
1974,4.500457340128605e-09
1975,2.8557400888473694e-09
1976,2.856763492431469e-09
1977,1.7630346071939584e-09
1978,7.128709622605811e-09
1979,1.1703946700691858e-09
1980,7.95921106799824e-09
1981,2.5302198114474095e-09
1982,4.345251713999687e-09
1983,4.4207211225000265e-09
1984,5.219107812592938e-09
1985,5.414002135495366e-09
1986,5.395036861699509e-09
1987,3.6664902225425067e-09
1988,8.994830547059962e-09
1989,9.878619700032232e-09
1990,3.814055737905164e-09
1991,1.1722930404189924e-09
1992,2.2039776670368383e-09
1993,5.539207315052863e-09
1994,3.164955852952289e-09
1995,4.3379608238858225e-09
1996,4.270473752399084e-09
1997,3.835915585170824e-09
1998,7.629006759657386e-09
1999,1.8280804647829996e-09
2000,1.7672125984802278e-09
2001,2.6287270138425356e-09
2002,7.009954283709874e-09
2003,6.250384210204629e-09
2004,3.9643119897903034e-09
2005,3.602999676388663e-09
2006,7.41220168576362e-09
2007,7.589511158423434e-09
2008,6.386159323579221e-09
2009,5.245011536203492e-09
2010,2.8342759250676863e-09
2011,5.353560705856353e-09
2012,7.489356051992857e-09
2013,8.925200134513034e-09
2014,7.579058228235347e-09
2015,8.86630147078904e-09
2016,1.0563834390575622e-08
2017,8.04995595182767e-09
2018,1.3165479928467505e-08
2019,8.673358642408147e-09
