year,autres_ADJ oeufs_NOUN,autres_ADJ gueux_NOUN
1800,2.2009151834367913e-08,6.288328968651058e-09
1801,4.0480102825313224e-08,7.143547975374531e-09
1802,3.5805442166747525e-08,0.0
1803,5.655983770225248e-08,0.0
1804,9.887403784603066e-09,0.0
1805,8.528632911009026e-09,0.0
1806,8.645007376628655e-09,2.881669125542885e-08
1807,0.0,0.0
1808,0.0,1.8128591960930862e-08
1809,2.259030518203531e-09,9.036122072814123e-09
1810,0.0,5.616304221689461e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,5.3344164641089264e-09
1813,0.0,1.7254450312975678e-08
1814,0.0,0.0
1815,5.394447111228828e-09,2.1577788444915313e-08
1816,0.0,0.0
1817,6.227493631882908e-09,1.8682481339737933e-08
1818,3.5763532135746345e-09,2.384235475716423e-09
1819,1.7596784473994376e-08,1.7596784473994376e-08
1820,0.0,2.3732962262101864e-08
1821,2.9584463767662328e-09,6.607196922914227e-08
1822,2.0051231786055723e-09,1.9048670196752937e-08
1823,9.882686891060644e-10,3.360113609574e-08
1824,9.263223965660927e-09,7.57900142644985e-09
1825,3.522177216552791e-09,2.1133063299316746e-08
1826,1.7615968683770689e-09,4.403992281964975e-09
1827,9.217273055917019e-10,4.608636583469661e-09
1828,3.668920500743411e-09,2.659967357487858e-08
1829,8.57317605795771e-10,1.1145129263923081e-08
1830,0.0,7.305784865963005e-09
1831,0.0,6.236482441579483e-09
1832,0.0,8.117981842303834e-09
1833,3.4750886612755494e-09,2.0850531967653296e-08
1834,9.334530925997342e-10,1.5868701908061666e-08
1835,3.025235173481633e-09,3.781543966852041e-09
1836,2.688300027031687e-09,4.032449929525228e-09
1837,6.262101948095733e-09,8.349468672008697e-09
1838,4.418513555037862e-09,1.009945904684173e-08
1839,3.4957374772659477e-09,6.9914749545318955e-09
1840,0.0,1.7835128041099324e-08
1841,0.0,5.778493683550323e-09
1842,0.0,4.695785538189057e-09
1843,5.906911071384968e-10,2.3627644285539873e-09
1844,1.6465684371524958e-09,2.7442805805577564e-09
1845,2.7901139176833567e-09,3.9061593959388574e-09
1846,5.854501328173001e-10,1.7563503984519002e-09
1847,0.0,1.0786447290911383e-09
1848,5.63165514222419e-09,2.574471036353998e-08
1849,1.6758829879393033e-09,1.5920887719289567e-08
1850,3.394498016007219e-09,1.3577992064028876e-08
1851,1.2898877521649865e-09,1.2898877521649865e-09
1852,1.9531636308300904e-09,6.510545436100301e-10
1853,5.971931837933653e-10,1.0749477752369785e-08
1854,1.558699391779328e-09,3.117398783558656e-09
1855,0.0,7.960405667972736e-09
1856,1.0354378465748937e-09,3.1063134287023786e-09
1857,9.763018171682347e-10,9.763017949637742e-09
1858,0.0,1.9574704079872163e-09
1859,1.018434669930457e-09,6.619825576592575e-09
1860,4.577183909670879e-10,4.577183909670879e-10
1861,9.431927461278633e-10,1.8863854922557266e-09
1862,4.517986262886353e-10,2.710791813242963e-09
1863,4.994620828036034e-10,3.496234635136375e-09
1864,9.589455896019672e-10,9.109982990196386e-09
1865,4.706844358715045e-10,1.3179164648491337e-08
1866,2.432806400776144e-09,1.1677471434268227e-08
1867,0.0,6.308654931785895e-09
1868,4.93987406535723e-10,1.0867722721741302e-08
1869,4.883519144627257e-10,2.9301114867763545e-09
1870,5.734048791339319e-10,6.307453670473251e-09
1871,0.0,6.37270636261178e-09
1872,1.2094678591978436e-09,1.3304146229131675e-08
1873,0.0,3.591602570907071e-09
1874,5.974609140757536e-10,0.0
1875,2.8607636259891933e-09,4.005068943158108e-09
1876,3.627608879952504e-09,1.3905834261862537e-08
1877,1.8554447978047506e-09,1.5462040536817767e-08
1878,1.8117265465633636e-09,2.4156354694326865e-09
1879,3.0546627449723474e-09,1.2829582729523281e-08
1880,6.417846254436199e-10,8.984985200299889e-09
1881,4.183504653809678e-09,1.743126887276958e-08
1882,1.3310770263785798e-09,1.2645231528551903e-08
1883,2.5277355764075082e-09,4.423537092179686e-09
1884,1.9805090900604227e-09,9.242375753615306e-09
1885,0.0,1.2891271383708158e-09
1886,6.453463874400711e-10,7.744156815814307e-09
