year,leurs_DET arts_NOUN,leurs_DET gares_NOUN
1800,6.697070524808169e-07,0.0
1801,5.810085745849847e-07,0.0
1802,5.885519556159124e-07,0.0
1803,4.797834440850579e-07,0.0
1804,6.451530942808148e-07,0.0
1805,7.078765733581349e-07,0.0
1806,5.648071566000112e-07,0.0
1807,7.430552741993779e-07,2.8469551160981155e-09
1808,7.387401268488247e-07,0.0
1809,4.721373887406344e-07,0.0
1810,3.9314130306777884e-07,0.0
1811,6.117267474792243e-07,0.0
1812,6.107906767027771e-07,0.0
1813,5.780240712738305e-07,0.0
1814,4.310947678831667e-07,0.0
1815,4.234641099998271e-07,0.0
1816,4.403447402268057e-07,0.0
1817,6.04066890730337e-07,0.0
1818,3.3379297725844026e-07,0.0
1819,5.247982581835231e-07,0.0
1820,6.111237560446625e-07,0.0
1821,4.4080853101036155e-07,0.0
1822,4.661911532366503e-07,2.0051231786055723e-09
1823,3.251403942750031e-07,0.0
1824,4.244240940920463e-07,0.0
1825,5.820398083500322e-07,0.0
1826,5.443334156751689e-07,0.0
1827,5.281497443831995e-07,9.217273055917019e-10
1828,4.356843135155941e-07,0.0
1829,6.575626281812852e-07,0.0
1830,4.769634003309875e-07,0.0
1831,3.788663036630169e-07,0.0
1832,5.114328511801602e-07,0.0
1833,5.479056355284229e-07,1.1583628500844156e-09
1834,4.6579308410343856e-07,0.0
1835,3.5697774336540533e-07,7.563087933704082e-10
1836,3.884593628988853e-07,6.720750067579218e-10
1837,4.606123740202861e-07,6.957890930081589e-10
1838,3.017213447975564e-07,6.943378316748294e-09
1839,2.740658295863341e-07,1.0487212875887053e-08
1840,3.293129053894006e-07,7.0066574764382494e-09
1841,4.0706278525703965e-07,6.420548537278137e-10
1842,2.8174712429773763e-07,6.708265054555795e-10
1843,4.1112101367701825e-07,2.3627644285539873e-09
1844,3.8255273260290323e-07,1.2623690537338916e-08
1845,2.6952499787569195e-07,6.696273757711424e-09
1846,3.653208899834226e-07,5.269050973311096e-09
1847,2.9932391143461246e-07,1.5101026207275936e-08
1848,3.210043532653195e-07,1.287235473768078e-08
1849,2.279200925769942e-07,9.217356655710773e-09
1850,2.769910292244049e-07,1.1541293254424545e-08
1851,2.702314800817618e-07,7.739326512989919e-09
1852,2.8776610538905345e-07,2.6042181744401205e-09
1853,2.974021926505088e-07,1.0749477752369785e-08
1854,2.317266301066212e-07,2.5978321716024766e-09
1855,2.589785346174267e-07,1.0083180512765466e-08
1856,2.0656985633138447e-07,1.0872097000458325e-08
1857,2.1332195121459563e-07,6.8341128311999455e-09
1858,2.437050765080606e-07,1.2723557318849998e-08
1859,2.9789212807607157e-07,2.34239969643113e-08
1860,2.0002293132925786e-07,1.1442959468865865e-08
1861,2.48531297430965e-07,1.0846716413936974e-08
1862,2.8553672315467793e-07,2.755971628687348e-08
1863,2.3075148247730937e-07,2.447364266799923e-08
1864,2.2535221533281913e-07,5.6098315326380543e-08
1865,2.20280310436749e-07,2.3534221682552925e-08
1866,1.5034743816588758e-07,2.6274308950746672e-08
1867,2.3778775926075468e-07,2.038180824115443e-08
1868,1.9067913648029844e-07,3.754304245262574e-08
1869,1.7531834206607755e-07,5.371870948067681e-09
1870,1.8578318261575077e-07,1.77755516972411e-08
1871,1.1577083469660465e-07,1.1789506970671937e-07
1872,2.582214007063044e-07,6.349706183073067e-08
1873,1.7898153714668297e-07,2.334541804316359e-08
1874,1.6967889671093417e-07,5.556386639682387e-08
1875,1.9167115306029103e-07,6.923048090357042e-08
1876,1.831942544328058e-07,6.046014533467314e-08
1877,2.0409892576012112e-07,4.576763856789512e-08
1878,2.602847164467903e-07,5.314398165978673e-08
1879,2.034405275352924e-07,2.5659165459046562e-08
1880,1.7264006357819994e-07,2.759673911612026e-08
1881,1.9523021876910462e-07,3.6257038260600893e-08
1882,1.5972924272134037e-07,6.721938916598447e-08
1883,1.6051121171090088e-07,4.865891156669022e-08
1884,1.6438224825776615e-07,7.6579681262956e-08
1885,1.7467672686066749e-07,2.8360796378024133e-08
1886,1.251972037152882e-07,3.613939725255477e-08
1887,1.9586774158142362e-07,6.528924956228366e-08
1888,1.084245115912097e-07,5.0090857683926515e-08
1889,1.7918290384777436e-07,3.257871128425904e-08
1890,1.2125615267422063e-07,4.9813337454907014e-08
1891,1.389580031041504e-07,3.7607897240832244e-08
1892,1.209822917402903e-07,4.137218212463267e-08
1893,1.2994259190879376e-07,5.173069794750518e-08
1894,1.3359262940326744e-07,7.876924001948282e-08
1895,1.2338159649516456e-07,3.370423939941247e-08
1896,1.2501701873723903e-07,4.48174191092221e-08
