year,nouveaux_ADJ âges_NOUN,nouveaux_ADJ gages_NOUN
1800,3.144164484325529e-09,2.829747991484055e-08
1801,0.0,5.476719877606229e-08
1802,0.0,1.7902721083373763e-08
1803,1.950339223455444e-09,6.826187615160961e-08
1804,0.0,4.449331569844617e-08
1805,2.842877711017877e-09,7.391481915419718e-08
1806,0.0,5.76333825108577e-08
1807,0.0,2.8469550272802735e-08
1808,1.1330369531492579e-08,6.118399653587403e-08
1809,0.0,3.388545621874073e-08
1810,0.0,3.978215445954447e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,1.600324850414836e-08
1813,0.0,2.0130190847567064e-08
1814,0.0,9.440030979135372e-09
1815,0.0,1.3486118000116676e-08
1816,0.0,8.343373991692715e-08
1817,0.0,9.49692804397273e-08
1818,1.1921176934492905e-08,4.410835785506606e-08
1819,0.0,6.83169290027763e-08
1820,0.0,5.3399165977907614e-08
1821,0.0,5.719663320746804e-08
1822,4.010246357211145e-09,5.413832582235045e-08
1823,0.0,3.854247765389118e-08
1824,3.3684450784221553e-09,7.663212642228245e-08
1825,1.7610886082763955e-09,5.371320099811783e-08
1826,8.80798456392995e-09,3.2589543508265706e-08
1827,0.0,7.558163872545265e-08
1828,3.668920500743411e-09,2.109629271274116e-08
1829,1.0287811491593857e-08,5.058173968564006e-08
1830,5.218417697960831e-09,6.78394300734908e-08
1831,0.0,4.677361609140007e-09
1832,0.0,2.841293600397421e-08
1833,0.0,4.170106393530659e-08
1834,0.0,9.334531370086552e-09
1835,3.025235173481633e-09,3.100866052818674e-08
1836,0.0,3.293167694096155e-08
1837,6.957890930081589e-10,5.427154903259179e-08
1838,4.418513555037862e-09,4.7341213615936795e-08
1839,2.7965900706306e-09,1.5590990187774878e-07
1840,0.0,4.649872664685972e-08
1841,4.494383976094696e-09,6.099521243640993e-08
1842,1.2745703159566801e-08,3.3541326160957396e-08
1843,7.678984559333912e-09,3.4260082770742883e-08
1844,1.6465684371524958e-09,6.805815644383983e-08
1845,5.580227946389016e-10,8.7051553521178e-08
1846,8.196302303531411e-09,6.557041842825129e-08
1847,2.1572894581822766e-09,7.5505127483666e-08
1848,0.0,2.815827571112095e-08
1849,3.3517659758786067e-09,3.351765798242923e-08
1850,6.788996032014438e-10,6.517436190733861e-08
1851,5.159551008659946e-09,4.450112811582585e-08
1852,5.208436348880241e-09,6.901178295493082e-08
1853,5.971931837933653e-10,4.001194398028929e-08
1854,3.63696517347023e-09,4.2084881357595805e-08
1855,7.960405667972736e-09,6.262185792138553e-08
1856,3.6240324075009767e-09,5.1254172461767666e-08
1857,1.0251168802710708e-08,4.1980978693345605e-08
1858,1.9574704079872163e-09,8.710743060191817e-08
1859,7.638259802433822e-09,5.1940169498720934e-08
1860,1.373155145145688e-09,7.598125506547149e-08
1861,2.357981809808507e-09,6.602348889828136e-08
1862,1.8071945051545413e-09,5.828202276347838e-08
1863,6.493007020935693e-09,3.146611149418277e-08
1864,3.3563094525845827e-09,4.17141343689309e-08
1865,0.0,3.9066808454890634e-08
1866,0.0,5.2548617901493344e-08
1867,4.367530337390235e-09,8.007138774246414e-08
1868,3.457911734727759e-09,3.556709415875048e-08
1869,9.767038289254515e-10,2.9301114423674335e-08
1870,5.734048791339319e-10,5.9060702994884196e-08
1871,0.0,6.797553453452565e-08
1872,9.071008832961525e-09,4.172663992108028e-08
1873,0.0,3.8909028887701425e-08
1874,0.0,4.062734149101743e-08
1875,0.0,2.9751941355016243e-08
1876,6.04601479992084e-09,3.083467703390852e-08
1877,6.184815992682502e-10,2.5976227391311113e-08
1878,6.039088784604019e-09,3.140326043649111e-08
1879,0.0,4.459807456669296e-08
1880,3.2089231272180996e-09,5.198455355071019e-08
1881,6.972507571312292e-10,5.2293806618308736e-08
1882,1.9966155395678697e-09,3.128031167420886e-08
1883,6.319338941018771e-10,4.1707636455612374e-08
1884,4.621187876807653e-09,3.234831424947515e-08
1885,1.2891271383708158e-09,2.1915161241281567e-08
1886,6.453463874400711e-10,2.968593371122097e-08
1887,5.223139698529167e-09,3.982643903555072e-08
1888,3.804368819970705e-09,4.628648753168818e-08
1889,0.0,1.50363277384713e-08
1890,8.520702365899524e-09,2.4906668727453507e-08
1891,1.9122659011827636e-09,4.780665108228277e-08
1892,0.0,4.638699024894777e-08
1893,1.847525021858587e-09,4.8035648347877213e-08
1894,0.0,4.348062176973144e-08
1895,4.213029924926559e-09,3.7315409429083957e-08
1896,0.0,2.7716035688740703e-08
1897,0.0,4.136966680334808e-08
1898,0.0,2.772593887812036e-08
1899,6.633094074004475e-09,3.15071986278781e-08
1900,3.114631885736685e-09,1.661137005726232e-08
1901,1.1177477832191585e-09,1.1736351446245408e-08
1902,1.9641135384773634e-09,4.713872669981356e-08
1903,2.1600881083827517e-09,1.7280704867062013e-08
1904,0.0,5.105894018697654e-08
1905,0.0,3.509316215399849e-08
1906,2.0576738091193647e-09,2.623534101076075e-08
1907,3.599990305858114e-09,2.0057088434555226e-08
1908,9.822778146428846e-10,1.0313916831705683e-08
1909,2.2003934230241384e-09,1.7603147384193107e-08
1910,5.344150677544235e-10,1.6566866989364826e-08
1911,5.3203743632934675e-09,2.6601870928288918e-08
1912,2.6047106693738442e-09,3.438217888174222e-08
1913,5.30298971401777e-10,2.969674284258872e-08
1914,2.678697486047099e-09,4.218948390644073e-08
1915,0.0,4.712304768617059e-09
1916,1.0987462051303964e-09,1.8678685265172135e-08
1917,0.0,5.3735480065597585e-08
1918,2.2972752589112133e-09,3.445912710731136e-08
1919,0.0,3.498982437122322e-08
1920,4.543339038320937e-09,3.63467123065675e-08
1921,0.0,2.499006690470651e-08
1922,1.4755870969551665e-09,4.869437475463201e-08
