year,vos_DET airs_NOUN,vos_DET guerres_NOUN
1800,2.2009151834367913e-08,5.65949598296811e-08
1801,3.5717737434382e-08,5.714838380299625e-08
1802,3.3567602031325805e-08,7.384872446891677e-08
1803,5.265915836716317e-08,6.436119548425268e-08
1804,1.359518080334965e-07,4.2021466750696845e-08
1805,4.548604315424143e-08,3.127165504324125e-08
1806,1.0374009207225754e-07,4.034336598124355e-08
1807,1.7081730252499483e-08,4.839823652957875e-08
1808,4.75875534533543e-08,2.7192887941396293e-08
1809,1.3554183553310395e-08,3.388545621874073e-08
1810,1.0530570193623134e-07,5.3822915901946544e-08
1811,8.774768467390004e-08,3.760615285841595e-08
1812,6.134578844907423e-08,3.7340914360584065e-08
1813,6.039057609541487e-08,2.8757416004054903e-08
1814,9.125363398254649e-08,4.405347908686963e-08
1815,1.8880564667256294e-08,8.631115377966125e-08
1816,3.0128852301913867e-08,4.6352077731626196e-08
1817,7.472992091805963e-08,1.011967691866289e-07
1818,5.0068943213688044e-08,8.464035738953157e-08
1819,5.175524897538253e-08,7.866798057420965e-08
1820,7.950542535439808e-08,9.611849804969097e-08
1821,6.015507691969901e-08,6.508582117703554e-08
1822,2.5064039732569654e-08,6.917674966189225e-08
1823,5.731958552246397e-08,2.4706716672540097e-08
1824,3.8737119290033206e-08,7.242156563336266e-08
1825,5.459374818883589e-08,8.189062294938765e-08
1826,2.8185549894033102e-08,7.222546827279075e-08
1827,2.0278000945062047e-08,5.622536392024813e-08
1828,5.3199348259980184e-08,1.8344602836783963e-08
1829,3.0006116702452346e-08,4.115124596637543e-08
1830,6.575206312753323e-08,3.652892677230568e-08
1831,3.2741533706470705e-08,4.8332740476553226e-08
1832,4.058990832334075e-08,3.3824925083081325e-08
1833,4.749287596528262e-08,5.3284690437749305e-08
1834,2.893704542650255e-08,5.2273371409228275e-08
1835,5.218530674255817e-08,2.4958190181223472e-08
1836,2.822714967321005e-08,6.38471249203576e-08
1837,1.8090516529234435e-08,4.0355768504696243e-08
1838,3.787297009338886e-08,5.933432078997214e-08
1839,2.6567605448946097e-08,5.173691519644308e-08
1840,3.375935120342177e-08,7.962111109316439e-08
1841,3.5955072252846776e-08,3.852329122366882e-08
1842,6.439934541191406e-08,2.683306021822318e-08
1843,3.7804230856863796e-08,3.721353891705803e-08
1844,3.56756482688958e-08,3.622450345242001e-08
1845,5.6918324276011845e-08,6.138250796539069e-08
1846,4.9763260845381296e-08,5.503231292891542e-08
1847,3.020205241455187e-08,3.613459753637471e-08
1848,5.5512030749937935e-08,3.539897619475596e-08
1849,3.854530761238095e-08,6.954914510970411e-08
1850,5.159636806695289e-08,5.363306776473564e-08
1851,2.4507867735223954e-08,4.6435958189761095e-08
1852,4.5573818718835923e-08,2.278690836021724e-08
1853,4.060913649794884e-08,2.388772735173461e-08
1854,6.33871053423718e-08,4.8319680701069956e-08
1855,8.278822249963014e-08,2.4411910715116392e-08
1856,3.572260576234498e-08,2.847454005916461e-08
1857,5.272029879321849e-08,2.7336451324799782e-08
1858,5.1872966366772744e-08,3.76813069635773e-08
1859,4.786642771037464e-08,2.036869295451993e-08
1860,6.087654602637826e-08,4.119465657481669e-08
1861,4.810282866474225e-08,4.7631232291678316e-08
1862,3.885468324860142e-08,3.027050965442868e-08
1863,5.044567208400963e-08,3.296449690992631e-08
1864,6.856460954551835e-08,2.8288895115302637e-08
1865,4.7068444919418084e-08,3.153585759196886e-08
