year,nos_DET amas_NOUN
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,0.0
1803,3.900678446910888e-09
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,7.020380277111826e-09
1811,0.0
1812,0.0
1813,0.0
1814,9.440030979135372e-09
1815,0.0
1816,0.0
1817,1.0898113522728181e-08
1818,2.384235475716423e-09
1819,3.1053151161586356e-09
1820,1.1866481131050932e-09
1821,1.97229765852569e-09
1822,1.0025615893027862e-09
1823,2.9648061783404955e-09
1824,2.5263338088166165e-09
1825,8.805443041381977e-10
1826,3.5231937367541377e-09
1827,2.7651818612639545e-09
1828,3.668920500743411e-09
1829,2.571952872898464e-09
1830,7.305785310052215e-09
1831,4.677361609140007e-09
1832,8.117981842303834e-09
1833,6.950177322551099e-09
1834,3.733812370398937e-09
1835,2.2689263801112247e-09
1836,3.36037508930076e-09
1837,3.478945576063097e-09
1838,1.4517972601879592e-08
1839,2.0974426639952526e-09
1840,6.369688665408546e-10
1841,3.2102742686390684e-09
1842,4.695785538189057e-09
1843,1.1813822142769936e-09
1844,0.0
1845,1.674068439427856e-09
1846,1.6392604607062822e-08
1847,2.1572894581822766e-09
1848,4.02261068899179e-09
1849,3.3517659758786067e-09
1850,3.394498016007219e-09
1851,7.739326512989919e-09
1852,3.2552727180501506e-09
1853,5.971931837933653e-10
1854,4.1565315633818045e-09
1855,6.8990182455763716e-09
1856,2.5885946719483854e-09
1857,3.4170564155999728e-09
1858,2.4468380654951716e-09
1859,0.0
1860,2.288591982591015e-09
1861,2.357981809808507e-09
1862,3.162590411776023e-09
1863,8.990317823531768e-09
1864,3.835782358407869e-09
1865,8.47231973466478e-09
1866,1.9462451650298362e-09
1867,1.1161466417775046e-08
1868,6.421836395986702e-09
1869,3.906815315701806e-09
1870,6.880858549607183e-09
1871,3.18635318130589e-09
1872,2.4189357183956872e-09
1873,2.3944017879529156e-09
1874,3.5847653734322193e-09
1875,1.5448122780981066e-08
1876,7.255217759905008e-09
1877,4.9478527941460015e-09
1878,4.22736201599605e-09
1879,4.887460214320072e-09
1880,3.2089231272180996e-09
1881,4.8807553554297556e-09
1882,4.6587693702804245e-09
1883,2.274962085380139e-08
1884,9.902545450302114e-09
1885,6.445635580831777e-09
1886,1.2906927748801422e-09
1887,6.528924512139156e-09
1888,3.1703073499755874e-09
1889,6.265136853755848e-09
1890,5.243509182406569e-09
1891,4.461953917456185e-09
1892,8.149066310636499e-09
1893,1.847525021858587e-09
1894,3.780923574225881e-09
1895,3.0093072478365457e-09
1896,5.89702897624278e-10
1897,1.7480140668268973e-09
1898,5.092519295146758e-09
