year,trois_DET amas_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,1.7057265822018053e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,2.0873671680021744e-09
1831,0.0
1832,3.92369123858316e-08
1833,1.2741991461950875e-08
1834,8.401078055442213e-09
1835,8.31939672707449e-09
1836,8.064899859050456e-09
1837,1.461157062010443e-08
1838,3.787297142565649e-09
1839,5.5931801412612e-09
1840,1.2739377330817092e-09
1841,0.0
1842,0.0
1843,6.497602011990011e-09
1844,1.6465684371524958e-09
1845,0.0
1846,0.0
1847,1.5101026207275936e-08
1848,4.02261068899179e-09
1849,7.54147322368226e-09
1850,0.0
1851,5.8044946626978344e-09
1852,4.557382027314816e-09
1853,1.7318601663873778e-08
1854,5.195664454227256e-10
1855,4.2455496895854594e-09
1856,1.0354378687793542e-08
1857,5.857811125054013e-09
1858,1.1744822003834088e-08
1859,2.7497735421988523e-08
1860,4.577183909670879e-10
1861,4.715963730639317e-10
1862,7.228778020618165e-09
1863,4.994620717013731e-09
1864,7.1920918109924514e-09
1865,1.882737743486018e-09
1866,9.731225825149181e-10
1867,1.455843445796745e-09
1868,9.385760946223343e-09
1869,7.813630631403612e-09
1870,5.160643912205387e-09
1871,7.434824311758348e-09
1872,2.4189357183956872e-09
1873,7.183205141814142e-09
1874,1.3741600746186577e-08
1875,9.7265964171811e-09
1876,5.441413541973361e-09
1877,1.1132669008873108e-08
1878,6.039088673581716e-10
1879,9.774920317617841e-09
1880,2.5671385017744797e-09
1881,4.183504653809678e-09
1882,7.320923423037584e-09
1883,1.4534479397809719e-08
1884,1.5844072720483382e-08
1885,1.2891271161663553e-08
1886,1.097088819790315e-08
1887,2.2198344495905076e-08
1888,7.60873763994141e-09
1889,1.0024218788373673e-08
1890,1.3764211992395303e-08
1891,9.561330394092238e-09
1892,1.0656471260972467e-08
1893,1.6627724974682678e-08
1894,6.9316934414587195e-09
1895,3.0093072478365457e-09
1896,4.1279202278587945e-09
1897,5.826713334045053e-09
1898,1.640922953072277e-08
1899,1.492446166651007e-08
1900,1.038210584169974e-08
1901,3.129693859627025e-08
1902,1.718599307309887e-08
1903,1.5120615870500842e-08
1904,1.3436562973367927e-08
1905,9.28936660926638e-09
1906,1.9547901075611662e-08
1907,1.3371392326710918e-08
1908,1.3751889405000384e-08
1909,1.4852655993990993e-08
1910,1.0153886509378651e-08
1911,1.649316061502759e-08
1912,1.3544495303108306e-08
1913,1.856046477621831e-08
1914,6.027069510139427e-09
1915,3.534228465440492e-09
1916,0.0
1917,1.096642476827725e-08
1918,3.101321510712296e-08
1919,3.6831393490643904e-09
1920,1.514446346106979e-08
1921,7.572747762196741e-09
1922,1.1804696498085576e-08
1923,1.2739138188777588e-08
1924,5.156649773851996e-09
1925,9.898360353588487e-09
1926,7.802296586589819e-09
1927,1.1149224654616319e-08
1928,1.0283437212876834e-08
1929,4.4561625500705304e-09
1930,1.3654685049324655e-08
1931,2.2810713318222042e-09
1932,1.4247397928102146e-08
1933,9.176529758292418e-09
1934,1.1981580172459871e-08
1935,1.0771455727365264e-08
