year,des_DET ans_NOUN,des_DET gants_NOUN
1800,2.4210066706942257e-07,5.313638204995641e-07
1801,1.2144031291683177e-07,4.833800701931068e-07
1802,1.544109693440987e-07,6.310709181889251e-07
1803,1.677291692203653e-07,7.489302333851811e-07
1804,2.298821382140659e-07,6.377375441068978e-07
1805,2.2743021221849347e-07,6.083758345987178e-07
1806,9.221341379372916e-08,4.5818538296771294e-07
1807,1.7366426563469872e-07,4.7259453594961087e-07
1808,3.2178249620429256e-07,5.166648495702475e-07
1809,1.671682585691059e-07,7.296668753653535e-07
1810,1.6848911998934568e-07,5.943922154472148e-07
1811,3.4096242984560376e-07,8.24828262580013e-07
1812,1.1735716398675322e-07,3.600731046660144e-07
1813,2.1280487771946355e-07,4.6587013358134755e-07
1814,2.0453401017306305e-07,6.63948902968059e-07
1815,1.645306344499886e-07,2.778140242298832e-07
1816,1.7382028794088455e-07,5.86353776199644e-07
1817,1.603579571352043e-07,4.592776452483349e-07
1818,1.5497530236885382e-07,4.3989144060674334e-07
1819,1.387040714506682e-07,3.37444239661977e-07
1820,1.9342364865337913e-07,3.393813718943761e-07
1821,1.2031015916846854e-07,3.984041319071707e-07
1822,1.6843034700286807e-07,2.9976591520153306e-07
1823,1.6207605924023483e-07,5.81101995855704e-07
1824,2.5263338887526743e-07,2.7705461480564963e-07
1825,2.0164464720195951e-07,3.4429283424231016e-07
1826,1.655901114006042e-07,4.474455965741697e-07
1827,1.3457219222301475e-07,3.871254810050573e-07
1828,1.008953154912895e-07,4.2651201148657947e-07
1829,1.285976387599419e-07,4.157990412534396e-07
1830,1.4298465544904104e-07,4.414781624717534e-07
1831,7.171954852225326e-08,7.016042991025984e-07
1832,1.1500473751091533e-07,8.090921426173736e-07
1833,1.4711208606854598e-07,4.934625783548086e-07
1834,1.7642263561157279e-07,6.272804746743077e-07
1835,1.3084142835850798e-07,8.788308321072691e-07
1836,1.458402760223798e-07,4.791894756550619e-07
1837,1.1897993812404195e-07,5.496733610499405e-07
1838,1.117252639293298e-07,4.7467456809613395e-07
1839,1.244482580320394e-07,5.460341983010153e-07
1840,1.2293498929949465e-07,5.745459414896459e-07
1841,1.0016055718153893e-07,5.528092330564505e-07
1842,1.3148199817791806e-07,5.326362328972323e-07
1843,1.3585894986789526e-07,5.593844605300546e-07
1844,9.824524904722409e-08,5.428187130895878e-07
1845,1.5457230917448328e-07,5.820177939597215e-07
