year,vos_DET âges_NOUN,vos_DET gages_NOUN
1800,4.4018303668735825e-08,3.144164395507687e-08
1801,4.7623651688866175e-09,4.0480102825313224e-08
1802,4.475680270843441e-09,6.265952379180817e-08
1803,1.1702034896643454e-08,3.1205427575287104e-08
1804,9.887403562558461e-09,9.640218934237055e-08
1805,2.842877711017877e-09,4.8328921309348516e-08
1806,2.881669125542885e-09,6.916005901302924e-08
1807,4.27043254092041e-08,4.839823830593559e-08
1808,4.5321479902327155e-09,4.305540457494317e-08
1809,2.4849335034105025e-08,4.0662548883574345e-08
1810,7.020380277111826e-09,1.1466621430145096e-07
1811,2.0056614147279106e-08,2.757784400841956e-08
1812,5.3344164641089264e-09,1.8670457180292033e-08
1813,1.4378708002027452e-08,3.738464116054274e-08
1814,6.293354282149721e-09,4.405347908686963e-08
1815,0.0,3.776112933451259e-08
1816,0.0,6.489290882427667e-08
1817,1.556873407970727e-09,4.514932783195036e-08
1818,2.741870730460505e-08,4.530047559292427e-08
1819,3.415846561161118e-08,6.521161566297451e-08
1820,9.374520004712394e-08,5.6959109429044474e-08
1821,1.1833785507064931e-08,6.607196922914227e-08
1822,4.6117833107928163e-08,7.21844344298006e-08
1823,3.9530747564242574e-09,8.103803139647425e-08
1824,1.6842225392110777e-09,6.652679207519441e-08
1825,6.163809906922779e-09,7.57268097117958e-08
1826,5.284790383086602e-09,4.668231667892542e-08
1827,1.8434546111834038e-09,2.21214555007343e-08
1828,1.834460228167245e-08,4.219258542548232e-08
1829,8.573175946935407e-09,7.458663020543099e-08
1830,0.0,5.114049628218709e-08
1831,1.5591206548037917e-08,5.6128342862393765e-08
1832,2.976593194148336e-08,3.6530916958099624e-08
1833,9.266902800675325e-09,3.4750886612755494e-08
1834,3.733812370398937e-09,9.70791234067292e-08
1835,7.563087933704082e-09,6.882410019670715e-08
1836,3.36037508930076e-09,5.511014933290426e-08
1837,3.478945576063097e-09,5.914207434898344e-08
1838,3.787297142565649e-09,5.680945847075236e-08
1839,1.3982949909063791e-08,3.985140750728533e-08
1840,7.64362617644565e-09,3.503328827036967e-08
1841,3.852329122366882e-09,4.494383842867933e-08
1842,8.720745015011744e-09,3.6895456467789245e-08
1843,1.9492807368237663e-08,5.61156552891795e-08
1844,7.135129875823765e-09,7.464443285698508e-08
1845,7.254296274794569e-09,4.854798324460674e-08
1846,4.0981511517657054e-09,7.669396495657566e-08
1847,6.310071398729633e-08,5.3932236454556914e-08
1848,1.448139919091318e-08,5.712107409294731e-08
1849,8.379414939696517e-10,3.351765798242923e-08
1850,2.5798184921654865e-08,3.258718273002614e-08
1851,5.159551008659946e-09,3.805169046522394e-08
1852,3.1250618093281446e-08,3.841221785094717e-08
1853,1.2541057081705276e-08,6.151089881889504e-08
1854,1.714569253241649e-08,5.247620987747226e-08
1855,1.539011762474729e-08,5.837630823180007e-08
1856,1.9155599773057475e-08,2.9509979349029436e-08
1857,7.322263739784063e-09,5.3208449202202246e-08
1858,2.300027723833864e-08,5.627727428514362e-08
1859,8.147477359443656e-09,4.990329882659239e-08
1860,3.204028820036342e-09,3.3413442679375294e-08
1861,1.2733101534267988e-07,3.254015012998934e-08
1862,1.400575744270327e-08,3.930648165284545e-08
1863,7.991393324857654e-09,4.345320192555846e-08
1864,3.020678673859578e-08,5.465989827424522e-08
1865,1.8827377434860182e-08,4.659775815207823e-08
1866,2.6274309505858184e-08,4.2817393464122944e-08
1867,1.552899675516528e-08,2.620518202434141e-08
1868,1.0867722832763604e-08,2.667531973088444e-08
1869,2.3440891894210836e-08,5.1276952461876135e-08
1870,9.17447806614291e-09,4.1285152185821516e-08
1871,6.37270636261178e-09,3.7174120004479505e-08
1872,4.23313739617015e-09,4.958818233813389e-08
1873,6.584604750337064e-09,2.9331422624068182e-08
1874,1.1351757756017378e-08,5.317401985394099e-08
1875,1.716458131184595e-08,7.609631325067312e-08
1876,7.859819017852487e-09,2.418405875559415e-08
1877,5.566334504436554e-09,6.432208721207644e-08
1878,1.2078177347163432e-09,4.6500982398001156e-08
1879,2.443730107160036e-09,6.659164597522249e-08
1880,3.2089231272180996e-09,2.3746030253235517e-08
1881,1.3945015142624584e-09,3.834879080955034e-08
1882,3.9932310791357395e-09,5.324308105514319e-08
1883,9.479008689083912e-09,2.654122283063387e-08
1884,9.242375753615306e-09,3.234831424947515e-08
1885,7.7347630522695e-09,2.5782542323327107e-08
1886,2.774989432685615e-08,2.3232470169887165e-08
1887,3.2644623670918804e-09,2.480991434516966e-08
1888,3.1703073499755874e-09,2.9166827175686194e-08
1889,5.6386229019267375e-09,2.694008721659813e-08
1890,7.865263773609854e-09,4.7191583973926754e-08
1891,1.0198751843049081e-08,2.677172439291553e-08
1892,5.641661360300532e-09,3.384996816180319e-08
1893,1.2316833108982905e-09,4.126139085958158e-08
1894,1.2603078580752936e-09,1.6384001710889606e-08
1895,3.0093072478365457e-09,1.9861428057765806e-08
1896,1.0614652268259306e-08,2.0049897742069334e-08
1897,9.905413378419325e-09,2.855089675790623e-08
1898,4.52668391659472e-09,2.82917743676947e-08
1899,1.3818945987509323e-08,2.3768587098516036e-08
1900,5.710158568206225e-09,2.4397949105470218e-08
1901,4.470991132876634e-09,4.5827658112784775e-08
1902,5.401312119790447e-09,1.5712909029463873e-08
1903,1.296052865029651e-08,8.100330184390714e-09
1904,1.0749250378694342e-09,9.13686282189019e-09
1905,3.6125313851442797e-09,2.735202270232051e-08
1906,5.144184356264958e-09,2.0576738535282857e-08
1907,1.337139288182243e-08,1.07999713061524e-08
1908,1.0313917053750288e-08,2.259238951474174e-08
1909,1.595285298305882e-08,2.9705311987981986e-08
1910,8.01622590529405e-09,2.0842188419578633e-08
1911,8.51259862599818e-09,3.032613227205161e-08
1912,3.6465947483854677e-09,2.6568049094066737e-08
1913,2.121195885607108e-09,2.121195802340381e-08
1914,3.348371913070025e-09,2.1429579888376793e-08
1915,2.3561523843085297e-09,1.4136914638918086e-08
1916,1.867868548721674e-08,5.493730803607377e-09
1917,1.0966424435210342e-09,4.386569774084137e-09
1918,2.2972752589112133e-09,1.033773866510046e-08
1919,9.207848372660976e-10,2.301962176431971e-08
1920,9.086677632552664e-09,3.180337415642498e-08
1921,5.300923255902035e-09,3.332008802203745e-08
1922,1.4755870969551665e-09,1.623145884366295e-08
1923,5.307974060286824e-09,3.3971035318103304e-08
1924,9.02413699321869e-09,4.1253197746726755e-08
