year,énormes_ADJ amas_NOUN
1800,1.0690159513160324e-07
1801,5.2386017301842e-08
1802,3.5805442166747525e-08
1803,6.241085515057421e-08
1804,6.426812149129546e-08
1805,4.264316544322355e-08
1806,1.152667650217154e-08
1807,3.701041606518629e-08
1808,1.1330369531492579e-08
1809,2.0331274441787173e-08
1810,7.722418615685456e-08
1811,3.259199843341776e-08
1812,9.868670503010435e-08
1813,2.300593315851529e-08
1814,4.405347908686963e-08
1815,3.236668177919455e-08
1816,9.270415546325239e-08
1817,4.981994905506326e-08
1818,2.2650237241350624e-08
1819,5.900098543065724e-08
1820,4.153268307049984e-08
1821,1.2819934447350079e-08
1822,7.719724237631453e-08
1823,6.226093063332883e-08
1824,5.726356633317664e-08
1825,4.842993561737785e-08
1826,3.6112734136395375e-08
1827,4.3321183085254233e-08
1828,7.429564163885516e-08
1829,5.401101077495696e-08
1830,6.157733167810875e-08
1831,4.5214498811674275e-08
1832,7.84738247716632e-08
1833,8.456049016558609e-08
1834,3.733812548034621e-08
1835,6.504255622985511e-08
1836,4.2340726480460944e-08
1837,3.75726116885744e-08
1838,4.7341213615936795e-08
1839,4.6842885126352485e-08
1840,4.267691267045848e-08
1841,5.393260948949319e-08
1842,5.2324466537356784e-08
1843,3.6622846977252266e-08
1844,5.0494762149355665e-08
1845,6.082448322786149e-08
1846,3.7468808500307205e-08
1847,5.662884916546318e-08
1848,2.976732105253177e-08
1849,4.022119171054328e-08
1850,4.6844071732721204e-08
1851,1.0319102017319892e-08
1852,4.427170807730363e-08
1853,6.987160361404676e-08
1854,2.286092382064453e-08
1855,2.600399184871094e-08
1856,3.7793480345271746e-08
1857,3.9540225316159194e-08
1858,3.52344677878591e-08
1859,4.53203412575931e-08
1860,4.165237399433863e-08
1861,4.810283016354333e-08
1862,5.511943257374696e-08
1863,3.296449690992631e-08
1864,6.32904075814622e-08
1865,7.060266682401561e-08
1866,6.3252969084715e-08
1867,7.036576477048584e-08
1868,4.6928803953960596e-08
1869,4.0533208789383934e-08
1870,3.841812556970581e-08
1871,5.8416475212652585e-08
1872,7.196333484671413e-08
1873,6.405024777222934e-08
1874,5.257655999457711e-08
1875,5.9503882710032485e-08
1876,7.073837338111844e-08
1877,6.926993734168718e-08
1878,4.7708802242141246e-08
1879,5.9260454321474754e-08
1880,5.198455355071019e-08
1881,5.787181223126936e-08
1882,6.522277118392594e-08
1883,4.73950407808843e-08
1884,4.5551708183211304e-08
1885,6.1878104418156e-08
1886,6.647067607445933e-08
1887,2.0239665943222462e-08
1888,2.9166827175686194e-08
1889,5.5133202891965993e-08
1890,3.2771932723107966e-08
1891,5.928024648937935e-08
1892,3.63573704476039e-08
1893,5.049901474762919e-08
1894,4.600123659770361e-08
1895,3.972285611553161e-08
1896,3.833068973335685e-08
1897,4.311768009301886e-08
1898,4.0174320758978865e-08
1899,3.040167939616367e-08
1900,3.2703635355346705e-08
1901,4.0238919751800495e-08
1902,3.4863013809172116e-08
1903,5.562226945698967e-08
1904,4.192207825326477e-08
1905,6.605771574186292e-08
1906,6.224463078297049e-08
1907,6.788553008618692e-08
1908,5.893667065492991e-08
1909,3.850688656825696e-08
1910,4.8631772386897865e-08
1911,4.735132819178034e-08
1912,3.64659484830554e-08
1913,1.9090762748419365e-08
1914,2.9465672568562695e-08
1915,2.591767689352764e-08
1916,1.8678685265172135e-08
1917,1.7546279096336548e-08
1918,1.9526840588923733e-08
1919,3.222746869369075e-08
1920,3.256059599721084e-08
1921,3.559191341651058e-08
1922,4.943216680430851e-08
1923,1.9108707505210987e-08
1924,4.640984840875717e-08
1925,3.959344141435395e-08
1926,2.6750733184144337e-08
1927,3.0102906833917586e-08
1928,2.8565102283550914e-08
1929,3.8991423423340166e-08
1930,2.8359728787563654e-08
1931,2.737285598186645e-08
1932,1.753525857850491e-08
1933,2.867665571670841e-08
1934,2.2765002327673756e-08
1935,3.351119559624749e-08
1936,3.8799086610197264e-08
1937,3.021868266728234e-08
1938,4.537825049055755e-08
1939,3.976452944698394e-08
1940,6.593035806190528e-08
1941,5.017554371988808e-08
1942,2.4273694165799498e-08
1943,6.967764676346633e-08
1944,4.177142187700156e-08
1945,4.574858536443571e-08
1946,2.3665876369705074e-08
1947,2.8610090296865565e-08
1948,2.6092530802657166e-08
1949,1.8652315247891238e-08
1950,3.296961992305114e-08
1951,1.3859822622919182e-08
1952,2.2144087452602434e-08
1953,1.1851209791302608e-08
1954,2.14995790059902e-08
1955,2.1586897602787758e-08
1956,1.0465369904011368e-08
1957,2.1204090927540165e-08
1958,1.9026160202884057e-08
1959,1.9376869886400527e-08
1960,3.460416619915918e-09
1961,1.111705483225478e-08
1962,1.77574772664002e-08
1963,1.1638896069143811e-08
1964,1.5818317322668918e-08
1965,8.755269398363907e-09
1966,8.862519607077957e-09
1967,1.035370456037299e-08
1968,1.9313088017725022e-08
1969,1.4987801222332564e-08
1970,1.6555409487750694e-08
1971,1.3359833239690033e-08
1972,1.1799337507056862e-08
1973,1.2129047988196362e-08
1974,1.518904291231138e-08
1975,1.4849848462006321e-08
1976,8.570290255249802e-09
1977,1.4104276857551667e-08
1978,7.128709622605811e-09
1979,1.521513048885481e-08
1980,7.95921106799824e-09
1981,1.4548763971333756e-08
1982,8.069752865935698e-09
1983,1.705135410645653e-08
1984,7.538710988796993e-09
1985,2.4062232206745193e-09
1986,5.395036861699509e-09
1987,1.0388388815840699e-08
1988,7.195864348830128e-09
1989,5.488121956886971e-09
1990,1.4166492867673242e-08
1991,4.68917216167597e-09
1992,4.958949695321735e-09
1993,7.754890063438324e-09
1994,1.0549853435293244e-08
1995,5.964695848348356e-09
1996,7.473328622609188e-09
1997,5.274384040632185e-09
1998,4.7681290027412615e-09
1999,8.683382013430219e-09
2000,8.394259509714175e-09
2001,5.695575122643959e-09
2002,6.571832411594869e-09
2003,6.250384210204629e-09
2004,3.9643119897903034e-09
2005,4.503749373441224e-09
2006,4.529678854225949e-09
2007,7.589511241690161e-09
2008,4.257439734089985e-09
2009,3.814554005998616e-09
2010,7.558068837454357e-09
2011,5.7359579308524644e-09
2012,5.7872298064864935e-09
2013,7.80955033974351e-09
2014,8.228691505962615e-09
2015,1.5072712855612735e-08
2016,1.7813524877396958e-08
2017,7.798394818792076e-09
2018,7.228107001822082e-09
2019,9.183556137770665e-09
