year,des_DET âges_NOUN,des_DET ages_NOUN,des_DET gages_NOUN
1800,3.175606018146482e-07,2.829747991484055e-08,8.049061079873354e-07
1801,2.0001933620505952e-07,0.0,7.072111998240871e-07
1802,2.1483265300048515e-07,0.0,8.391900792048546e-07
1803,2.827991831821919e-07,7.801356893821776e-09,6.845690450063557e-07
1804,2.916784183071286e-07,4.943701892301533e-09,9.343596616417926e-07
1805,2.1037294750669844e-07,8.528632911009026e-09,8.585490718360234e-07
1806,3.4003695859041727e-07,0.0,7.895773137533979e-07
1807,1.7935816742919997e-07,5.693910232196231e-09,1.204262048304372e-06
1808,2.243413206315381e-07,2.2660739951163578e-09,7.636669465682644e-07
1809,1.874995396722312e-07,0.0,6.054201548977289e-07
1810,2.129515372928381e-07,0.0,9.454112159801298e-07
1811,2.381722890021365e-07,0.0,9.852811899691005e-07
1812,3.440698632672934e-07,5.3344164641089264e-09,7.654887781427533e-07
1813,2.933256553205865e-07,0.0,6.72923533784342e-07
1814,2.0453401816666883e-07,0.0,7.426157822010282e-07
1815,2.7781401268356376e-07,8.091670444798638e-09,7.336448106798343e-07
1816,4.1253348825875946e-07,9.270415546325239e-09,5.77083369535103e-07
1817,4.919719917007015e-07,3.113746815941454e-09,7.488561095669866e-07
1818,3.516747337783954e-07,0.0,7.701080448896391e-07
1819,1.8631890696951814e-07,3.105315005136333e-09,1.0123327456312836e-06
1820,2.2427649515321946e-07,1.1866481131050932e-09,1.2210608701934689e-06
1821,2.642878911274238e-07,5.9168929755770705e-09,1.1380157047824468e-06
1822,3.0076847679083585e-07,5.012807946513931e-09,8.471645287499996e-07
1823,2.520085287116558e-07,9.882686891060644e-10,1.0485530310688773e-06
1824,2.467386028826013e-07,1.6000114122505238e-08,8.842168313094589e-07
1825,4.0152820579564263e-07,0.0,9.81806920208328e-07
1826,2.686435358612016e-07,1.7615968683770689e-09,1.0983555966959102e-06
1827,2.9126583012129004e-07,6.452091139141913e-09,1.11068140995485e-06
1828,3.558852768037468e-07,5.503380751115117e-09,8.502723289893765e-07
1829,3.6435998440609296e-07,6.001223296081548e-09,9.850579090198153e-07
1830,3.266729482476194e-07,8.349468894053302e-09,1.2064982684023562e-06
1831,3.3365182083855416e-07,4.677361831184612e-09,1.1303624205538654e-06
1832,3.5177920232332127e-07,2.705993873419743e-09,9.633338322601048e-07
1833,4.4133624044206954e-07,1.50587168290528e-08,9.89241925708484e-07
1834,4.648596432232921e-07,1.4001796166951408e-08,1.0641365406627301e-06
1835,3.335321636654953e-07,5.294161553592858e-09,1.0195042250416009e-06
1836,2.6748584325275715e-07,8.064900081095061e-09,9.388887747263652e-07
1837,3.6250612289734363e-07,3.478945576063097e-09,9.504478839517105e-07
1838,3.18764162177132e-07,1.0730675015224733e-08,1.0269887980030035e-06
