year,autres_ADJ âges_NOUN,autres_ADJ ages_NOUN,autres_ADJ gages_NOUN
1800,1.0375742931501009e-07,0.0,1.8864987794131594e-08
1801,1.8096987730586989e-07,0.0,2.3811825844433088e-09
1802,1.6112448975036386e-07,0.0,2.2378401354217203e-08
1803,1.5992782209650613e-07,0.0,7.801356893821776e-09
1804,9.640218934237055e-08,0.0,4.943701981119375e-08
1805,8.812921237222326e-08,0.0,2.55858996212055e-08
1806,4.8988376022407465e-08,0.0,1.0662175498055149e-07
1807,3.131650672116848e-08,0.0,8.540865792383556e-09
1808,9.290903335568146e-08,0.0,4.5321479902327155e-09
1809,8.584316191218022e-08,2.259030518203531e-09,3.6144488291256494e-08
1810,1.0296557917399696e-07,0.0,1.6380887757350138e-08
1811,3.008491944456182e-08,0.0,0.0
1812,1.7870294755084615e-07,0.0,2.6672082320544632e-09
1813,1.35159851311073e-07,2.8757416448144113e-09,1.4378708002027452e-08
1814,1.541871768040437e-07,0.0,9.440030979135372e-09
1815,1.780167480092132e-07,0.0,5.394447111228828e-09
1816,4.6352077731626196e-08,0.0,1.622322720606917e-08
1817,7.7843672841027e-08,0.0,1.5568733857662664e-08
1818,1.192117764503564e-07,0.0,1.1921176934492905e-08
1819,1.511253344688157e-07,0.0,1.2421260464634543e-08
1820,2.0173017389879533e-07,3.5599443393152796e-09,3.678609061807947e-08
1821,1.272131981977509e-07,1.97229765852569e-09,7.198886464721e-08
1822,1.0426640528748976e-07,2.0051231786055723e-09,3.5089655625597516e-08
1823,8.004976592701496e-08,0.0,2.7671523739059012e-08
1824,1.5747480119898682e-07,1.6842225392110777e-09,5.642145595174952e-08
1825,7.836844417852262e-08,0.0,7.484626252107773e-08
1826,6.077509340229881e-08,0.0,3.787433300317389e-08
1827,8.019027575301152e-08,1.8434546111834038e-09,3.410390903013649e-08
1828,1.8986663974374096e-07,1.8344602503717056e-09,5.503380862137419e-08
1829,1.4660130887023115e-07,1.714635211591542e-09,5.572564276690173e-08
1830,1.0854309095975623e-07,0.0,2.0873670791843324e-08
1831,8.731075240575592e-08,1.5591206103948707e-09,3.1182412207897414e-09
1832,1.3394669906574563e-07,1.3529969367098715e-09,6.088486514954639e-08
1833,1.5290389399069682e-07,1.1583628500844156e-09,4.51761508202253e-08
1834,1.2508272106970253e-07,2.8003592777992026e-09,2.42697808516823e-08
1835,8.924443761770817e-08,0.0,3.554651328840919e-08
1836,1.1761312634916976e-07,1.3441500135158435e-09,2.755507466645213e-08
1837,1.5655254514967964e-07,2.7831563720326358e-09,4.383471363667013e-08
