year,des_DET oeufs_NOUN,des_DET gueux_NOUN
1800,6.75995366794524e-07,1.634965487440354e-07
1801,7.643596244832906e-07,9.524730160137551e-08
1802,7.272980724337685e-07,9.622712582313397e-08
1803,2.5042354536708444e-06,9.946729662146936e-08
1804,7.020056649320594e-07,5.9324420931261557e-08
1805,6.368045848414994e-07,1.0518647197699238e-07
1806,1.930718314113733e-07,6.916005901302924e-08
1807,2.4483813554354583e-07,5.693910054560547e-08
1808,1.8808413937421165e-07,6.345007363961486e-08
1809,2.2816208944398397e-07,7.228897858091443e-08
1810,2.854954681552613e-07,1.3338722881783838e-07
1811,1.4791753022436183e-07,1.0028307206866316e-07
1812,1.3069320115022265e-07,2.9339290108509886e-08
1813,3.0770436332261397e-07,4.6011867427253605e-08
1814,1.0195234145804477e-06,7.552024783308298e-08
1815,1.75319526007911e-07,5.1247248222807684e-08
1816,1.5064425440414198e-07,8.57513455798653e-08
1817,2.55327228915192e-07,1.4478922594207688e-07
1818,2.8730037815449805e-07,1.454383635746126e-07
1819,2.2461777915427916e-07,1.9666994433009677e-07
1820,8.781196214613374e-08,7.475883023744245e-08
1821,1.0650407566981102e-07,2.761216841840053e-07
1822,1.1830226753772877e-07,1.8447133243171265e-07
1823,9.685033042217128e-08,1.8184143790733742e-07
1824,1.389483594849139e-07,7.49479047712498e-08
1825,1.3384273800376434e-07,5.899646704499162e-08
1826,1.4268934023231594e-07,1.2859657827490878e-07
1827,3.235262795442395e-07,1.4563292083380475e-07
1828,1.48591282056465e-07,1.2932944548627034e-07
1829,1.4488668137468963e-07,1.2945495786453876e-07
1830,1.5863989943909473e-07,8.662573525164419e-08
1831,1.65266789364793e-07,2.447819360540393e-07
1832,1.4341767085035428e-07,2.9224733921751067e-07
1833,1.3437008417049867e-07,1.5985407242347094e-07
1834,1.3068343962530093e-07,2.0816004120405296e-07
1835,1.376482003934143e-07,1.0437061348511634e-07
1836,1.3508707175091672e-07,1.3979160140564773e-07
1837,1.3498307982473534e-07,1.3011256505546243e-07
1838,1.899960706541748e-07,8.395175088438123e-08
1839,1.22350813480665e-07,7.1313046690058e-08
1840,8.216898089719038e-08,1.0892167806586528e-07
1841,8.218302083307094e-08,8.025685493961987e-08
1842,1.2276124916610343e-07,9.726984329105903e-08
1843,9.687334251440305e-08,9.273850248847637e-08
1844,1.2459034215428488e-07,1.7179196826200283e-07
1845,1.0323421739677485e-07,5.301216510211759e-08
1846,8.840296894518929e-08,9.0159320009775e-08
1847,1.5047094237274905e-07,1.1487566631274149e-07
1848,1.0619692353275312e-07,9.493361563528424e-08
1849,1.4245005330870697e-07,4.2735015748363026e-08
1850,8.7578046148451e-08,1.4324781982821833e-07
1851,1.1866967120077732e-07,1.0641574110792362e-07
1852,8.789236183304183e-08,7.61733804921505e-08
1853,8.599581535762013e-08,8.53986279469865e-08
1854,6.234797461646124e-08,9.456109612004937e-08
1855,1.2948926197964283e-07,1.385110621754393e-07
1856,7.248064709530766e-08,1.449612931914146e-07
1857,8.103304849349513e-08,1.2984814734551264e-07
1858,5.62772732859429e-08,1.477890148038341e-07
1859,7.129042822739962e-08,1.4359929045859587e-07
1860,2.0643099157835465e-07,1.3502692972067187e-07
1861,8.630213615967719e-08,1.1082514528304444e-07
1862,7.138418592345097e-08,1.6671369762466526e-07
1863,6.642845851168033e-08,1.1088057960684239e-07
1864,5.609831521535824e-08,1.2753975930923644e-07
1865,5.6011446758486017e-08,1.736825558928956e-07
1866,5.4494866008614196e-08,1.2018064055041577e-07
1867,5.192508290008391e-08,1.3733457038256347e-07
1868,6.71822905085051e-08,1.452323036277292e-07
1869,5.762552635069085e-08,1.626211836303071e-07
1870,7.11022067889644e-08,1.1754800155472367e-07
1871,8.2845185600533e-08,1.348889546726184e-07
1872,7.256807366129436e-08,1.1973732094716638e-07
1873,6.764184790064576e-08,1.1433268215510495e-07
1874,8.961914049754327e-08,9.200897888028692e-08
1875,1.069925540941874e-07,1.7793949314004465e-07
1876,5.441413342133217e-08,1.686838064784979e-07
1877,9.091679553652199e-08,1.9296625275444512e-07
1878,9.783323362544394e-08,1.2984040048680257e-07
1879,6.292605003732632e-08,2.1688104490102944e-07
1880,7.637237398050445e-08,1.752071960847701e-07
1881,7.809208546483148e-08,1.582759274754153e-07
1882,1.0515508397368478e-07,1.317766209485427e-07
1883,1.0553296309057103e-07,1.061648919886693e-07
1884,7.2618664859192e-08,1.0694748731054915e-07
1885,6.123353768483497e-08,8.766064585330469e-08
1886,5.4209097932744754e-08,1.0583680631892634e-07
1887,9.336362533085563e-08,1.0250411808243598e-07
1888,7.608737284670042e-08,1.0271795503058456e-07
1889,1.2342319644087496e-07,9.084448526763822e-08
1890,6.161123400350021e-08,9.241684600924671e-08
1891,1.0581205045490094e-07,1.0517462722958726e-07
1892,1.1346007089407806e-07,9.214713125871299e-08
1893,1.98301009834978e-07,6.220000881018706e-08
1894,5.797416324782034e-08,7.813908498022215e-08
1895,7.162151538508965e-08,1.1796484700177245e-07
1896,5.661147717272996e-08,7.902018611671835e-08
1897,7.225125120413622e-08,8.798337380877541e-08
1898,9.958704505486082e-08,1.1656210952004642e-07
1899,7.904436927219649e-08,1.205012090110813e-07
1900,7.111742805765431e-08,1.1160764368245424e-07
1901,7.265360607577875e-08,5.979950779000376e-08
1902,8.93671647794747e-08,7.316323158423899e-08
1903,1.0206416622970949e-07,6.75027538310502e-08
1904,1.0265534200470938e-07,9.298101577570606e-08
1905,1.2282606465241486e-07,1.290189750591253e-07
1906,9.310974258269766e-08,1.558687854341656e-07
1907,1.2239967145388775e-07,8.84569046899486e-08
1908,1.051037288313239e-07,1.394834496792896e-07
1909,1.4907665457641883e-07,1.2377213209902038e-07
1910,1.239842983835615e-07,1.5444594803071254e-07
1911,1.4684232008121967e-07,1.3566953893651146e-07
1912,1.406543785331671e-07,1.245051644005457e-07
1913,1.3416564526025354e-07,1.00756808008029e-07
1914,1.6072185371474035e-07,1.0045115833579032e-07
1915,1.5314990431392062e-07,5.4191506282386115e-08
1916,1.1866459281861808e-07,9.778841381091752e-08
1917,1.2721051811936945e-07,1.129541704614212e-07
1918,1.1601240057501627e-07,8.729645895044769e-08
1919,1.0312789866517846e-07,7.73459286063094e-08
1920,1.5901686989394648e-07,1.1434070135152297e-07
1921,1.325230757909246e-07,1.1359121027121333e-07
1922,1.3722959768536214e-07,8.041949722814579e-08
1923,2.0170301073818564e-07,1.0297469632547518e-07
1924,1.5469948821955626e-07,6.961477061473431e-08
1925,2.2546265077139083e-07,9.128488009935154e-08
1926,1.9728665245910548e-07,9.474217321780998e-08
1927,2.2855911030461584e-07,1.1149225065398838e-07
1928,2.1937998884169474e-07,9.483614160643583e-08
1929,3.4758069178408846e-07,1.002636560443193e-07
1930,2.436835986330266e-07,1.1238855945894244e-07
1931,2.1328017130173293e-07,6.843213906648771e-08
1932,2.597410153626356e-07,8.329248135652279e-08
1933,2.420309617168215e-07,7.455930584043813e-08
1934,3.534566275220641e-07,1.3419370148426424e-07
1935,2.800578497996753e-07,8.976213372591246e-08
1936,2.7038113259436614e-07,1.2609702748633822e-07
1937,2.543405779320551e-07,7.051026373883218e-08
1938,2.2040864200434385e-07,4.0192164929564456e-08
1939,2.8446933519887807e-07,6.729382207026902e-08
1940,3.397949084327223e-07,8.875240520289651e-08
1941,3.3056830028854733e-07,8.854507571598447e-08
1942,3.5500276407418596e-07,5.76500234217292e-08
1943,2.6709764822108184e-07,1.6838764693716257e-07
