year,des_DET os_NOUN,des_DET gosses_NOUN
1800,3.93649384022865e-06,0.0
1801,3.559867906233194e-06,0.0
1802,2.31840249398374e-06,0.0
1803,3.7368498482237555e-06,0.0
1804,2.481738448523174e-06,0.0
1805,4.201773322165536e-06,2.842877711017877e-09
1806,3.279339523487579e-06,0.0
1807,3.21705925898641e-06,2.8469551160981155e-09
1808,1.7969966705777551e-06,0.0
1809,2.5323731023263463e-06,4.518061036407062e-09
1810,1.6006467333795626e-06,0.0
1811,1.6747272439943117e-06,0.0
1812,5.0810316949423395e-06,0.0
1813,2.464510671984499e-06,0.0
1814,2.1303004942296866e-06,3.1466771410748606e-09
1815,2.4409872310116043e-06,0.0
1816,2.9479920300445883e-06,0.0
1817,2.234113367194368e-06,0.0
1818,3.6574172099790303e-06,1.1921177378582115e-09
1819,2.151983224507603e-06,0.0
1820,2.0315414701599366e-06,0.0
1821,2.2839206188507433e-06,9.86148829262845e-10
1822,2.9535464136642986e-06,0.0
1823,2.7454104127855317e-06,0.0
1824,2.128015211155798e-06,0.0
1825,3.5406687572958617e-06,0.0
1826,1.8065175808601452e-06,1.7615968683770689e-09
1827,2.3771347024137413e-06,0.0
1828,2.5719133844859243e-06,0.0
1829,2.8891602710245934e-06,6.858540846366168e-09
1830,2.6812231226358563e-06,0.0
1831,2.5928175411138454e-06,0.0
1832,2.4462185308493645e-06,0.0
1833,3.178547729021375e-06,0.0
1834,3.236281926888296e-06,0.0
1835,3.4404486939365597e-06,7.563087933704082e-10
1836,2.440304299966556e-06,0.0
1837,3.0259868211146568e-06,0.0
1838,2.0224166021876044e-06,0.0
1839,2.4903635136297453e-06,0.0
1840,1.8784211501809978e-06,0.0
1841,2.3691823614058194e-06,0.0
1842,1.6529165023371206e-06,0.0
1843,2.049107418855556e-06,1.7720733769266417e-09
1844,1.7129799338988505e-06,0.0
1845,2.0373412326080143e-06,0.0
1846,1.6439440280180406e-06,0.0
1847,1.374732754300112e-06,5.393223645455691e-10
1848,1.7216774281791913e-06,8.045221711050488e-10
1849,1.7345388663159156e-06,8.379414939696517e-10
1850,1.6307168309026565e-06,0.0
1851,2.0238339200062683e-06,0.0
1852,1.6523764863052293e-06,0.0
1853,2.192296204128752e-06,0.0
1854,1.6636517656820615e-06,0.0
1855,2.0134520255510324e-06,0.0
1856,1.4154435064028803e-06,2.5885946719483854e-09
1857,1.6938836999713658e-06,0.0
1858,1.4994223072051227e-06,0.0
1859,1.6503733490935701e-06,5.092173349652285e-10
1860,1.9919903806453476e-06,0.0
1861,1.7614124008247245e-06,1.4147891747029462e-09
1862,1.589427558457146e-06,0.0
1863,1.7685952578005981e-06,0.0
1864,2.6088115347988605e-06,4.794727948009836e-10
1865,2.1303176929166057e-06,0.0
1866,2.041611121939013e-06,0.0
1867,2.9383772819358e-06,9.7056229719783e-10
1868,2.442767708998872e-06,0.0
1869,2.029102212475209e-06,0.0
1870,2.690415598749496e-06,0.0
1871,2.4131315186082247e-06,0.0
1872,2.296174749005786e-06,6.047339295989218e-10
1873,2.4189444083333456e-06,0.0
1874,2.4687085264929465e-06,0.0
1875,1.91728370424471e-06,0.0
1876,1.9407707334551105e-06,2.418405919968336e-09
1877,1.940795218757785e-06,0.0
1878,1.96753505932179e-06,0.0
1879,1.9916400972874726e-06,1.832797580370027e-09
1880,1.531298092771749e-06,5.776061406947974e-09
1881,1.805182193947985e-06,2.091752326904839e-09
1882,1.7317311602482732e-06,6.655385131892899e-10
1883,1.7504568532444864e-06,3.1596694705093853e-09
1884,1.6774912303674228e-06,2.6406787867472303e-09
1885,2.178624825432962e-06,3.8673814151124475e-09
1886,1.499784996639164e-06,1.2906927748801422e-09
1887,1.2672642952793467e-06,2.6115698492645834e-09
1888,1.3416740998195564e-06,4.438430289965822e-09
1889,1.6364537387403288e-06,1.2530273485467092e-09
1890,1.262374800248267e-06,3.2771931834929546e-09
1891,1.2340490496143275e-06,7.649063604731055e-09
1892,1.2875524717514963e-06,8.775916882086676e-09
1893,1.5519209473069395e-06,4.310891643655168e-09
1894,1.2628285190885435e-06,3.780923574225881e-09
1895,1.2127508295378675e-06,1.2639090440913492e-08
1896,1.1929689396339427e-06,4.1279202278587945e-09
1897,1.3174199295917788e-06,1.0488084178916779e-08
1898,1.191649563025976e-06,7.921697076085366e-09
1899,1.2829509064005151e-06,5.527578395003729e-09
1900,1.2193783653913215e-06,7.26747462209687e-09
1901,1.1227776521849364e-06,6.706486588292648e-09
1902,1.000715890597803e-06,6.383369055562582e-09
1903,1.209109308675238e-06,1.0260418736862675e-08
1904,1.0233286111827056e-06,1.6123875568041512e-08
1905,1.1136917565934823e-06,1.4966200723165457e-08
1906,1.1497252074832431e-06,1.5946971521074715e-08
1907,1.0820542897249652e-06,2.3657079850636364e-08
1908,1.161052409770491e-06,2.897719619809891e-08
1909,9.813754520138218e-07,3.080550925460557e-08
