year,mêmes_ADJ amas_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,4.290746247193056e-08
1804,7.4155526164076946e-09
1805,2.842877711017877e-09
1806,0.0
1807,8.540865792383556e-09
1808,0.0
1809,1.581321384946932e-08
1810,9.360507036149102e-09
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,3.163315653864629e-08
1814,0.0
1815,0.0
1816,6.952811659743929e-09
1817,3.42512151974006e-08
1818,3.5763532135746345e-09
1819,6.210630232317271e-09
1820,1.1866481131050932e-09
1821,0.0
1822,1.7043547018147365e-08
1823,0.0
1824,5.894778887238772e-09
1825,3.522177216552791e-09
1826,1.4092774947016551e-08
1827,0.0
1828,9.172301251858528e-10
1829,1.7146351893870815e-08
1830,2.400472176589119e-08
1831,3.1182412207897414e-09
1832,2.705993873419743e-09
1833,8.108539617524002e-09
1834,8.401078055442213e-09
1835,2.2689263801112247e-09
1836,4.704525213838906e-09
1837,3.478945576063097e-09
1838,6.943378316748294e-09
1839,1.5381244722334486e-08
1840,3.821813088222825e-09
1841,6.420548537278137e-09
1842,4.024959032733477e-09
1843,1.594865928211675e-08
1844,5.488561272137815e-10
1845,5.022205318283568e-09
1846,1.1709002656346001e-09
1847,1.0786447290911383e-09
1848,1.448139919091318e-08
1849,0.0
1850,6.788996032014438e-10
1851,0.0
1852,0.0
1853,2.388772735173461e-09
1854,1.0391328908454511e-09
1855,1.5920811335945473e-09
1856,0.0
1857,9.763018171682347e-10
1858,2.4468380654951716e-09
1859,5.092173349652285e-10
1860,4.57718396518203e-09
1861,0.0
1862,4.517986262886353e-10
1863,1.4983863039219614e-09
1864,7.1920918109924514e-09
1865,8.47231973466478e-09
1866,1.9462451650298362e-09
1867,1.94112459439566e-09
1868,4.44588676984381e-09
1869,8.790334682373668e-09
1870,8.601073631098188e-09
1871,1.0621177271019633e-09
1872,4.23313739617015e-09
1873,8.979006871356887e-09
1874,1.4339061493728877e-08
1875,9.7265964171811e-09
1876,1.5115036333668286e-08
1877,1.8554447978047506e-09
1878,5.435179861734696e-09
1879,9.163987790827832e-09
1880,1.6686399817444908e-08
1881,6.2752567586699115e-09
1882,1.3310770263785798e-09
1883,3.2860562271253e-08
1884,1.7164412113856997e-08
1885,1.2246707647989297e-08
1886,2.1296431285122708e-08
1887,2.2198344495905076e-08
1888,1.3315291091942072e-08
1889,8.771191772893872e-09
1890,1.0487018364813139e-08
1891,9.561330394092238e-09
1892,5.014809900671935e-09
1893,6.158416554491453e-10
1894,5.671385139294216e-09
1895,4.814891596538473e-09
1896,4.717623180994224e-09
1897,5.2440420894583895e-09
1898,7.355861253444118e-09
1899,6.080336234504102e-09
1900,9.34389543516545e-09
1901,8.941982265753268e-09
1902,6.38336894454028e-09
1903,1.1340462791054051e-08
1904,8.599400302955473e-09
1905,2.0643036169332163e-09
1906,1.0802787109298606e-08
1907,7.71426478252124e-09
1908,1.5225305460830896e-08
1909,1.5952851484257735e-08
1910,1.4429207162436342e-08
1911,2.128149656499545e-09
1912,8.856016364688912e-09
1913,4.242391771214216e-09
1914,3.3483718020477227e-09
1915,3.534228465440492e-09
1916,2.197492410260793e-09
1917,3.289927441585405e-09
1918,4.594550517822427e-09
1919,0.0
1920,6.057785384427916e-09
1921,1.438822039290244e-08
1922,4.426761179843197e-09
1923,4.246379248229459e-09
1924,1.1602462102189293e-08
1925,3.299453377181294e-09
1926,2.229227691330493e-09
1927,8.919379901328739e-09
1928,5.713020723163709e-09
1929,5.570202965543558e-09
1930,9.453243521306831e-09
1931,6.843213995466613e-09
1932,7.6716757391182e-09
1933,3.4411986593596566e-09
1934,5.990790086229936e-09
1935,3.590485242455088e-09
1936,1.2124714565686645e-09
1937,3.777335333410292e-09
1938,0.0
1939,3.058810094103137e-09
1940,0.0
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,0.0
1944,3.2131861615880553e-09
1945,1.089252066321933e-08
1946,5.568441707737293e-09
1947,3.5762612871081956e-09
1948,1.0871888278529696e-08
1949,3.9268033269479474e-09
1950,6.381216888229346e-09
1951,0.0
1952,8.435843135146115e-09
1953,1.0773827385790469e-09
1954,9.772536113672459e-10
