year,mêmes_ADJ âges_NOUN,mêmes_ADJ ages_NOUN,mêmes_ADJ gages_NOUN
1800,3.144164484325529e-09,0.0,0.0
1801,2.6193008650921e-08,0.0,2.3811825844433088e-09
1802,0.0,0.0,0.0
1803,3.900678446910888e-09,0.0,5.851017448321727e-09
1804,0.0,0.0,0.0
1805,2.2743021688143017e-08,0.0,0.0
1806,0.0,0.0,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09,0.0
1808,1.8128591960930862e-08,0.0,6.798221985349073e-09
1809,1.0165637576164954e-07,0.0,2.0331274441787173e-08
1810,9.360507036149102e-09,0.0,1.1700633351097167e-08
1811,5.0141535368197765e-09,0.0,0.0
1812,1.3336041604361526e-08,0.0,0.0
1813,3.4508900625951355e-08,0.0,0.0
1814,0.0,0.0,3.4613449884091096e-08
1815,5.394447111228828e-09,0.0,0.0
1816,6.952811659743929e-09,0.0,6.952811659743929e-09
1817,0.0,0.0,1.556873407970727e-09
1818,2.384235475716423e-09,0.0,0.0
1819,1.035105001712111e-09,1.035105001712111e-09,0.0
1820,7.119888678630559e-09,0.0,1.1866481131050932e-09
1821,2.9584463767662328e-09,0.0,6.903041693817613e-09
1822,2.0051231786055723e-09,2.0051231786055723e-09,2.0051231786055723e-09
1823,2.2730180404550993e-08,0.0,8.894418535021487e-09
1824,1.51580028528997e-08,8.421112696055388e-10,6.736890156844311e-09
1825,1.3208164340028361e-08,0.0,2.641632912414593e-09
1826,0.0,0.0,1.4973572604048968e-08
1827,8.295545583791863e-09,0.0,0.0
1828,3.668920500743411e-09,1.8344602503717056e-09,0.0
1829,2.1432940755516938e-08,0.0,1.714635211591542e-09
1830,2.0873670791843324e-08,0.0,1.0436835840010872e-09
1831,1.7150327380477393e-08,0.0,7.795603274018958e-09
1832,1.7588959622116818e-08,0.0,0.0
1833,2.0850531967653296e-08,0.0,5.791814139399776e-09
1834,3.267085801894609e-08,0.0,0.0
1835,7.563087933704082e-08,0.0,0.0
1836,3.36037508930076e-08,6.720750067579218e-10,1.1425274948351216e-08
1837,2.1569462660409044e-08,6.957890930081589e-10,2.0873671680021744e-09
1838,1.3886756633496589e-08,0.0,1.8936485712828244e-09
