year,des_DET amas_NOUN,des_DET gamma_NOUN
1800,1.7512996297597283e-06,0.0
1801,1.4072789107366646e-06,0.0
1802,1.8618829358274525e-06,0.0
1803,2.184379820135973e-06,0.0
1804,1.270531367225658e-06,0.0
1805,1.6119116654778054e-06,0.0
1806,9.480691574026423e-07,0.0
1807,1.056220308104372e-06,0.0
1808,1.6338393322712363e-06,0.0
1809,1.2989425410836475e-06,0.0
1810,1.1185805455227182e-06,0.0
1811,1.085564226954716e-06,0.0
1812,1.2189141340712695e-06,0.0
1813,1.5615277437763808e-06,0.0
1814,1.0541368347105617e-06,0.0
1815,1.4214367940468264e-06,0.0
1816,1.7382028758561319e-06,0.0
1817,1.468131679338569e-06,0.0
1818,1.4090831434998563e-06,0.0
1819,1.575429767086689e-06,0.0
1820,1.5924818033141719e-06,0.0
1821,1.280021153959865e-06,0.0
1822,2.094351273740358e-06,0.0
1823,1.158250927724147e-06,0.0
1824,1.5318004003006536e-06,0.0
1825,1.2591783900006703e-06,0.0
1826,1.4057542685463886e-06,0.0
1827,1.5383629232701423e-06,0.0
1828,1.4648164672337316e-06,0.0
1829,1.5200240923718411e-06,0.0
1830,2.025789862969418e-06,0.0
1831,1.4484230952405142e-06,0.0
1832,1.9104317203755272e-06,0.0
1833,2.0387187191772682e-06,0.0
1834,1.8837083004541455e-06,0.0
1835,1.6245512739487822e-06,0.0
1836,1.0665830121325826e-06,0.0
1837,1.4910760626207775e-06,0.0
1838,1.4612655299117705e-06,0.0
1839,1.6660684813984972e-06,0.0
1840,1.277122535725539e-06,0.0
1841,1.890209460952974e-06,6.420548537278137e-09
1842,1.290670230247315e-06,0.0
1843,1.3745382005936335e-06,0.0
1844,1.0856373728884705e-06,0.0
1845,1.1590133617289666e-06,0.0
1846,1.1193807090137398e-06,0.0
1847,1.1385095017857338e-06,0.0
1848,1.7570764310192999e-06,0.0
1849,1.5761679286185881e-06,0.0
1850,1.2654688354984955e-06,0.0
1851,1.8368002159263597e-06,0.0
1852,1.334010727660484e-06,0.0
1853,1.693639839928096e-06,0.0
1854,1.1788962979153439e-06,0.0
1855,1.207328203634006e-06,0.0
1856,1.2264760798075258e-06,0.0
1857,1.3243534677798152e-06,0.0
1858,1.22782336831051e-06,0.0
1859,1.2643866043049456e-06,0.0
1860,1.113628819382484e-06,0.0
1861,1.2261505943911288e-06,0.0
1862,1.6332519994222139e-06,0.0
1863,1.0179037381874423e-06,0.0
1864,1.4139653181644007e-06,0.0
1865,1.4741835983045348e-06,0.0
1866,1.641171255784002e-06,0.0
1867,1.693631180188504e-06,0.0
1868,2.372621413115894e-06,0.0
1869,1.775647540114278e-06,0.0
1870,1.9656319949490353e-06,5.734048791339319e-10
1871,1.918184580063098e-06,0.0
1872,1.6618088238828932e-06,0.0
1873,2.2657026015338033e-06,0.0
1874,2.0690071096396423e-06,0.0
1875,1.6117541683513537e-06,1.716458086775674e-09
