year,pas_ADV gâtée_ADJ
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,9.887403784603066e-09
1805,1.7057265822018053e-08
1806,2.881669125542885e-09
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,9.360507036149102e-09
1811,0.0
1812,1.0668832928217853e-08
1813,0.0
1814,0.0
1815,0.0
1816,3.9399267848239106e-08
1817,2.3353100786493997e-08
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,1.542642635854463e-08
1821,1.1833785507064931e-08
1822,8.02049271442229e-09
1823,1.9765373782121287e-09
1824,0.0
1825,7.924898959288385e-09
1826,0.0
1827,0.0
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,3.1182412207897414e-09
1832,1.3529969367098715e-09
1833,4.6334514003376626e-09
1834,1.8669061851994684e-09
1835,8.31939672707449e-09
1836,0.0
1837,1.3915781860163179e-09
1838,3.787297142565649e-09
1839,2.0974426639952526e-09
1840,0.0
1841,1.2841097074556274e-09
1842,2.0124795163667386e-09
1843,5.906911071384968e-10
1844,8.232841963717874e-09
1845,2.2320911785556063e-09
1846,5.854501328173001e-10
1847,1.6179670936367074e-09
1848,3.218088684420195e-09
1849,1.1731181359664333e-08
1850,9.504594444820214e-09
1851,1.2898877521649865e-09
1852,2.6042181744401205e-09
1853,8.957897534855874e-09
1854,5.195664343204953e-09
1855,7.960405667972736e-09
1856,2.5885946719483854e-09
1857,1.122747050885664e-08
1858,1.3212924976357954e-08
1859,6.619825576592575e-09
1860,2.288591982591015e-09
1861,8.017138064531082e-09
1862,6.776979422085105e-09
1863,5.494082966350788e-09
1864,9.109982990196386e-09
1865,1.2237795665726026e-08
1866,1.4596839292835284e-09
1867,7.76449837758264e-09
1868,7.409810987013543e-09
1869,1.12320943657096e-08
1870,1.490852596930381e-08
1871,1.274541272522356e-08
1872,7.861540751719076e-09
1873,5.387403856360606e-09
1874,5.377148060148329e-09
1875,6.293679799540541e-09
1876,4.232210137899983e-09
1877,6.80329748092845e-09
1878,3.6234530931267273e-09
1879,1.0385853066452455e-08
1880,1.1552122813895949e-08
1881,6.9725074602899895e-09
1882,2.6621540527571597e-09
1883,1.0742875922176154e-08
1884,1.3203393933736152e-08
1885,2.5782542767416317e-09
1886,1.0325542199041138e-08
1887,8.48760173255414e-09
1888,8.242799331981132e-09
1889,2.5060546970934183e-09
1890,7.865263995654459e-09
1891,1.9760081571007504e-08
1892,1.7551833764173352e-08
1893,6.774258043407144e-09
1894,3.780923574225881e-09
1895,7.22233739480771e-09
1896,2.299841384001411e-08
1897,9.905413378419325e-09
1898,9.619203211741478e-09
1899,7.185851913504848e-09
1900,9.34389543516545e-09
1901,3.353243460679778e-09
1902,6.38336894454028e-09
1903,5.400220270956879e-10
1904,3.7622376325430196e-09
1905,1.186974607492175e-08
1906,6.173021205313489e-09
1907,7.71426478252124e-09
1908,3.929111258571538e-09
1909,7.701377313651392e-09
1910,6.412980813053082e-09
1911,1.1172785363555704e-08
1912,2.6047106693738442e-09
1913,5.302989602995467e-09
1914,2.0090231700464756e-09
1915,5.890381071793627e-09
1916,3.2962386153911893e-09
1917,2.1932848870420685e-09
1918,1.1486376294556067e-08
1919,8.287063479883727e-09
1920,3.028892692213958e-09
1921,1.5145494858259667e-09
1922,5.902348387820666e-09
1923,1.3800733000834953e-08
1924,1.0313299547703991e-08
