year,anciens_ADJ âges_NOUN,anciens_ADJ ages_NOUN,anciens_ADJ gages_NOUN
1800,9.432493897065797e-09,0.0,0.0
1801,2.1430643926123594e-08,0.0,0.0
1802,0.0,0.0,0.0
1803,4.095712213825209e-08,0.0,0.0
1804,0.0,0.0,0.0
1805,5.685755422035754e-09,0.0,0.0
1806,2.881669125542885e-09,0.0,0.0
1807,1.9928686256776018e-08,0.0,1.1387820464392462e-08
1808,5.891792298484688e-08,0.0,0.0
1809,6.7770917766551975e-09,0.0,1.581321384946932e-08
1810,1.1700633351097167e-08,0.0,0.0
1811,1.2535384286138651e-08,0.0,0.0
1812,1.3336041604361526e-08,0.0,5.3344164641089264e-09
1813,2.300593315851529e-08,0.0,0.0
1814,4.090680150170556e-08,0.0,0.0
1815,6.47333635583891e-08,0.0,0.0
1816,3.476405652236281e-08,0.0,0.0
1817,1.323342360137758e-07,0.0,1.556873407970727e-09
1818,5.6029534789558966e-08,0.0,1.4305412854298538e-08
1819,4.243930362690662e-08,0.0,2.070210003424222e-09
1820,2.966620371580575e-08,0.0,0.0
1821,2.859831660373402e-08,0.0,1.1833785507064931e-08
1822,7.819980396561732e-08,0.0,2.0051231786055723e-08
1823,4.249555374258307e-08,0.0,0.0
1824,7.494790565942822e-08,0.0,8.421112696055388e-09
1825,1.1270967092968931e-07,0.0,1.2327619813845558e-08
1826,9.776862697208344e-08,8.807984341885344e-10,8.807984341885344e-10
1827,7.281645508783186e-08,9.217273055917019e-10,1.3825909306319772e-08
1828,7.33784091266898e-08,0.0,1.8344602503717056e-09
1829,7.030004667285539e-08,0.0,0.0
1830,6.679574937606958e-08,0.0,1.982998831806526e-08
1831,1.1849316905454543e-07,0.0,0.0
1832,1.0823975316043288e-07,0.0,2.705993873419743e-09
1833,1.807046032809012e-07,0.0,0.0
1834,1.4001795989315724e-07,2.8003592777992026e-09,1.6802156110884425e-08
1835,1.0361430469174593e-07,7.563087933704082e-10,3.781543966852041e-09
1836,8.199315004731034e-08,0.0,0.0
1837,1.0088941593267009e-07,0.0,5.5663127440652715e-09
1838,7.953323688525415e-08,6.312161904276081e-10,0.0
1839,9.22874718867206e-08,1.3982950353153e-09,2.7965900706306e-09
1840,1.1529136401122742e-07,3.184844332704273e-09,1.2739377330817092e-09
1841,1.2134836424593232e-07,1.2841097074556274e-09,6.420548537278137e-10
1842,1.9722298816304829e-07,2.0124795163667386e-09,2.0124795163667386e-09
1843,1.4294724337560183e-07,2.3627644285539873e-09,0.0
1844,1.350186096260586e-07,5.488561272137815e-10,1.0977122322231025e-08
1845,1.0323421406610578e-07,5.580227946389016e-10,1.1160455892778032e-09
1846,2.2715465775036137e-07,5.854501106128396e-09,1.7563503984519002e-09
1847,1.396844879764103e-07,1.6179670936367074e-09,1.0247124926365814e-08
1848,1.407913856610321e-07,3.218088684420195e-09,6.43617736884039e-09
1849,1.5753299464904558e-07,0.0,8.379414939696517e-10
1850,1.6633040900160267e-07,0.0,0.0
