year,aux_ADP âges_NOUN,aux_ADP ages_NOUN,aux_ADP gages_NOUN
1800,2.0122652699683385e-07,3.144164484325529e-09,6.4140954236791e-07
1801,1.6668277891263017e-07,2.3811825844433088e-09,5.048107141192304e-07
1802,1.991677720525331e-07,4.475680270843441e-09,4.3637882640723547e-07
1803,2.691468239390815e-07,3.900678446910888e-09,3.413093736526207e-07
1804,2.2988213288499537e-07,1.2359254952798437e-08,5.43807232133986e-07
1805,2.4448747915073454e-07,0.0,4.1221727542506414e-07
1806,2.5935023018064385e-07,2.881669125542885e-09,4.0919701405073283e-07
1807,1.9074599766355504e-07,0.0,4.3558412698985194e-07
1808,2.311395519427606e-07,2.2660739951163578e-09,5.801149427497876e-07
1809,1.6942729530455836e-07,6.7770917766551975e-09,5.602395845016872e-07
1810,2.5507381451461697e-07,0.0,4.048419270930026e-07
1811,1.9555199060050654e-07,2.5070767684098882e-09,5.665993398906721e-07
1812,1.3336041604361526e-07,8.00162469616339e-09,4.40089365838503e-07
1813,2.3005932803243923e-07,1.1502966579257645e-08,4.1410680751141626e-07
1814,3.3354777428939997e-07,9.440030979135372e-09,9.125363931161701e-07
1815,2.939973740012647e-07,0.0,7.417364713546704e-07
1816,4.843791998609959e-07,0.0,4.913320026389556e-07
1817,2.942490830992739e-07,1.556873407970727e-09,6.476593625848182e-07
1818,1.9073883095188648e-07,2.384235475716423e-09,5.20955438787496e-07
1819,2.5360071731483913e-07,3.105315005136333e-09,8.425754458585288e-07
1820,3.061552149574709e-07,1.1866481131050932e-09,6.953757747396594e-07
1821,4.4278081645643397e-07,9.861488070583846e-09,8.609079031884903e-07
1822,3.18814585398286e-07,4.010246357211145e-09,6.616906489398389e-07
1823,3.033984796729783e-07,2.9648061783404955e-09,8.805474180917372e-07
1824,2.509491467961311e-07,1.6842225392110777e-09,6.964260137465317e-07
1825,3.786340414535516e-07,7.044354655150187e-09,6.630498887716385e-07
1826,2.968290777616289e-07,8.807984341885344e-10,1.1098060213043937e-06
1827,2.8297027898638305e-07,4.608636583469661e-09,7.355383786489256e-07
1828,2.7608625430275424e-07,4.586150570418113e-09,7.741422223261907e-07
1829,2.8977333954571804e-07,1.628903412154159e-08,8.367420036847761e-07
1830,4.23735525778568e-07,1.6698936899928185e-08,7.003116593295999e-07
1831,2.1671776551102084e-07,1.5591206103948707e-09,6.096161655477772e-07
1832,4.3160601137515187e-07,0.0,5.222568120188953e-07
1833,4.7377039891216555e-07,9.266902467608418e-09,4.3901951585212373e-07
1834,3.173740541484449e-07,1.8669061851994684e-09,7.10357824118546e-07
1835,3.9781843952368945e-07,3.025235173481633e-09,9.257219630853797e-07
1836,4.213910291817058e-07,4.032449985036379e-09,5.631988528875809e-07
1837,2.8736090484926535e-07,4.174734669071256e-09,6.42909128600877e-07
1838,3.2128903160177913e-07,2.5248647617104325e-09,9.367248026137531e-07
1839,3.2230699575919175e-07,2.0974426639952526e-09,6.977492148507736e-07
1840,4.0829705055811516e-07,2.5478754661634184e-09,7.10857250396657e-07
1841,4.783308549249909e-07,8.988767952189392e-09,5.59229761165625e-07
1842,3.944459776583642e-07,1.0062397581833693e-08,7.41263306736073e-07
