pasADVeuVERB_count,pasADVpuVERB_count
6428.000163398974,2594.000113459879
9309.000058067251,3386.000007950315
9312.000352404408,3311.9999807895865
9824.999821929388,4395.000218650511
9769.000256183517,3274.000217230241
7726.000260672923,2419.000131471917
7971.000291539782,2752.0000786395904
9137.000118000271,3719.0000771888517
9774.999353791301,4554.999925317536
10078.000205742386,4469.000205727901
10843.999133799722,5315.999819654235
8155.000013187371,2713.9999175550693
9420.000419219677,3778.9999322346152
8519.999541394523,3153.0000748317784
7282.999753330618,2701.0000436105424
8773.999874780851,3992.0000532488116
9712.000537198419,3813.000012026623
14259.999621728264,5028.999682002475
18764.00022671778,6160.000259589399
21707.99951747939,6966.999925524102
19892.00021871992,7567.000591953003
24758.999218162786,8422.000037115766
22692.000723572528,8951.999878158113
23007.00053757533,8712.000233802592
26030.998960239835,8838.999899842687
25723.00002328858,9215.00025589146
24775.000448961084,11247.999816389582
26841.000034034372,11878.00043613315
27840.998261316534,14362.000069259164
29765.000175910194,12597.999834552731
24272.001033415745,9892.000295650854
16752.000205627464,5945.000313106253
19755.999630415172,7922.999919899718
20561.99988851022,7786.000222021938
26589.00153536121,8536.000505656903
30982.997693309953,10681.99952213609
33335.999582278004,11373.999827273872
33635.998904908076,10414.999612185231
36117.99930945152,11212.999865402338
33383.0007894698,10519.9998594586
38143.99774830711,12278.99952999821
38161.997868354105,13518.999020956076
36327.999494488795,12740.999366872846
39566.99837267932,14484.000083388071
43441.999782795945,14218.00007637856
43055.000817886845,14304.99938082219
41743.999549232474,14407.000088184985
45592.99882907709,15638.00050816227
31695.999171651038,11733.999842711873
33770.00058006055,12668.99944282903
37756.00049313633,15109.00043478659
39503.99867971076,13949.000078187351
38120.999623781994,14176.000408053833
39690.00198563429,13303.00017376617
46554.000293434365,15755.999908898957
45388.99992709731,15971.000651381246
47900.00080617393,15813.999096221385
49875.99876200149,17839.998693525013
52493.00257338796,17376.000767426143
49349.9996362356,17540.99975344198
52474.00035492167,17169.00070154648
52813.997206970336,18172.998197975707
54523.99835519235,17312.00032840285
49603.001841764126,16386.999788633075
52820.002176664384,18098.001354148997
53617.99965845689,17343.00120390131
51339.00191849246,17968.00055344474
52221.99809467091,16656.00054790706
49760.99905353194,17566.99841188568
52887.00027592712,18056.999450950167
43340.001501648774,15213.000090714535
26539.000154272926,9309.00052580813
45213.001449740455,16273.000696457046
44123.0012456877,16021.999905579269
44771.00244724687,16773.000548705466
44873.99992186966,15729.999918130827
41314.00087350258,14768.000582992954
39561.998311256095,13656.998910184044
40083.00155326106,13917.999993373996
41517.99683907653,14460.999101332573
37886.997644424795,12903.999218993498
34911.999359019625,13733.000093840828
38023.00229185218,13002.000644145133
39537.001676042506,13984.000063667234
37460.000345372355,13511.999880672103
39072.002046953916,13715.000344094882
37106.99806927437,12335.998897372214
38892.99894926648,13944.99891842253
39826.99823881472,13603.999595028456
39970.000870914315,13656.999352333361
39859.00210119008,13903.0009619047
38667.99973370239,13478.999534782677
39620.00157993528,14276.000762202566
40969.00005395179,14583.000694987679
40504.000684417806,14267.99992067974
40829.99946127246,14335.000206869932
42181.001708489115,15399.001162666242
41849.00133032172,15373.000879537416
44545.000771707935,17328.001130732784
45688.99876955411,17473.0003783597
45481.002601104025,17320.001456054328
43297.99851105638,16578.000007823364
42998.00298876193,16598.001027414033
44429.00322043798,16412.000176780955
44224.99905856275,17342.998556565464
46725.99821759632,18409.000021094136
46386.99914502517,17399.999954708135
45520.99878700156,18717.99872835
49275.00328560788,19348.000340281214
44330.99970361527,17036.99926054391
45191.9993262331,17546.99998467684
43998.00135239013,16831.00128313703
45116.99888500351,16624.99878166137
43223.99725319123,16742.999262168603
36029.9982883709,14470.000324676928
22945.00009696091,10403.000329080654
24519.001535543546,10823.00071190596
23969.99946351371,10667.000051612937
21660.00052844421,9327.999867866394
26683.00088739333,10830.00029724222
31185.000033789718,12793.999999881651
31054.000914485045,12702.000950539312
32134.99828164806,13204.99927816233
22415.99888732949,8900.999577211312
19163.99910022258,7897.999795574248
21654.99916557316,8511.000025549401
20354.000157957184,8700.999751622236
22306.00096644876,9219.000465623298
20301.00019969011,8251.000218667032
21455.99975631281,9495.99955000666
22193.000925783377,9780.000440747428
20269.001619924144,9308.000479055238
20724.9993753496,9265.000212266319
19352.999158880084,9251.99940824066
17939.999809993693,8835.000259308814
17789.001431240005,8344.000449576592
17556.999710642405,8418.999844412634
17352.999716885708,8358.99955746603
16173.999139907173,7562.999707027672
13959.000028036362,6220.999774736628
7793.000385415371,3998.9999824311553
7092.999928184226,3389.0002076683268
7000.999921594395,3170.999902876797
7356.999710728069,3144.9999159839017
7001.999613739744,3430.9999469611557
10998.000359740909,5231.000121148687
16583.999481475035,7440.000177711266
20211.999630806124,8605.999425621902
19838.998808774555,8966.000019259725
21333.999038971713,9449.999056063265
20444.000540701512,9212.000313242532
21114.999727796407,9773.000017031987
20010.000165465448,9541.999602263384
19810.999288039926,8825.000277276784
23442.000123814607,10445.99980386762
22792.000373813586,10566.999777653715
24596.999357187186,11535.000596789385
23114.998297574188,10892.99954255934
25175.00050069122,11616.000044761073
26211.000270971235,12383.000357813304
29815.99788460802,14191.000000287777
30092.000645240536,13923.000367704033
32764.99908349869,15846.000114854973
30597.99888932862,15149.000166494636
34707.00056289177,16800.000215355387
36458.00101846644,17158.00082487731
36824.00118477276,17466.00089619228
42446.00022015741,19454.99999747437
46694.99871232579,21033.00005421179
45211.99860696018,21070.00071888867
44170.002227811514,20339.001081632006
37660.99942092318,17871.998686211766
37075.999688828306,18041.0009135538
34390.001831048656,16455.999852511057
33176.99853671071,16728.99989394293
30885.000486203935,14667.00102005474
33102.99858427243,16066.999668653398
31757.99995874898,15702.000205035107
32034.99742890637,14861.99972544783
33139.00249659894,16537.000495804175
34257.001787223686,16624.99972186053
31437.998881313666,14978.999619834693
31905.00155968843,15756.000177012715
30701.99864683019,15908.999312330863
34151.00068380301,16451.000384184932
31770.998580790292,16057.999988888841
35055.99912268176,16861.999616787078
32534.999623759773,15879.999716635426
33939.000616969286,15901.000384158539
38387.99837276743,18238.000347252604
36368.99858387516,17643.000631813156
35285.00084252499,16558.99975854796
35837.99857650591,17522.000017927665
36996.99863383494,17428.998930541005
38686.00298790416,19035.000048244045
37325.00096479414,18820.000058217945
38565.00155676897,18138.00030355449
42640.001072013285,20449.000280478784
43965.99649497501,20807.998479469963
44415.000747014485,22245.000951461967
44625.00166450695,22842.000848405532
45141.999794247444,23595.000735194888
45761.00251025871,23617.001114755934
49932.99802751592,27136.999005561967
46198.99932887495,24009.000304685833
44094.00017322581,24124.000462255615
50365.99940767357,26977.998837087613
55785.00212432924,30199.999732317723
53554.998245251336,28694.999600890507
49691.99622715279,27473.9996818993
57214.00116189213,31797.99972725887
68973.00174590969,38961.00024127911
88618.00146941406,50590.003559035904
113758.01059160824,65558.00045907084
158357.00467842922,84779.9975888493
147336.0007443844,80937.99883512262
158424.00332781996,87453.9992149009
132681.99081472098,78380.99320684909
136465.00731767088,81158.00163569237
135185.00930303714,77212.00323740389
