year,six_DET âmes_NOUN,six_DET ames_NOUN,six_DET dames_NOUN
1800,0.0,0.0,2.829747991484055e-08
1801,0.0,2.3811825844433088e-09,1.1905913144261149e-08
1802,0.0,0.0,5.370816325012129e-08
1803,0.0,0.0,2.3404069793286908e-08
1804,0.0,0.0,1.4831105676904599e-08
1805,0.0,0.0,5.685755510853596e-08
1806,0.0,0.0,3.7461698632057505e-08
1807,0.0,0.0,1.9928686256776018e-08
1808,0.0,0.0,1.1330369531492579e-08
1809,0.0,6.7770917766551975e-09,6.7770917766551975e-09
1810,0.0,0.0,3.7442028144596406e-08
1811,0.0,0.0,2.2563689583421365e-08
1812,0.0,0.0,7.201462448591656e-08
1813,2.8757416004054903e-08,0.0,2.5881675469463516e-08
1814,3.4613449884091096e-08,9.440030979135372e-09,4.405347864278042e-08
1815,0.0,0.0,2.966945977789237e-08
1816,0.0,1.622322720606917e-08,1.8540831092650478e-08
1817,0.0,0.0,6.538868291272593e-08
1818,3.5763532135746345e-09,0.0,3.09950611843135e-08
1819,2.070210003424222e-09,0.0,1.4491470468058765e-08
1820,0.0,0.0,1.4239777357261119e-08
1821,0.0,0.0,6.903041693817613e-09
1822,0.0,1.0025615893027862e-09,2.0051231786055723e-08
1823,0.0,2.9648061783404955e-09,1.7788837070042973e-08
1824,0.0,5.894778887238772e-09,1.431589158329416e-08
1825,3.522177216552791e-09,0.0,6.251864448358901e-08
1826,1.2331177856594877e-08,0.0,3.082794464148719e-08
1827,0.0,3.6869092223668076e-09,1.9356273639470345e-08
1828,0.0,0.0,4.310981549515702e-08
1829,0.0,0.0,5.401101077495696e-08
1830,1.0436835840010872e-09,0.0,3.54852434103492e-08
1831,0.0,0.0,1.2472964883158966e-08
1832,0.0,0.0,2.4353944638733083e-08
1833,2.3167257001688313e-09,0.0,2.7800709290204395e-08
1834,0.0,0.0,2.893704542650255e-08
1835,3.781543966852041e-09,0.0,5.218530674255817e-08
1836,1.3441500135158435e-09,6.048674894287842e-09,3.561997485856949e-08
1837,4.87052354003481e-09,0.0,4.0355767616517824e-08
1838,1.2624323808552163e-09,0.0,2.7142296854520964e-08
1839,2.7965900706306e-09,0.0,2.586845759822154e-08
1840,2.5478754661634184e-09,0.0,3.3759349538087235e-08
1841,1.926164561183441e-09,0.0,2.0545755319290038e-08
1842,0.0,0.0,2.750388672367876e-08
1843,0.0,3.5441467538532834e-09,4.312044943333149e-08
1844,5.488561272137815e-10,0.0,1.701453922198226e-08
1845,5.580227946389016e-10,0.0,1.7298706467272496e-08
1846,5.269050973311096e-09,0.0,1.2879903144025207e-08
1847,0.0,0.0,2.6966117339100037e-08
1848,8.045221711050488e-10,0.0,1.1263310173426078e-08
1849,5.02764896381791e-09,0.0,1.8434712423243127e-08
1850,0.0,0.0,1.5614690873633208e-08
1851,0.0,0.0,5.159551053068867e-08
1852,0.0,0.0,3.059956377171602e-08
