year,nos_DET hommages_NOUN,nos_DET dommages_NOUN
1800,7.263019741188259e-07,3.144164484325529e-09
1801,8.953246393161862e-07,0.0
1802,6.333087867460563e-07,2.2378401354217203e-09
1803,8.11341124062892e-07,1.3652374342143503e-08
1804,7.761611868772889e-07,0.0
1805,7.562054520349193e-07,2.842877711017877e-09
1806,7.809323392393708e-07,0.0
1807,1.0021282150773914e-06,5.693910232196231e-09
1808,5.642524221194378e-07,4.5321479902327155e-09
1809,6.957814093766501e-07,2.710836710662079e-08
1810,1.2379270990514613e-06,2.3401267590372754e-09
1811,8.3234948311528e-07,2.757784400841956e-08
1812,6.53466032840555e-07,5.3344164641089264e-09
1813,6.211601875083517e-07,0.0
1814,7.646425501661724e-07,0.0
1815,8.496254109147117e-07,5.394447111228828e-09
1816,6.790579316628964e-07,0.0
1817,6.274199826350468e-07,3.113746815941454e-09
1818,6.342066261044721e-07,0.0
1819,5.848342992109679e-07,2.070210003424222e-09
1820,7.416550946715006e-07,8.306536791735653e-09
1821,1.0601099962315175e-06,1.2819934447350079e-08
1822,1.0085769162060387e-06,2.5064039732569654e-08
1823,7.263775083643509e-07,1.9765373782121287e-09
1824,6.155833567333957e-07,4.968456579490521e-08
1825,7.924898852706974e-07,2.201360693732113e-08
1826,6.271284678227573e-07,4.403992281964975e-09
1827,5.972792673780702e-07,6.452091305675367e-09
1828,7.227773342055599e-07,2.7516904310687096e-09
1829,5.855479283667364e-07,2.743416338546467e-08
1830,6.783943193866548e-07,2.0873671680021744e-09
1831,7.187546211540052e-07,9.354723218280014e-09
1832,5.574347445858052e-07,8.117981842303834e-09
1833,7.506191170847387e-07,9.266902800675325e-09
1834,6.879549165894616e-07,9.334530925997342e-10
1835,7.139555151525201e-07,1.739510224751939e-08
1836,4.704524987353409e-07,1.344150035720304e-08
1837,4.20952389834639e-07,6.957890930081589e-10
1838,4.3364552659852507e-07,3.787297142565649e-09
1839,4.090013114854685e-07,3.4957374772659477e-09
1840,4.0511218646344105e-07,1.0191501864653674e-08
1841,4.751205819886195e-07,3.852329122366882e-09
1842,6.399684586710919e-07,6.708265054555795e-09
1843,6.296767047775376e-07,1.7720733769266417e-09
1844,5.581866995285623e-07,3.841992946007622e-09
1845,4.2577138303911966e-07,5.022205318283568e-09
1846,5.017307422860995e-07,1.7563503984519002e-09
1847,3.8184024209186873e-07,2.6966118227278457e-09
1848,6.34767999052599e-07,8.045221711050488e-10
1849,3.5780100837712325e-07,2.011059585527164e-08
1850,6.29339958813091e-07,1.3577992064028876e-09
1851,5.101505786697658e-07,1.096404567135778e-08
1852,4.908951485305124e-07,5.859490670445666e-09
1853,5.231412198991592e-07,2.388772735173461e-09
1854,8.998890983491492e-07,1.558699391779328e-09
1855,5.099966351451712e-07,5.306937111981824e-10
1856,8.433641243144052e-07,6.212626857404757e-09
1857,4.183453228279177e-07,9.763018171682347e-10
1858,4.844739165399403e-07,9.787352039936081e-10
1859,3.98717187266584e-07,5.092173349652285e-10
1860,4.600069929416861e-07,5.034902272882391e-09
1861,4.230219579071104e-07,2.357981809808507e-09
1862,4.2017271106864484e-07,2.2138133104476765e-08
1863,3.810895776723555e-07,5.494082966350788e-09
1864,4.214565887394883e-07,4.794727948009836e-10
1865,3.821957701433121e-07,3.765475486972036e-09
1866,5.585723905632278e-07,3.4059290943133647e-09
1867,4.1054784460925475e-07,1.3102591012170706e-08
1868,3.779003687753857e-07,1.4819622196071691e-09
1869,3.6724064855775396e-07,2.5882650689368347e-08
1870,8.394647217357942e-07,3.4404292748035914e-09
1871,2.8358544401640984e-07,5.3105884134652115e-09
1872,7.407990514352036e-07,1.9956219787786722e-08
1873,3.172582450083894e-07,1.496501056408306e-08
1874,3.053025192656378e-07,1.0754296120296658e-08
1875,3.598840647711654e-07,1.0870901512305409e-08
1876,3.2104337388538795e-07,1.813804439976252e-09
1877,3.4944209925669156e-07,6.184816214727107e-09
1878,3.212795260942869e-07,2.4156354694326865e-09
1879,3.060771878171664e-07,3.665595160740054e-09
1880,3.4848906249607126e-07,5.776061406947974e-09
1881,2.5937728675984317e-07,5.5780060570498335e-09
1882,3.214550914343306e-07,8.652000893505374e-09
1883,3.2481401923689646e-07,5.0554711528150165e-09
1884,2.647280412659825e-07,9.242375753615306e-09
1885,2.533134848548002e-07,3.2228177904158883e-09
1886,2.626559805207762e-07,6.453463874400711e-09
1887,2.441817691378745e-07,1.3057849246322917e-09
1888,2.352368064784116e-07,8.242799331981132e-09
1889,3.1263031807782227e-07,1.1277245803853475e-08
1890,3.093670326581588e-07,6.554386366985909e-09
1891,3.4739497811742126e-07,0.0
1892,2.7393399104624905e-07,5.641661360300532e-09
1893,3.060733040349817e-07,3.079208354961338e-08
1894,3.5351635130354e-07,9.452309157609307e-09
1895,2.5037437012542796e-07,0.0
1896,2.352914574288434e-07,5.89702897624278e-10
1897,2.2724182802136283e-07,5.826713556089658e-10
1898,2.455725995886837e-07,2.26334195829736e-09
1899,3.1562473523649714e-07,0.0
1900,2.6630103011626716e-07,0.0
1901,2.3416816596899537e-07,5.588738916095792e-10
1902,2.1899865543240082e-07,4.910283846193408e-10
1903,2.424698950509452e-07,1.6200660812870638e-09
1904,1.9778619986254853e-07,0.0
1905,2.2191263848725384e-07,5.160759042333041e-10
1906,2.2119993703384466e-07,3.600929110447737e-09
1907,1.9799947170717758e-07,2.057137349353866e-09
1908,1.935087272642022e-07,1.964555629285769e-09
1909,1.9638510639907736e-07,1.6502950117569526e-09
1910,2.5010625481769466e-07,1.6032452032632705e-09
1911,2.537818435399686e-07,0.0
1912,2.1567003183342592e-07,5.2094213387476884e-09
1913,2.8636145765759125e-07,2.6514948570088848e-09
1914,1.8416044977875856e-07,1.0714789944188396e-08
1915,2.0262909883328462e-07,9.424609537234119e-09
1916,2.417241684593563e-07,1.2086208478478966e-08
1917,1.469500832129711e-07,3.070598708632133e-08
1918,1.6999837537667872e-07,2.1824114959656526e-08
1919,2.1638443836735632e-07,2.9465114792515124e-08
1920,1.4917296953242953e-07,1.4462961939187835e-07
1921,1.287367072944079e-07,1.2343578847939796e-07
1922,1.5050988544373922e-07,1.1288241097417995e-07
