year,quels_DET hommages_NOUN,quels_DET dommages_NOUN
1800,6.288328968651058e-09,3.144164484325529e-09
1801,7.857902284413854e-08,2.619300909501021e-08
1802,3.8043282302169246e-08,2.2378401354217203e-09
1803,5.265916058760922e-08,5.851017448321727e-09
1804,4.696516775481996e-08,9.887403784603066e-09
1805,1.7057265822018053e-08,1.1371510844071508e-08
1806,1.0662175853326517e-07,3.7461699520235925e-08
1807,6.54799698907027e-08,7.117388101107736e-08
1808,3.852325747288887e-08,7.251436473509898e-08
1809,9.262024924794332e-08,1.3554183553310395e-08
1810,5.8503168975931885e-08,1.6380887313260928e-08
1811,1.504246114336638e-07,7.019815129183371e-08
1812,3.7340913472405646e-08,1.8670457180292033e-08
1813,6.326631663000626e-08,9.489947672136623e-08
1814,9.44003133440674e-08,6.293354282149721e-09
1815,6.47333635583891e-08,1.0788894222457657e-08
1816,3.244645441213834e-08,5.0987285504788815e-08
1817,5.916119150128907e-08,1.401186100480345e-08
1818,6.318224166079744e-08,1.1921177378582115e-08
1819,4.6579724966022695e-08,2.380741526142316e-08
1820,7.594547923872597e-08,2.3732962262101864e-08
1821,8.87533921911654e-08,9.861488514673056e-09
1822,4.712039469723095e-08,7.017931125119503e-09
1823,6.028439081262604e-08,4.941343600961545e-08
1824,7.242156918607634e-08,5.136878833411629e-08
1825,4.842993828191311e-08,2.6416328680056722e-08
1826,4.668231490256858e-08,1.056958154332932e-08
1827,5.2538455364015135e-08,9.217273166939322e-09
1828,3.8523663370426675e-08,2.7516903422508676e-08
1829,3.0006115370184716e-08,1.8003669333133132e-08
1830,5.9489963177838945e-08,4.174734247186507e-08
1831,2.6505050376712802e-08,2.02685670469549e-08
1832,5.817886972181441e-08,3.382492352876909e-08
1833,5.09679658478035e-08,1.7375443306377747e-08
1834,5.694063975880681e-08,2.7070139907436896e-08
1835,3.781543966852041e-08,1.1344631900556124e-08
1836,1.8146025126952736e-08,1.008112526790228e-08
1837,3.478945487245255e-08,2.504840823647214e-08
1838,1.641162095111781e-08,3.3454458758797045e-08
1839,2.1673573602498664e-08,1.3283802613450746e-08
1840,3.057450648213944e-08,2.930056819394622e-08
1841,3.4028905915306495e-08,2.118781017301785e-08
1842,4.561620325915783e-08,1.8112315203211438e-08
1843,3.2488010948128476e-08,5.906911015873817e-09
1844,4.116420981858937e-08,2.030767731753258e-08
1845,4.0177640769911704e-08,2.287893474672842e-08
1846,2.0490755314739317e-08,9.367202347121406e-09
1847,1.833696039454935e-08,4.0449176452739266e-08
1848,2.494018680465615e-08,2.4135664911106858e-08
1849,2.3462361165016432e-08,2.1786478843210944e-08
1850,5.2275272111046434e-08,2.4440385715251978e-08
1851,2.7087643461598532e-08,1.096404567135778e-08
1852,3.1250618093281446e-08,1.9531637196479323e-08
1853,2.7470887342673223e-08,1.4332635966951557e-08
1854,6.13088397827255e-08,3.065442089056347e-08
1855,3.8209947206269135e-08,3.714855978387277e-08
