year,mes_DET yeux_NOUN,mes_DET dieux_NOUN
1800,1.3975810929878207e-05,1.572082215517412e-07
1801,1.8685139707486087e-05,1.5001450393015148e-07
1802,1.2914575222566782e-05,1.767893706983159e-07
1803,1.3829855674885039e-05,8.581492738635177e-08
1804,1.7260935237572994e-05,3.238124779425533e-07
1805,1.553064100789925e-05,1.1371511021707192e-07
1806,1.152955860561633e-05,1.2679343619481642e-07
1807,1.1683903608172841e-05,9.394952016350544e-08
1808,1.2961943184564007e-05,2.0847881287977543e-07
1809,1.1480393197871308e-05,2.078308147801522e-07
1810,1.8075139678330743e-05,1.4742798626343756e-07
1811,1.3091954542687745e-05,1.228467603198169e-07
1812,1.0132724298728135e-05,8.001624385300943e-08
1813,1.6345716119303688e-05,1.437870835729882e-07
1814,1.07679288134932e-05,7.552025138579666e-08
1815,9.715398959997401e-06,5.3944471112288284e-08
1816,1.0607673061713285e-05,7.416332614695875e-08
1817,1.6314476170009584e-05,2.802372064403258e-07
1818,1.4174280011047813e-05,2.38423542686661e-07
1819,1.4032918215889367e-05,3.260580720976236e-07
1820,1.7069932596314175e-05,1.6138414338229268e-07
1821,1.7330580476482282e-05,2.1300814312397165e-07
1822,1.5445463645846758e-05,2.175558648787046e-07
1823,1.5090863030309265e-05,2.0555989466153335e-07
1824,1.5228740267048124e-05,1.9705403886405293e-07
1825,1.3639631163187005e-05,1.972419241269563e-07
1826,1.167586361816575e-05,1.4092775479923603e-07
1827,1.020444301502721e-05,1.1982454972692125e-07
1828,1.2153298996508966e-05,2.384798326038329e-07
1829,1.1007958050868183e-05,1.345988597245551e-07
1830,1.5031131056275626e-05,2.703140449256125e-07
1831,1.3179246650452114e-05,2.4790017305598155e-07
1832,1.5766473325129482e-05,2.733053846570854e-07
1833,1.5020490991446422e-05,1.3668681120293513e-07
1834,1.2445730021681811e-05,1.465521326515784e-07
1835,1.3130276784067973e-05,1.285724948729694e-07
1836,1.222773312292702e-05,9.946709933483788e-08
1837,1.1207075317543058e-05,1.1410941214151649e-07
1838,1.1086681013239286e-05,1.1866864335630112e-07
1839,1.094934947332149e-05,1.5940563546923414e-07
1840,1.0147551307682079e-05,1.0955864693240613e-07
1841,1.1194868307029537e-05,1.1300165647654126e-07
1842,1.1515407436490932e-05,1.1068637473243825e-07
1843,1.0542654848677557e-05,1.2109168007201632e-07
1844,9.952957299219634e-06,8.562155562330531e-08
1845,9.688950143527109e-06,5.970843802716175e-08
1846,9.883568736768211e-06,1.1591912385533476e-07
1847,8.564438758185133e-06,8.629157743911264e-08
1848,9.915735404320003e-06,8.769291681698377e-08
1849,1.1230091985225954e-05,1.0809445338821888e-07
1850,1.0440797353794551e-05,7.671565604994157e-08
1851,8.94666169415359e-06,9.803146872044977e-08
1852,1.0207884599822137e-05,1.250024734833488e-07
1853,1.029561013865532e-05,6.389967244224692e-08
1854,1.1241339905154746e-05,8.36501992118599e-08
1855,1.182014119649466e-05,1.4912493639940294e-07
1856,1.0959592202652857e-05,8.801222006749043e-08
1857,1.2516188860445254e-05,1.0202353939448017e-07
1858,1.1976783127920498e-05,1.242993742378573e-07
1859,1.1636634098977083e-05,1.120278108057704e-07
1860,1.3280698681228387e-05,8.01007216943983e-08
1861,1.2286028606922628e-05,1.1554111312150894e-07
1862,1.3328059765171929e-05,1.0978706765918389e-07
1863,1.2253802651684964e-05,8.291070630050967e-08
1864,1.2301833464789524e-05,9.445614046477147e-08
1865,1.1884782395554794e-05,7.813361502240213e-08
1866,1.0639635320330854e-05,8.466166312448564e-08
1867,1.0304460005272631e-05,1.2277613414823918e-07
1868,1.0180586286878679e-05,8.24958950040866e-08
1869,1.174681653992593e-05,1.0841412312334597e-07
1870,1.0306379408575594e-05,9.346499485474169e-08
1871,9.907434389333503e-06,7.222400633111192e-08
1872,9.98597096213416e-06,6.349706271890909e-08
1873,9.599156811646026e-06,6.22544460426866e-08
1874,9.525319285330625e-06,1.0575058229100875e-07
1875,1.1034537067189376e-05,7.666846135734318e-08
1876,9.89914045135265e-06,5.74371414874264e-08
1877,1.1383154060240486e-05,2.2574577696055087e-07
1878,8.4619708786704e-06,5.918306772434434e-08
