year,mes_DET hivers_NOUN,mes_DET divers_ADJ
1800,0.0,6.288328968651058e-09
1801,1.1905912700171939e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,1.730295728918918e-08
1805,0.0,5.685755422035754e-09
1806,8.645007376628655e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,0.0,2.259030518203531e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,1.1502966579257645e-08,0.0
1814,0.0,1.2586708564299443e-08
1815,0.0,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,6.227493631882908e-09
1818,2.384235475716423e-09,0.0
1819,6.210630232317271e-09,0.0
1820,5.933240565525466e-09,0.0
1821,3.0570614484304315e-08,9.86148829262845e-10
1822,1.0025615893027862e-09,9.023054303725075e-09
1823,5.929612356680991e-09,2.3718449426723964e-08
1824,2.5263338088166165e-09,7.57900142644985e-09
1825,1.7610886082763955e-09,8.805443485471187e-09
1826,4.403992281964975e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,7.337841001486822e-09,3.668920500743411e-09
1829,1.714635211591542e-09,0.0
1830,1.461157062010443e-08,3.1310507520032616e-09
1831,0.0,4.677361609140007e-09
1832,4.8707889277466165e-08,6.764984572527055e-09
1833,0.0,5.791814139399776e-09
1834,0.0,6.534171426153534e-09
1835,0.0,8.31939672707449e-09
1836,4.704525213838906e-09,6.72075017860152e-09
1837,8.349468672008697e-09,0.0
1838,6.312161904276081e-10,3.787297142565649e-09
1839,2.7965900706306e-09,7.690622361167243e-09
1840,1.2739377330817092e-09,8.280594876453051e-09
1841,3.852329122366882e-09,6.420548537278137e-10
1842,6.708265054555795e-10,4.024959032733477e-09
1843,2.3627644285539873e-09,8.269675610961258e-09
1844,0.0,3.841992946007622e-09
1845,5.580227946389016e-10,2.7901139176833567e-09
1846,3.5127007969038004e-09,4.0981511517657054e-09
1847,0.0,0.0
1848,4.82713291560799e-09,8.04522137798358e-09
1849,5.865590679832167e-09,1.6758828991214614e-08
1850,0.0,3.6660580349234806e-08
1851,1.2898877521649865e-09,9.029214709244116e-09
1852,1.9531636308300904e-09,8.463708844885787e-09
1853,4.180352064508952e-09,1.6721408258035808e-08
1854,2.0782657816909023e-09,1.558699391779328e-09
1855,9.552486801567284e-09,2.653468555990912e-09
1856,5.177189232874468e-10,1.5531567143511893e-09
1857,4.881509085841174e-10,1.4644527368545823e-08
1858,4.893676130990343e-09,7.34051397444091e-09
1859,3.5645213447565993e-09,5.601390462572908e-09
1860,3.204028820036342e-09,9.15436793036406e-09
1861,1.1789909493131745e-08,1.0375120318428799e-08
1862,9.035972525772706e-10,1.2650361647104091e-08
1863,4.994620717013731e-09,4.994620828036034e-10
1864,1.1507347075223606e-08,7.1920918109924514e-09
1865,2.3534221238463715e-09,1.3649848362717876e-08
1866,1.4596839292835284e-09,5.352174259343201e-09
1867,0.0,3.88224918879132e-09
1868,1.975949626142892e-09,5.9278488784286765e-09
1869,1.0743741896135361e-08,9.767038289254515e-10
1870,1.3188312220080434e-08,1.1468097582678638e-09
1871,8.496941816815706e-09,2.2304472935275044e-08
1872,5.442605477412599e-09,1.7537283625301825e-08
1873,1.1373408881354408e-08,6.584604861359367e-09
1874,2.3898436563030145e-09,1.4936523129449597e-08
1875,1.1443054281912168e-09,1.716458086775674e-08
1876,6.04601479992084e-10,1.209202959984168e-09
1877,6.184816214727107e-09,1.2369631985365004e-09
1878,2.4156354694326865e-09,1.8117265465633636e-09
1879,6.720257683667796e-09,9.163987790827832e-09
1880,2.9522093214495726e-08,7.059631101924424e-09
