year,ces_DET yeux_NOUN,ces_DET dieux_NOUN
1800,1.4651806452548044e-06,1.5500730548012598e-06
1801,1.500145003774378e-06,1.6573031231814639e-06
1802,8.459035711894103e-07,1.8104126411344623e-06
1803,1.273571541560159e-06,1.4432510333506343e-06
1804,1.399067642182672e-06,2.170285171132491e-06
1805,1.3247809675931421e-06,2.2856737018628337e-06
1806,1.1324959672265322e-06,1.6857764819633303e-06
1807,8.76862159771008e-07,1.3152932325510847e-06
1808,1.264469290163106e-06,2.3748455291183745e-06
1809,9.917144296878178e-07,1.3938218117459655e-06
1810,1.095179300136806e-06,2.307365008391571e-06
1811,1.318722354426427e-06,1.5343309698323537e-06
1812,8.935147590705128e-07,1.0962225598376563e-06
1813,1.0611486942480042e-06,1.386107484790955e-06
1814,7.457624917606154e-07,9.597364964974986e-07
1815,6.527281044554911e-07,1.0384310833444488e-06
1816,9.061831178769353e-07,9.525352027139888e-07
1817,1.033763922464459e-06,1.6642976188308012e-06
1818,1.0884035077651788e-06,1.6785017924458856e-06
1819,1.0237188661221808e-06,2.0474377215862205e-06
1820,1.4346575767376635e-06,1.607908224343646e-06
1821,1.1892954745462703e-06,1.7947908386162226e-06
1822,1.2732531757819743e-06,2.0021155222593734e-06
1823,1.164180517321256e-06,1.4665906853394972e-06
1824,1.013901965052355e-06,1.7734862716167754e-06
1825,1.0575336801821322e-06,1.983866273036483e-06
1826,8.085729845674905e-07,1.3238400651260918e-06
1827,7.751726940341541e-07,1.4166948343330432e-06
1828,8.667824431540794e-07,1.2731154321876659e-06
1829,9.421920736940592e-07,1.6151863571067793e-06
1830,1.1772751236094336e-06,1.5676127880226431e-06
1831,1.3174569488683119e-06,2.5476029854587523e-06
1832,1.6046543152015147e-06,1.5775943746909604e-06
1833,1.2510318470049242e-06,2.261124222968647e-06
1834,1.05573546704818e-06,1.7978306674493183e-06
1835,1.3152210271982767e-06,1.399171303262392e-06
1836,1.182851960379594e-06,1.305169665677397e-06
1837,1.0993468038122955e-06,1.33382773803703e-06
1838,9.335687209954813e-07,1.2037292824729207e-06
1839,8.263923803042417e-07,1.2794399726345773e-06
1840,8.236007644768506e-07,1.076477408545884e-06
1841,9.104337692633635e-07,1.2513648766088181e-06
1842,1.0719807477244103e-06,1.0652725066506719e-06
1843,9.533754479207346e-07,1.9900383350091033e-06
1844,9.654379482526565e-07,1.2212048394744102e-06
1845,1.0853542917743653e-06,1.4480691636897802e-06
1846,8.875424271082011e-07,1.5801298616224813e-06
1847,6.347824026420312e-07,9.562185594447214e-07
1848,7.996950159849803e-07,1.0555330638428728e-06
1849,8.58052082719496e-07,9.803915572703659e-07
1850,7.637620598188732e-07,1.2159091458130433e-06
1851,7.977955576166096e-07,1.1363910932260524e-06
1852,9.511906924331015e-07,1.0215045569417214e-06
1853,8.599581917678734e-07,1.4165421968748149e-06
1854,1.2973573859653698e-06,1.4324447326075074e-06
1855,1.3309798134741868e-06,1.597918778628582e-06
1856,1.0292252170529537e-06,9.355181193049233e-07
1857,9.977804324989847e-07,1.155453208001589e-06
1858,1.1049920445316275e-06,1.316888180724618e-06
1859,1.32192815271992e-06,1.1930962475759088e-06
1860,1.2692531328184486e-06,1.1063053397819544e-06
1861,1.2784977911906026e-06,1.163899804534907e-06
1862,1.2212116757837066e-06,1.2175973118644379e-06
1863,1.2961041448988908e-06,1.5817964458264555e-06
1864,1.121007358051429e-06,1.434582655335248e-06
1865,1.3292128926423175e-06,9.809063694632414e-07
1866,1.157042760269178e-06,1.2013198104066092e-06
1867,1.3447140645439504e-06,7.749939943124673e-07
1868,1.0852903713498563e-06,9.771070734743148e-07
1869,1.41426717448212e-06,1.1583707122397868e-06
1870,1.1445161760548217e-06,1.2729588281246151e-06
1871,1.1407144455688467e-06,1.3393303994746475e-06
1872,1.168346003055376e-06,1.2475660398081345e-06
1873,1.1786442470906877e-06,1.2037854784097135e-06
1874,1.1973117324259874e-06,1.0581032743317564e-06
1875,1.219829584897525e-06,8.805430211644705e-07
1876,1.3778868179770143e-06,1.1124667214090778e-06
1877,1.2920080507683451e-06,1.1986172775424464e-06
1878,1.0544248709720705e-06,1.0556326999200394e-06
1879,1.2243088320929019e-06,1.0758521726828008e-06
1880,1.0043929279390795e-06,1.1301827029797096e-06
1881,1.1978767631148912e-06,9.566280088080248e-07
1882,1.2944724545604913e-06,9.763450190547474e-07
1883,1.2379585569988194e-06,1.5324397129035106e-06
1884,1.2219741307717413e-06,9.790316450875025e-07
1885,1.1202515253216916e-06,8.327761256143873e-07
1886,1.1241934529948594e-06,7.034275777417776e-07
1887,1.455950183526511e-06,8.559420173193111e-07
1888,1.280170074835496e-06,8.325226934502439e-07
1889,1.3676793599870507e-06,6.835264247939676e-07
1890,1.267618358724576e-06,7.314695329441179e-07
1891,1.379381174615446e-06,5.928024719992209e-07
1892,1.3665356775049986e-06,8.224288432501226e-07
1893,1.3991922429568149e-06,7.168396899404073e-07
1894,1.5779054081122013e-06,6.34564983670316e-07
1895,1.302428181304549e-06,5.127859448172956e-07
1896,1.3162168173153077e-06,7.530506203057286e-07
1897,1.2667274944533347e-06,5.500417646908673e-07
1898,1.2448380246610213e-06,6.999385160355587e-07
1899,1.434959330026686e-06,6.931583467206792e-07
1900,1.445708264213863e-06,6.488816586269763e-07
1901,1.3267666361116426e-06,5.286946916371882e-07
1902,1.3635858522320632e-06,3.5943276233130206e-07
1903,1.3403346628138024e-06,6.134650307743073e-07
1904,1.2173525760772463e-06,6.745154452758584e-07
1905,1.427466003178779e-06,6.92573864924384e-07
1906,1.4794674996210233e-06,5.483700611375042e-07
1907,1.241482422642548e-06,6.09941221085819e-07
1908,1.382064894528412e-06,6.635286773359894e-07
1909,1.5078196042850323e-06,5.445973556561512e-07
1910,1.6155366893144674e-06,6.567961134962275e-07
1911,1.4668271859363813e-06,5.660878015234516e-07
1912,1.4190463133445519e-06,5.230258892652273e-07
1913,1.5304428018225735e-06,6.13025636586606e-07
1914,1.4089948336959424e-06,7.614197814476142e-07
1915,1.2134184999013087e-06,4.1939511419286646e-07
1916,1.5151710073268987e-06,5.878292075323088e-07
1917,1.3444836781673075e-06,5.538044298702971e-07
1918,1.5483635849022903e-06,4.353336473528202e-07
1919,1.7669860596924991e-06,6.528364393521002e-07
1920,1.7211682177276089e-06,7.375353954230945e-07
1921,1.7379455385935216e-06,4.937431228313471e-07
1922,1.9234277885971096e-06,4.5890758926248054e-07
1923,1.8121423295269778e-06,6.666815419720251e-07
1924,1.8061166144889285e-06,5.904363886699571e-07
1925,1.9125831727251352e-06,6.005005204201552e-07
1926,1.9929295547171932e-06,8.136681011183811e-07
1927,2.164064483167749e-06,5.552313817602794e-07
1928,1.776749357418339e-06,4.55899058726672e-07
1929,2.0643173286316596e-06,5.848713273692852e-07
1930,1.6102024460451503e-06,4.5690676575560474e-07
1931,1.4074210596959347e-06,6.113271187047076e-07
1932,1.4521386049182183e-06,4.679722069855785e-07
1933,1.4372739371992793e-06,4.2441449932262287e-07
1934,1.2029506137878343e-06,5.020282092260686e-07
1935,1.3560066349782574e-06,5.541315486468079e-07
1936,1.2561204698613437e-06,5.722865257240528e-07
1937,1.1785287057364258e-06,5.111994096917982e-07
1938,1.3198588675322753e-06,4.90085106719107e-07
1939,1.3336412081343951e-06,4.4964507850409063e-07
1940,1.054885657936211e-06,5.096923567649014e-07
1941,1.3429336860326657e-06,7.2311815291215e-07
1942,1.4776611720890287e-06,6.402186798482035e-07
1943,1.6548440129326991e-06,6.764537774373025e-07
1944,1.8636479808264994e-06,7.775910511043094e-07
1945,2.0042237025563736e-06,7.690119492309577e-07
1946,1.852898975585049e-06,7.05799990896594e-07
1947,1.9991300206356755e-06,7.724724406799055e-07
1948,1.7188454819461185e-06,5.936050744281829e-07
1949,1.4107040442468133e-06,6.950441902020543e-07
1950,2.013273942225169e-06,7.710636946711702e-07
1951,1.703691978605093e-06,5.362685087106911e-07
1952,1.6302267056289566e-06,4.586989827970456e-07
1953,1.3553474644822927e-06,7.035309463887529e-07
1954,1.594877886645918e-06,6.508509011737829e-07
1955,1.2642413906860384e-06,6.400984391419229e-07
1956,1.5881198720535394e-06,7.796700458584382e-07
1957,1.2642939282159205e-06,5.78694965280846e-07
1958,1.3955274624777303e-06,5.48449735404688e-07
1959,1.3199524033780108e-06,7.44846890832207e-07
1960,1.4824425562665056e-06,6.304879305307765e-07
1961,1.473009817232196e-06,6.079639143230509e-07
1962,1.393962023144013e-06,6.494163278247811e-07
1963,1.4386968274493483e-06,6.97687125850166e-07
1964,1.5167332634291597e-06,6.163059911301616e-07
1965,1.4172592415206964e-06,5.526763704466475e-07
1966,1.269002027015631e-06,6.580421043622664e-07
1967,1.3499259381433149e-06,5.733980370514757e-07
1968,1.5338185619384603e-06,7.788114935181056e-07
1969,1.129989321668745e-06,5.345648856902585e-07
1970,1.1561194668274766e-06,6.00593477173561e-07
1971,1.1869697686961445e-06,6.361336239990578e-07
1972,1.0342376128846809e-06,7.797823200483833e-07
1973,1.0023004364256849e-06,5.303701975378772e-07
1974,7.729535553835376e-07,4.483580564595968e-07
1975,7.893265419056661e-07,3.9066525303610433e-07
1976,7.753256241471718e-07,4.959341324273225e-07
1977,7.769105891952677e-07,3.643604777892051e-07
1978,1.029504474558962e-06,4.580196035774975e-07
1979,9.83131535292614e-07,4.781062168390804e-07
1980,8.840409222443668e-07,4.133104529735476e-07
1981,9.678090790998795e-07,5.269182876688205e-07
1982,9.83889087535772e-07,4.165234139819063e-07
1983,9.605595536754663e-07,3.700775108583798e-07
1984,9.869912176441176e-07,4.668201709634445e-07
1985,8.848885642009918e-07,4.5718242847048174e-07
1986,9.944851342424954e-07,4.819566400415809e-07
1987,8.976790084602726e-07,5.652505503661587e-07
1988,8.659023720269943e-07,4.99512939011737e-07
1989,8.682209298171983e-07,5.548491686102608e-07
1990,7.807916588831176e-07,4.2281532863786e-07
1991,7.965731185777258e-07,4.085441329682027e-07
