year,les_DET août_NOUN,les_DET doutes_NOUN
1800,1.8864987794131594e-08,2.9240729233492857e-06
1801,2.3811825844433088e-09,3.266982531613394e-06
1802,4.475680270843441e-09,3.6387280886174267e-06
1803,3.900678446910888e-09,2.7480279882752257e-06
1804,0.0,3.040376682861279e-06
1805,0.0,2.8968924539185537e-06
1806,3.7461699520235925e-08,3.3340911329560186e-06
1807,2.8469551160981155e-09,3.6184799228067277e-06
1808,4.078933191209444e-08,3.5214790017334963e-06
1809,4.518061036407062e-09,3.253003981740221e-06
1810,2.3401267590372754e-09,4.261370776248441e-06
1811,2.0056614147279106e-08,2.7101499284754027e-06
1812,2.6672082320544632e-09,3.4993771151903275e-06
1813,2.013019151370088e-08,3.721209651530444e-06
1814,9.440030979135372e-09,2.753342549510762e-06
1815,5.394447111228828e-09,3.6061878034843176e-06
1816,0.0,3.770741415110024e-06
1817,6.227493631882908e-09,3.40643894958248e-06
1818,1.3113294894395722e-08,2.6894177125313945e-06
1819,0.0,3.0628756775286092e-06
1820,4.746592452420373e-09,3.211069753206175e-06
1821,3.944595206029078e-09,3.632972379818966e-06
1822,2.0051231786055723e-09,3.5420501092175982e-06
1823,3.9530747564242574e-09,2.701926554493639e-06
1824,7.57900142644985e-09,3.1267591396044736e-06
1825,7.92489873724378e-09,2.9797618736893128e-06
1826,4.403992281964975e-09,3.4271866979906918e-06
1827,3.6869092223668076e-09,3.8030467521821265e-06
1828,4.586150681440415e-09,3.5927904349364326e-06
1829,8.573175891424256e-09,3.2981007507260074e-06
1830,6.262101504006523e-09,3.2886470222592834e-06
1831,4.677361831184612e-09,3.116682123049941e-06
1832,2.705993873419743e-09,3.002300225318777e-06
1833,3.475088550253247e-09,3.6187256426956083e-06
1834,8.401077833397608e-09,3.084129090780152e-06
1835,5.294161553592858e-09,3.2143123789296624e-06
1836,7.392824907803686e-09,3.354998526106101e-06
1837,9.74104752415883e-09,3.0127667614010534e-06
1838,6.312161904276081e-09,3.3056791437502397e-06
1839,1.0487213319976263e-08,3.483152852368221e-06
1840,5.0957510988602905e-09,2.9943906625362615e-06
1841,1.926164561183441e-09,3.4536131607865173e-06
1842,4.695785538189057e-09,3.5258640735946756e-06
1843,1.7720733214154905e-09,3.6185737428695575e-06
1844,1.6465684371524958e-09,3.553294646962968e-06
1845,2.7901140065011987e-08,3.3135392811800557e-06
1846,1.5221703453249802e-08,3.434835946336534e-06
1847,5.9325460100012606e-09,3.3292370460458187e-06
1848,2.4135665133151463e-09,3.1939529208102613e-06
1849,4.189707314417035e-08,3.079434989672336e-06
1850,6.1100964288129944e-09,3.138552770565184e-06
1851,4.514607132577453e-09,3.2131103182564402e-06
1852,3.2552727180501506e-09,3.3763688236376765e-06
1853,1.7915795513800958e-09,3.3299492514515805e-06
1854,5.715231066183435e-09,3.427060349281419e-06
1855,7.960405667972736e-09,3.3237346599435114e-06
1856,1.2425254380943329e-08,3.164815680634092e-06
1857,3.6611316978074626e-08,2.889365120495313e-06
1858,3.914940760463281e-09,3.281699250123893e-06
1859,5.601390684617513e-09,3.457585663113605e-06
1860,1.6020143434047895e-08,3.179312059842232e-06
1861,8.960330977192399e-09,3.147434156858253e-06
1862,7.228778048373741e-09,3.3247860642404703e-06
1863,4.994620939058336e-09,3.2894572257191612e-06
1864,7.671564716815737e-09,3.413846343391924e-06
1865,6.589582213223366e-09,3.3555093637005484e-06
1866,7.298419313350735e-09,3.226874397910251e-06
1867,1.94112459439566e-09,2.612753810637969e-06
1868,1.975949626142892e-09,2.9318152954260768e-06
1869,0.0,3.3373970325101254e-06
1870,8.601073187008978e-09,2.8721850640067714e-06
1871,2.1242354542039266e-09,2.4046346140949026e-06
1872,8.46627523642951e-09,2.6275689322119433e-06
1873,5.986004469882289e-10,2.7649354166214835e-06
1874,5.974609029735234e-09,2.5965651957449154e-06
1875,6.293679688518239e-09,2.6158821953004008e-06
1876,5.441413319928756e-09,2.5731837922648992e-06
1877,1.8554447978047506e-09,2.6823546477316995e-06
1878,1.8117266020745149e-09,2.474818643349863e-06
1879,5.498392852132383e-09,2.5402575047905884e-06
1880,6.417846032391594e-09,2.3713941033065566e-06
1881,3.486253785656146e-09,2.2814043703078823e-06
1882,5.324307883469714e-09,2.2628308613548143e-06
1883,1.2006744321002571e-08,2.2281988165673283e-06
1884,7.922036360241691e-09,2.298050631566184e-06
1885,5.80107206715752e-09,2.076783751192579e-06
1886,2.5813854942491332e-09,2.180625386927204e-06
1887,8.48760217664335e-09,2.143446046432018e-06
1888,2.53624587998047e-09,2.2306282687623025e-06
1889,9.397704836544563e-09,1.986674867282545e-06
1890,2.6217545912032847e-09,2.0613544720049504e-06
1891,6.374220040683554e-09,2.2583861749581047e-06
1892,5.641661138255927e-09,1.925686959225459e-06
1893,4.926733243593162e-09,1.9226575957986825e-06
1894,1.1342770500633037e-08,1.897393531180569e-06
1895,7.824199066419624e-09,1.9446143184609355e-06
1896,1.0024949648190784e-08,1.9448401786803515e-06
1897,4.661370844871726e-09,1.7759822981133766e-06
1898,7.921696743018458e-09,1.7993568732777021e-06
1899,4.9748205555033564e-09,1.721840689583587e-06
1900,7.786579714341713e-09,1.728101594267173e-06
1901,3.912117352289357e-09,1.6827693016807643e-06
1902,2.4551419786078554e-09,1.4563901515884936e-06
1903,4.860198243861191e-09,1.6519273415838143e-06
1904,5.912087708281888e-09,1.7026812955123205e-06
1905,4.1286072338664326e-09,1.6953093364691085e-06
1906,7.201858165384323e-09,1.5499428158705086e-06
1907,4.1142746431965804e-09,1.6539383764779814e-06
1908,7.367083831866239e-09,1.680186151986618e-06
1909,5.5009837240938e-09,1.7647154990640956e-06
1910,4.809735720812114e-09,1.477657640691632e-06
