year,elles_PRON iraient_VERB,elles_PRON diraient_VERB
1800,6.288328968651058e-09,3.144164484325529e-09
1801,1.1905912700171939e-08,2.1430643926123594e-08
1802,2.6854081625060644e-08,2.2378401354217203e-08
1803,1.1702034896643454e-08,3.900678446910888e-09
1804,9.887403784603066e-09,1.730295728918918e-08
1805,8.528632911009026e-09,0.0
1806,1.729001475325731e-08,0.0
1807,2.2775640928784924e-08,1.4234775136401367e-08
1808,0.0,2.2660739951163578e-09
1809,0.0,4.518061036407062e-09
1810,1.6380887757350138e-08,1.1700633351097167e-08
1811,7.521229861140455e-09,1.504245972228091e-08
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,1.2586708564299443e-08,9.440030979135372e-09
1815,5.394447111228828e-09,5.394447111228828e-09
1816,1.8540831092650478e-08,0.0
1817,1.0898113966817391e-08,2.0239355080775567e-08
1818,2.1458119725537017e-08,7.152706427149269e-09
1819,3.1053151161586356e-09,8.280840013696888e-09
1820,2.966620371580575e-08,1.1866481131050932e-08
1821,1.97229765852569e-09,7.88919063410276e-09
1822,4.010246357211145e-09,8.02049271442229e-09
1823,1.5812298692630122e-08,9.882686669016039e-09
1824,2.947389532437228e-08,1.1789557774477544e-08
1825,1.4088708866211164e-08,1.4088708866211164e-08
1826,2.7304752237000685e-08,7.927186018719112e-09
1827,1.566936447261469e-08,3.6869092223668076e-09
1828,1.4675682002973645e-08,6.420610987323272e-09
1829,1.7146351893870815e-08,1.8860987438529264e-08
1830,1.3567886369969528e-08,6.262101281961918e-09
1831,1.7150327380477393e-08,3.741889287312006e-08
1832,3.5177919244233635e-08,1.0823975493678972e-08
1833,3.8225973497674204e-08,1.3900353978968383e-08
1834,1.9602515166639023e-08,2.5203233944282033e-08
1835,5.672315950278062e-08,6.806779140333674e-09
1836,2.352262562510532e-08,1.4113575197427508e-08
1837,3.8964189874590716e-08,9.045257876039159e-09
1838,5.8703106597945975e-08,4.418513332993257e-09
1839,2.866504811294135e-08,1.3982950353153e-09
1840,4.586175839094153e-08,1.2102408852854296e-08
1841,5.072233344449728e-08,1.2841097074556274e-08
1842,4.561620414733625e-08,2.0124795163667386e-09
1843,2.3627643841450663e-08,8.860366662588604e-09
1844,3.2382511339079656e-08,4.390849128732555e-09
1845,4.464182429275709e-08,9.486387342327873e-09
1846,6.966856291867884e-08,7.025401593807601e-09
1847,2.8584086209093584e-08,5.9325460100012606e-09
1848,2.172209917494783e-08,9.65426583121598e-09
1849,2.2624419893091385e-08,2.4300303991253713e-08
1850,3.86972773824823e-08,1.0183494048021657e-08
1851,3.9341575330809064e-08,2.579775504329973e-09
1852,2.4089017225392695e-08,9.114764054629632e-09
1853,3.4637204660015186e-08,9.555090496604635e-09
1854,3.1173985892696265e-08,2.1302225094999017e-08
1855,2.812676669350367e-08,3.714855978387277e-09
1856,4.141751297481733e-08,1.0872097000458325e-08
1857,3.5635016715218626e-08,6.345962033638131e-09
1858,3.425573202875398e-08,7.82988185399347e-09
1859,3.870051634713434e-08,7.638260024478427e-09
1860,3.982150076353719e-08,2.1970483210509428e-08
1861,7.026785819874704e-08,2.216502914542673e-08
1862,3.7047488632424574e-08,1.7620147119146168e-08
1863,2.6970952582416885e-08,7.991393324857654e-09
1864,4.075518655888288e-08,1.4384183621984903e-08
1865,3.1535857258901956e-08,8.943004559114343e-09
