year,plusieurs_DET eaux_NOUN,plusieurs_DET do_NOUN
1800,4.4647134433972724e-07,9.432493452976587e-09
1801,4.905236004049129e-07,4.7623651688866175e-09
1802,2.6854081625060644e-07,0.0
1803,7.489302760177452e-07,5.851017670366332e-09
1804,2.7190359297435407e-07,2.4718509461507665e-09
1805,3.3261667908845993e-07,1.1371510844071508e-08
1806,1.7578181132904547e-07,1.152667650217154e-08
1807,3.1031811431603273e-07,5.693910232196231e-09
1808,3.0818605356586204e-07,1.1330369531492579e-08
1809,3.930713194932878e-07,1.8072244145628247e-08
1810,1.825298880930859e-07,9.360507036149102e-09
1811,3.058633719632553e-07,1.2535383842049441e-08
1812,1.787029546562735e-07,0.0
1813,2.013019202440347e-07,2.8757416448144113e-09
1814,2.0138733702879108e-07,3.1466771410748606e-09
1815,2.7781403844073793e-07,0.0
1816,2.549364239712304e-07,2.3176038865813098e-09
1817,2.5999784725172503e-07,3.113746815941454e-09
1818,2.718028302428621e-07,2.384235475716423e-09
1819,2.4739009951701973e-07,6.210630232317271e-09
1820,1.8630375020478596e-07,1.1866481131050932e-09
1821,1.3806084253609185e-07,2.9584463767662328e-09
1822,1.3233812978796777e-07,1.0025615893027862e-09
1823,1.8777105204037525e-07,5.929612023614084e-09
1824,1.6842225214475093e-07,8.421112696055388e-10
1825,1.7698941112698208e-07,5.283265824829186e-09
1826,1.1714619407854343e-07,4.403992170942672e-09
1827,1.8711064875276406e-07,2.7651818612639545e-09
1828,1.6051527507165986e-07,5.5033806956039655e-09
1829,1.294549552000035e-07,2.571952872898464e-09
1830,1.4298465633721946e-07,4.174734336004349e-09
1831,2.1671776728737768e-07,3.1182412207897414e-09
1832,2.9495332221074477e-07,2.705993873419743e-09
1833,2.281974778028939e-07,1.1583628500844156e-09
1834,2.0162586711336417e-07,3.733812370398937e-09
1835,8.546289365085613e-08,4.5378527602224494e-09
1836,1.592817713280681e-07,8.736974865808378e-09
1837,1.607272839265761e-07,1.0436836284100082e-08
1838,1.1614377637414464e-07,3.787297142565649e-09
1839,2.286212446023228e-07,1.0487212986909356e-08
1840,8.216898661483896e-08,4.45878195476368e-09
1841,1.3033714019172749e-07,5.778493683550323e-09
1842,6.37285153537448e-08,8.049918065466954e-09
1843,1.4826347272123286e-07,1.2995204246024628e-08
1844,6.696044607679141e-08,8.781698090931656e-09
