year,vrais_ADJ yeux_NOUN,vrais_ADJ dieux_NOUN
1800,3.144164484325529e-09,6.288328968651058e-09
1801,2.3811825844433088e-09,4.7623651688866175e-09
1802,4.475680270843441e-09,4.475680270843441e-09
1803,1.950339223455444e-09,1.3652374342143503e-08
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,0.0,2.842877711017877e-09
1806,0.0,8.645007376628655e-09
1807,2.8469551160981155e-09,1.4234775580490577e-08
1808,2.2660739951163578e-09,4.305540457494317e-08
1809,0.0,0.0
1810,9.360507036149102e-09,2.106114038724627e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,0.0
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,6.227493631882908e-09
1818,1.668964877410417e-08,1.0729059418679299e-08
1819,0.0,4.140420117870747e-09
1820,1.1866481131050932e-09,8.306536791735653e-09
1821,3.94459531705138e-09,5.9168929755770705e-09
1822,4.010246357211145e-09,8.02049271442229e-09
1823,0.0,8.894418535021487e-09
1824,0.0,1.6842225392110777e-09
1825,0.0,1.7610886082763955e-09
1826,2.642395191543301e-09,1.1450379200361738e-08
1827,2.7651818612639545e-09,9.217273055917019e-10
1828,1.0089530988466322e-08,2.7516904310687096e-09
1829,1.0287811491593857e-08,1.714635211591542e-09
1830,0.0,1.0436835840010872e-09
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,1.3529969367098715e-09,2.705993873419743e-09
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,1.8669061851994684e-09,0.0
1835,2.2689263801112247e-09,6.050470346963266e-09
1836,1.8818100855355624e-08,2.6210924986003192e-08
1837,1.3915781860163179e-09,1.8090515530033713e-08
1838,2.5248647617104325e-09,1.7042836919500814e-08
1839,2.7965900706306e-09,6.9914749545318955e-09
1840,0.0,1.0191501476075615e-08
1841,1.0272877659645019e-08,4.494383976094696e-09
1842,1.0062397137744483e-08,8.720745015011744e-09
1843,2.3627644285539873e-09,6.4976020675011625e-09
1844,1.6465684371524958e-09,8.78169825746511e-09
1845,3.348136878855712e-09,3.9061593959388574e-09
1846,1.4636253098387897e-08,1.7563503984519002e-09
1847,8.629157832729106e-09,1.6179670936367074e-09
1848,0.0,5.63165514222419e-09
1849,2.513824481908955e-09,3.3517659758786067e-09
1850,6.1100964288129944e-09,2.7155984128057753e-09
1851,1.3543821175687754e-08,0.0
1852,6.510545436100301e-09,6.510545436100301e-10
1853,2.149895550473957e-08,2.090176121072318e-08
1854,4.1565315633818045e-09,8.832629738719788e-09
1855,7.429711956774554e-09,1.2205955357558196e-08
1856,7.765783571755946e-09,2.070875637638636e-09
1857,2.9289055625270066e-09,3.905207379695241e-09
1858,1.1744822003834088e-08,6.8511465389775594e-09
1859,0.0,1.9859476285688515e-08
1860,9.15436793036406e-09,2.2885919548354394e-09
1861,6.6023493339173456e-09,8.017138286575687e-09
1862,3.162590411776023e-09,6.325180823552046e-09
1863,5.494082966350788e-09,1.3485476735297652e-08
1864,1.0548401263577034e-08,9.109982990196386e-09
1865,2.8241067262513297e-09,3.294791106611683e-09
1866,7.784980660119345e-09,8.758103353656566e-09
1867,4.367530337390235e-09,4.367530337390235e-09
1868,4.44588676984381e-09,2.2229433183085234e-08
