year,mieux_ADV ecrit_ADJ,mieux_ADV décrit_ADJ
1800,0.0,4.4018303668735825e-08
1801,2.3811825844433088e-09,1.1905912700171939e-08
1802,2.2378401354217203e-09,2.2378401354217203e-08
1803,1.950339223455444e-09,1.950339267864365e-08
1804,2.4718509461507665e-09,0.0
1805,0.0,5.1171799242411e-08
1806,0.0,2.0171682990621775e-08
1807,0.0,0.0
1808,0.0,1.3596443970698147e-08
1809,0.0,2.9367397402779716e-08
1810,0.0,1.8721014072298203e-08
1811,2.5070767684098882e-09,3.5099073869560016e-08
1812,0.0,1.3336041604361526e-08
1813,0.0,0.0
1814,0.0,1.2586708564299443e-08
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,7.784366928831332e-09
1818,0.0,1.9073883805731384e-08
1819,0.0,1.3456364911235141e-08
1820,1.1866481131050932e-09,1.3053129244156025e-08
1821,0.0,1.97229765852569e-09
1822,0.0,1.0025615893027862e-09
1823,0.0,4.941343334508019e-09
1824,0.0,1.6842225392110777e-08
1825,8.805443041381977e-10,1.584979791857677e-08
1826,0.0,6.1655889282974385e-09
1827,0.0,3.6869092223668076e-09
1828,0.0,9.172301140836225e-09
1829,0.0,2.1432940755516938e-08
1830,0.0,2.0873671680021744e-09
1831,0.0,3.1182412207897414e-09
1832,0.0,2.570694235259907e-08
1833,2.3167257001688313e-09,8.108539617524002e-09
1834,0.0,8.401078055442213e-09
1835,7.563087933704082e-10,1.3613558280667348e-08
1836,0.0,1.68018754465038e-08
1837,0.0,6.262101948095733e-09
1838,0.0,3.787297142565649e-09
1839,0.0,3.4957374772659477e-09
1840,0.0,3.821813088222825e-09
1841,0.0,1.2841097074556274e-09
1842,0.0,1.475818312002275e-08
1843,0.0,3.5441467538532834e-09
1844,1.097712254427563e-09,3.841992946007622e-09
1845,0.0,5.580227946389016e-10
1846,0.0,2.9272506640865004e-09
1847,0.0,4.853901280910122e-09
1848,0.0,5.63165514222419e-09
1849,0.0,0.0
1850,0.0,3.394498016007219e-09
1851,0.0,1.0319102017319892e-08
1852,0.0,6.510545436100301e-09
1853,1.1943863675867306e-09,1.0749477752369785e-08
1854,0.0,4.1565315633818045e-09
1855,0.0,3.1841622671890946e-09
1856,0.0,5.694908100650764e-09
1857,0.0,4.881509085841174e-10
1858,4.893676019968041e-10,2.4468380654951716e-09
1859,0.0,4.582956236731661e-09
1860,0.0,7.323494255473406e-09
1861,0.0,4.715963730639317e-10
1862,0.0,0.0
1863,9.989241656072068e-10,1.9978483312144135e-09
1864,0.0,8.63051052846231e-09
1865,0.0,1.882737743486018e-09
1866,0.0,4.865612912574591e-10
1867,0.0,7.279217228983725e-09
1868,0.0,3.457911734727759e-09
1869,0.0,5.371870948067681e-09
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,5.442605477412599e-09
1873,0.0,4.788803575905831e-09
1874,0.0,1.1949218281515073e-09
1875,5.721527140956084e-10,2.2886108563824337e-09
1876,0.0,7.859819461941697e-09
1877,0.0,3.710889595609501e-09
1878,0.0,2.4156354694326865e-09
1879,0.0,2.443730107160036e-09
1880,0.0,1.2835692508872398e-09
1881,0.0,2.7890030285249168e-09
1882,0.0,1.9966155395678697e-09
1883,0.0,0.0
1884,0.0,1.3203393933736152e-09
1885,6.445635691854079e-10,1.353583467533781e-08
