year,pourrons_VERB étendre_VERB
1800,0.0
1801,0.0
1802,6.713520406265161e-09
1803,0.0
1804,0.0
1805,0.0
1806,2.0171682990621775e-08
1807,1.4234775136401367e-08
1808,0.0
1809,1.3554183553310395e-08
1810,0.0
1811,5.0141535368197765e-09
1812,0.0
1813,1.7254450312975678e-08
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,0.0
1819,0.0
1820,1.0679833017945839e-08
1821,9.86148829262845e-10
1822,1.303330066093622e-08
1823,0.0
1824,0.0
1825,0.0
1826,1.3211976401805714e-08
1827,0.0
1828,1.2841221419535032e-08
1829,0.0
1830,1.3567886369969528e-08
1831,6.236482441579483e-09
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,6.720750067579218e-10
1837,5.5663127440652715e-09
1838,1.2624323808552163e-09
1839,2.0974426639952526e-09
1840,6.369688665408546e-10
1841,6.420548537278137e-10
1842,1.341653010911159e-09
1843,5.31621990873532e-09
1844,1.6465684371524958e-09
1845,5.580227835366713e-09
1846,0.0
1847,2.6966118227278457e-09
1848,8.045221711050488e-10
1849,0.0
1850,0.0
1851,7.094382858952031e-09
1852,1.1067927019325907e-08
1853,7.763511611358354e-09
1854,1.558699391779328e-09
1855,1.2205955357558196e-08
1856,9.836659486950339e-09
1857,2.4407544874094356e-09
1858,1.468102750479261e-09
1859,3.5645213447565993e-09
1860,0.0
1861,4.715963730639317e-10
1862,2.710791813242963e-09
1863,2.9967726078439227e-09
1864,2.8768367688059016e-09
1865,1.4120533631256649e-09
1866,1.4596839292835284e-09
1867,1.455843445796745e-09
1868,1.975949626142892e-09
1869,1.4650557433881772e-09
1870,0.0
1871,1.0621177271019633e-09
1872,1.2094678591978436e-09
1873,1.7958012854535355e-09
1874,4.182226565063729e-09
1875,3.432916173551348e-09
1876,3.02300739996042e-09
1877,1.2369631985365004e-09
1878,4.22736201599605e-09
1879,1.221865053580018e-09
1880,6.417846254436199e-10
1881,1.3945015142624584e-09
1882,0.0
1883,5.687405213450347e-09
1884,5.941527270181268e-09
1885,1.933690763067375e-09
1886,3.2267319927115068e-09
1887,5.223139698529167e-09
1888,1.9021844099853524e-09
1889,3.132568426877924e-09
1890,5.243509182406569e-09
1891,2.5496880162734215e-09
1892,3.1342561879199593e-09
1893,1.847525021858587e-09
1894,2.520615716150587e-09
1895,1.2037228991346183e-09
1896,5.897029087265082e-09
1897,4.078699600285063e-09
1898,2.8291773368493978e-09
1899,4.4220627160029835e-09
1900,7.786579381274805e-09
1901,3.912117296778206e-09
1902,3.928227076954727e-09
1903,5.400220270956879e-09
1904,5.374625189347171e-10
1905,1.0321518084666081e-09
1906,2.572092316910357e-09
1907,1.5428529565042481e-09
1908,6.875944702500192e-09
1909,3.850688656825696e-09
1910,6.412980813053082e-09
1911,6.384448969498635e-09
1912,6.251305251225858e-09
1913,3.71209285532359e-09
1914,7.366418142140674e-09
1915,1.1780762143587253e-08
