year,vingt - six années
1800,3.4447684704730364e-09
1801,3.922474434148171e-08
1802,3.2025557317183484e-08
1803,2.7857122830710068e-08
1804,1.087362200280495e-08
1805,3.122235137098528e-09
1806,6.319863210535459e-08
1807,1.5574743272850355e-08
1808,8.964533293465138e-08
1809,9.88383686006955e-09
1810,1.5385742457851848e-08
1811,6.898258675391844e-08
1812,1.7525501050386083e-08
1813,1.2588261988355498e-08
1814,2.0636273134755356e-08
1815,1.4190804620284325e-07
1816,7.092793907759187e-08
1817,2.559185396933117e-08
1818,3.388639691070949e-08
1819,9.72323809245168e-08
1820,5.567952232610196e-08
1821,3.1320933402412265e-08
1822,3.179781282725003e-08
1823,3.454679031733576e-08
1824,3.0318877075607986e-08
1825,2.402676102519763e-08
1826,2.8831773857262988e-08
1827,5.130933899977208e-08
1828,2.4055459513228072e-08
1829,5.712951178793446e-08
1830,6.277656661168862e-08
1831,9.412965340516166e-08
1832,8.302712473096108e-08
1833,1.7743291946814566e-08
1834,6.648683381627052e-08
1835,4.730775060579617e-08
1836,4.773268358349014e-08
1837,5.920970380657309e-08
1838,7.226355069889223e-08
1839,4.9676761371131306e-08
1840,4.38387970369547e-08
1841,5.826425919508438e-08
1842,4.6945331177994376e-08
1843,8.390431727178793e-08
1844,6.642210870211329e-08
1845,7.320485551076672e-08
1846,6.150340603472415e-08
1847,5.537163705326975e-08
1848,5.6377704726884303e-08
1849,6.697174370629e-08
1850,7.430066295555093e-08
1851,1.411713697052619e-07
1852,1.2269675186971085e-07
1853,5.8833379057432467e-08
1854,6.933484619775498e-08
1855,1.0297484465127127e-07
1856,5.104026146174334e-08
1857,1.0003934314273266e-07
1858,5.200158093021656e-08
1859,5.016834592197483e-08
1860,8.380030380727987e-08
1861,6.403165997426186e-08
1862,7.278094915630362e-08
1863,6.41465742745595e-08
1864,6.929392526444644e-08
1865,6.449506884109724e-08
1866,6.727526136174333e-08
1867,8.144697882794816e-08
1868,5.842704231540097e-08
1869,6.69664057539876e-08
1870,3.7699730781604046e-08
1871,3.8494253118415145e-08
1872,5.837489958082642e-08
1873,9.840636794322677e-08
1874,7.931748902123559e-08
1875,9.430455349956901e-08
1876,6.972872590438328e-08
1877,7.147938418938793e-08
1878,8.375015059236546e-08
1879,9.274330192710067e-08
1880,7.632341691987676e-08
1881,4.5337916532162126e-08
1882,5.6422777117148826e-08
1883,5.294623184326497e-08
1884,4.65589906628594e-08
1885,3.7641043670877394e-08
1886,6.969233368181449e-08
