year,voulons_VERB écrire_VERB,voulons_VERB décrire_VERB
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,2.2378401354217203e-09
1803,1.950339267864365e-08,1.950339223455444e-09
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,2.881669125542885e-08,0.0
1807,8.540865792383556e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,6.7770917766551975e-09,2.4849335034105025e-08
1810,0.0,2.574139479349924e-08
1811,1.0028307073639553e-08,1.0028307073639553e-08
1812,6.401299401659344e-08,5.3344164641089264e-09
1813,0.0,5.751483289628823e-09
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,9.270415546325239e-09,4.6352077731626196e-09
1817,7.784366928831332e-09,1.556873407970727e-09
1818,2.1458118837358597e-08,1.1921177378582115e-09
1819,9.315945348475907e-09,0.0
1820,0.0,0.0
1821,7.88919063410276e-09,3.94459531705138e-09
1822,6.015369535816717e-09,2.0051231786055723e-09
1823,4.941343334508019e-09,7.906149512848515e-09
1824,8.421112696055388e-10,0.0
1825,3.78634048558979e-08,0.0
1826,5.284790383086602e-09,6.1655889282974385e-09
1827,1.566936447261469e-08,1.3825909306319772e-08
1828,6.420610709767516e-09,8.255071293206129e-09
1829,9.430493719264632e-09,1.0287811491593857e-08
1830,1.461157062010443e-08,1.0436835840010872e-09
1831,1.4032085715598441e-08,1.091384405071949e-08
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,2.3167257001688313e-09,0.0
1834,2.8003592777992026e-09,6.534171426153534e-09
1835,2.2689263801112247e-09,9.832014313815307e-09
1836,4.032449929525228e-09,6.720750067579218e-10
1837,2.0873671680021744e-09,6.957890930081589e-10
1838,5.049729523420865e-09,1.9567702125300457e-08
1839,2.7965900706306e-09,1.2584655095793096e-08
1840,6.3696887764308485e-09,1.7835128929277744e-08
1841,1.2841097074556274e-09,1.2841097074556274e-09
1842,4.695785538189057e-09,5.366612043644636e-09
1843,1.594865928211675e-08,2.539971788451112e-08
1844,7.1351298203126134e-09,8.232841963717874e-09
1845,2.7901139176833567e-09,9.48638767539478e-09
1846,4.0981511517657054e-09,8.781752214304106e-09
1847,1.3483059113639229e-08,2.1572894581822766e-09
