year,énormes_ADJ dommages_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,0.0
1817,6.227493631882908e-09
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,4.010246357211145e-09
1823,0.0
1824,1.6842225392110777e-09
1825,1.7610886082763955e-09
1826,0.0
1827,7.373818444733615e-09
1828,1.0089530988466322e-08
1829,6.001223074036943e-09
1830,0.0
1831,9.354723218280014e-09
1832,0.0
1833,1.1583628500844156e-09
1834,1.8669061851994684e-09
1835,0.0
1836,0.0
1837,1.3915781860163179e-09
1838,5.049729523420865e-09
1839,1.8177836125232716e-08
1840,1.2102408852854296e-08
1841,2.0545755319290038e-08
1842,6.708265054555795e-09
1843,2.3627644285539873e-09
1844,1.5367971784030487e-08
1845,1.0602432709561072e-08
1846,2.3418005312692003e-09
1847,8.629157832729106e-09
1848,1.6090443422100975e-09
1849,6.703531951757213e-09
1850,2.7155984128057753e-09
1851,3.224719336003545e-08
1852,5.859490670445666e-09
1853,5.971931837933653e-09
1854,2.5978321716024766e-09
1855,2.653468555990912e-09
1856,1.1907535402144731e-08
1857,2.880090299584026e-08
1858,1.0276719919488642e-08
1859,2.49516496353408e-08
1860,1.4189270203246451e-08
1861,6.6023493339173456e-09
1862,4.9697850279528666e-09
1863,1.9978483312144135e-09
1864,3.3563094525845827e-09
1865,6.118897832863013e-09
1866,1.702964524952222e-08
1867,1.1161466417775046e-08
1868,1.1855697756857353e-08
1869,1.0743741896135361e-08
1870,1.0321287824410774e-08
1871,1.0621177271019633e-09
1872,9.675742873582749e-09
1873,3.591602570907071e-09
1874,5.377148060148329e-09
1875,3.432916173551348e-09
1876,5.441413541973361e-09
1877,1.1132669008873108e-08
1878,4.831270938865373e-09
1879,9.774920428640144e-09
1880,6.417846254436199e-10
1881,6.2752567586699115e-09
1882,3.9932310791357395e-09
1883,8.21514056781325e-09
1884,3.9610181801208455e-09
1885,1.933690763067375e-09
1886,3.2267319927115068e-09
1887,2.6115698492645834e-09
1888,2.53624587998047e-09
1889,8.771191772893872e-09
1890,1.1797895993481688e-08
1891,7.649063604731055e-09
1892,1.8805537127519756e-09
1893,3.695050043717174e-09
1894,3.150769645188234e-09
1895,9.629783193076946e-09
1896,1.0024948871034667e-08
1897,4.661370844871726e-09
1898,6.224190496340043e-09
1899,6.080336234504102e-09
1900,1.5054054003371675e-08
1901,6.706486921359556e-09
1902,8.838511256215043e-09
1903,7.560307935250421e-09
1904,9.674325340824907e-09
1905,3.6125313851442797e-09
1906,7.201858220895474e-09
1907,4.114274698707732e-09
1908,4.4202499438483756e-09
1909,4.950885035270858e-09
1910,9.619471441624228e-09
1911,4.25629931299909e-09
1912,4.167536982180309e-09
