year,quelques_DET doutes_NOUN
1800,1.4243065091790186e-06
1801,1.131061708292691e-06
1802,1.2173850336694159e-06
1803,1.0863389192650175e-06
1804,1.2062632990250677e-06
1805,1.222437457926162e-06
1806,1.1036792457730371e-06
1807,1.09038383655502e-06
1808,1.2871300425487675e-06
1809,1.3486412555607785e-06
1810,1.5070416097273664e-06
1811,1.4440762754475145e-06
1812,1.8377064647800978e-06
1813,1.5931608174923895e-06
1814,1.2492308161249355e-06
1815,1.2569062231015948e-06
1816,1.2190595946037774e-06
1817,1.3062167347754894e-06
1818,1.3494772987954207e-06
1819,1.0433858914637995e-06
1820,1.248353844296446e-06
1821,1.3934283504823952e-06
1822,1.1960559902490786e-06
1823,1.2936437556732017e-06
1824,1.2926407677582574e-06
1825,1.101560954452907e-06
1826,1.2727537495038632e-06
1827,1.3595477312833282e-06
1828,1.4492236353191856e-06
1829,1.2868336725091467e-06
1830,1.33800230628367e-06
1831,1.3844990860434336e-06
1832,1.2122852393048333e-06
1833,1.5904321593041004e-06
1834,1.1453469888067502e-06
1835,1.2524474044539602e-06
1836,1.2466991492487978e-06
1837,1.3860118244224395e-06
1838,1.2157223636677372e-06
1839,1.4752012340579768e-06
1840,1.4465563076271337e-06
1841,1.5987166293029986e-06
1842,1.4791724538554263e-06
1843,1.6214470690556482e-06
1844,1.217362900263197e-06
1845,1.3632496660420657e-06
1846,1.5643227904149626e-06
1847,1.27549739836752e-06
1848,1.493193121149261e-06
1849,1.5510297473042556e-06
1850,1.4141478459350765e-06
1851,1.4169417212883673e-06
1852,1.4661748721778167e-06
1853,1.3836965599978157e-06
1854,1.263585545530077e-06
1855,1.3357560995075346e-06
1856,1.3165592136488158e-06
1857,1.337045315352725e-06
1858,1.4039956539591003e-06
1859,1.3000318759281981e-06
1860,1.3022088012348831e-06
1861,1.3369756750591932e-06
1862,1.2560001287909017e-06
1863,1.3600352879450384e-06
1864,1.2921791388009751e-06
1865,1.3052079808062444e-06
1866,1.276250316095684e-06
1867,1.2005855438701474e-06
1868,1.2068111843177576e-06
1869,1.3302706314277657e-06
1870,1.220778973021197e-06
1871,1.1407144331343488e-06
1872,1.2384950949240192e-06
1873,1.3678020174268113e-06
1874,1.3060495511751924e-06
1875,1.2461485709991393e-06
1876,1.2061799488094493e-06
1877,1.1992358750489984e-06
1878,1.1758105458170576e-06
1879,1.1302251756717396e-06
1880,1.1224813185606308e-06
1881,1.1149039771396474e-06
1882,1.0908175944734921e-06
1883,1.1646542077414779e-06
1884,1.077396934334729e-06
1885,1.0222777815371842e-06
1886,1.0131938061874735e-06
1887,9.571403332131467e-07
1888,9.90403981049326e-07
1889,8.821312258433522e-07
1890,1.0100309353333614e-06
1891,9.567704424284784e-07
1892,9.152027935499518e-07
1893,9.379268153253406e-07
1894,8.362142676077156e-07
1895,8.293650957114096e-07
1896,8.279428804769395e-07
1897,8.349680671315696e-07
1898,8.244223010933638e-07
1899,6.793394060622404e-07
1900,7.480307697704802e-07
1901,7.718048262717048e-07
1902,6.240970922277711e-07
1903,7.133691060090541e-07
1904,6.621538153339657e-07
1905,6.879292007155868e-07
1906,6.898351383455292e-07
1907,6.598267958679571e-07
1908,7.092045706258432e-07
1909,6.298626118450557e-07
1910,6.033546089412312e-07
1911,6.086508186342598e-07
1912,5.574080947923221e-07
1913,5.939348302064218e-07
1914,6.154307694572481e-07
1915,5.58408117079523e-07
1916,6.438652526696842e-07
1917,5.274849890213318e-07
1918,4.732387095529589e-07
1919,4.576300698388991e-07
1920,4.3388887993600633e-07
1921,5.225195796043636e-07
1922,5.076019444771873e-07
1923,4.7134808678350737e-07
1924,4.808575821968475e-07
1925,4.3002876815023683e-07
1926,4.625647402889399e-07
1927,4.615779030103795e-07
1928,4.4218780015370385e-07
1929,4.489583789180074e-07
1930,4.852664812204921e-07
1931,4.6533856501440596e-07
1932,5.205779842754055e-07
1933,4.496499599326853e-07
1934,4.289405701740634e-07
1935,4.1888993251859574e-07
1936,4.680139689128282e-07
1937,3.941019932618417e-07
1938,4.4989295133746054e-07
1939,3.685866243330338e-07
1940,3.9558213416057697e-07
1941,3.71889329109365e-07
1942,3.034211886188132e-07
1943,3.7742057834577736e-07
1944,3.213186143824487e-07
1945,3.224185887162889e-07
1946,3.3828283818593263e-07
1947,4.1127004202223816e-07
1948,3.326797592961839e-07
1949,3.5439400924985875e-07
1950,3.573481452967542e-07
1951,3.667522241457277e-07
1952,4.407727942634665e-07
1953,4.5681027494026694e-07
1954,4.329233433963964e-07
1955,3.7636287331110907e-07
1956,3.49717786729542e-07
1957,3.295469128694606e-07
1958,3.383347522145641e-07
1959,3.2553141071645086e-07
1960,3.439654063797093e-07
1961,3.6269391223697767e-07
1962,3.595889239704775e-07
1963,3.5886595872725024e-07
1964,3.656464881984789e-07
1965,4.197057146271277e-07
1966,3.683484823824301e-07
1967,4.220367131324565e-07
1968,4.042274381887978e-07
1969,4.609884172168677e-07
1970,3.789349420912913e-07
1971,3.1909448416911346e-07
1972,3.632143998899551e-07
1973,3.7434653954449004e-07
1974,3.9041467125855434e-07
1975,3.6724818119893143e-07
1976,3.656657305839417e-07
1977,3.214599608725166e-07
1978,3.2138600492004343e-07
1979,3.885710446738244e-07
1980,3.49636758656402e-07
1981,3.5549587984462505e-07
1982,3.426541290707519e-07
1983,3.4165860718360364e-07
1984,3.3692237977334116e-07
1985,3.122074598849167e-07
1986,3.2130442795264e-07
1987,3.171513851540908e-07
1988,3.35207359647427e-07
1989,3.50142207672377e-07
1990,3.399958297123362e-07
1991,3.411372615502728e-07
1992,3.4712648844248406e-07
1993,3.6669553615809036e-07
1994,3.655524087875506e-07
1995,3.530015453279134e-07
1996,3.507126429269647e-07
1997,3.332451523618829e-07
1998,3.4330531129000974e-07
1999,3.281404392652121e-07
2000,3.2074907352352966e-07
2001,2.979223951982135e-07
2002,2.882843772589183e-07
2003,3.333538378669232e-07
2004,3.09216359184461e-07
2005,3.3237671992480955e-07
2006,3.2448972842047397e-07
2007,3.111699480307095e-07
2008,3.4783281943617794e-07
2009,3.485548702997221e-07
2010,3.363340548290239e-07
2011,3.040057738878943e-07
2012,3.4348910959991485e-07
2013,3.762529612316712e-07
2014,4.462982650110803e-07
2015,4.23587565911987e-07
2016,4.090896643660358e-07
2017,3.627511540038597e-07
2018,3.5779127927071386e-07
2019,4.4106578567237875e-07
