year,les_DET eaux_NOUN,les_DET do_NOUN
1800,6.798626600357238e-05,4.4018302336468196e-08
1801,5.570538405663683e-05,4.0480102825313224e-08
1802,6.57835489619174e-05,3.1329761895904085e-08
1803,6.877285841255798e-05,4.87584805863861e-08
1804,6.552382501467946e-05,5.438072037122765e-08
1805,6.032870669514523e-05,3.980028706607186e-08
1806,5.051277844358992e-05,1.729001475325731e-08
1807,5.490352896231343e-05,7.402083213037258e-08
1808,5.092548053653445e-05,4.305540501903238e-08
1809,5.907139029659447e-05,3.614448917943491e-08
1810,5.2238649459468434e-05,5.3822914125589705e-08
1811,5.3568709972751094e-05,3.5099073869560016e-08
1812,5.794242997581023e-05,4.267532949242536e-08
1813,4.849650667893002e-05,2.8757417114277928e-08
1814,4.401571959533612e-05,3.1466771410748606e-08
1815,5.169229098100914e-05,2.1577788444915313e-08
1816,5.242188080956112e-05,3.012885052555703e-08
1817,4.4865978225061554e-05,1.4011860338669635e-08
1818,5.1160924613213865e-05,3.0995060518179685e-08
1819,4.7381931381096365e-05,4.761482863546718e-08
1820,3.839281180262333e-05,3.797273961936298e-08
1821,3.80860542463779e-05,4.437669742785033e-08
1822,4.8787653213366866e-05,2.606660132187244e-08
1823,3.7892198633926455e-05,4.0519017474593966e-08
1824,4.0812080214891466e-05,3.115811697540494e-08
1825,4.547130765786278e-05,2.8177418398556142e-08
1826,4.5599815848618164e-05,5.372870548470132e-08
1827,4.266859968993231e-05,5.7147093723841635e-08
1828,4.227238491694152e-05,4.310981671640235e-08
1829,4.606024685926968e-05,5.572564332201324e-08
1830,4.466026530280942e-05,4.4878395222269774e-08
1831,4.8145645450858865e-05,3.7418895981744527e-08
1832,4.258693161318661e-05,2.4353944638733083e-08
1833,5.670186237693997e-05,4.285942378778884e-08
1834,4.441183205017296e-05,3.4537765314368585e-08
1835,5.218606474954868e-05,4.386591001548368e-08
1836,4.175064509581716e-05,3.696412642639757e-08
1837,4.713414455181919e-05,4.174734535844493e-08
1838,4.5350988330028486e-05,4.4185131775620334e-08
1839,4.228024772601202e-05,4.055055691232212e-08
1840,4.3711350599551224e-05,3.885510224677091e-08
1841,4.367578185338061e-05,2.8250414008113012e-08
1842,3.850678172057087e-05,3.085801880686745e-08
1843,4.213517991047411e-05,3.6032156092158374e-08
1844,4.2020973978651455e-05,2.854051861511664e-08
1845,4.3623432247841265e-05,2.622707157007298e-08
1846,4.385255556371703e-05,4.098151040743403e-08
1847,3.948055450564425e-05,3.4516632219094845e-08
1848,4.3825539705721894e-05,3.8617064379575794e-08
1849,4.31640432907443e-05,4.0221190156231046e-08
1850,3.981474583270028e-05,3.1229382635444836e-08
1851,4.472298724067514e-05,3.740674658914145e-08
1852,4.753544521918229e-05,3.971432804839026e-08
1853,4.7953417379176244e-05,3.941475013036211e-08
1854,4.652613529287919e-05,2.6497889604737423e-08
1855,4.722218659480859e-05,4.0332722051061864e-08
1856,4.4654809698840836e-05,3.9864357925800675e-08
1857,4.9362308800482424e-05,4.686248783469793e-08
1858,4.278541041458084e-05,3.523446706621414e-08
1859,4.789290733242524e-05,4.379269036292044e-08
1860,4.40297640125209e-05,3.982149851533556e-08
1861,4.351419875092688e-05,3.489813049650792e-08
1862,4.55652457276301e-05,3.704748890998033e-08
1863,4.365847894405306e-05,4.644997453340238e-08
1864,4.697203030445962e-05,4.123466212924143e-08
1865,4.387814396977774e-05,4.189091579176463e-08
1866,4.269624105290859e-05,3.892490402224169e-08
1867,4.248054256095202e-05,3.202855758388523e-08
1868,4.514106421993347e-05,2.618133254639332e-08
1869,4.1994847379100975e-05,4.10215625912258e-08
1870,4.5666539335798007e-05,4.4152175249223546e-08
