year,autres_ADJ essais_NOUN,autres_ADJ décès_NOUN
1800,2.138031902632065e-07,0.0
1801,2.619300805140057e-07,0.0
1802,2.998705781465105e-07,0.0
1803,1.092189982898617e-07,0.0
1804,1.928043793508749e-07,2.4718509461507665e-09
1805,1.3930101472325873e-07,0.0
1806,3.5156364219801617e-07,2.881669125542885e-09
1807,1.708173016368164e-07,0.0
1808,1.1783584996649665e-07,0.0
1809,1.0391540428145163e-07,2.259030518203531e-09
1810,1.7550951270095538e-07,0.0
1811,2.1059445032278745e-07,0.0
1812,2.427159415674396e-07,0.0
1813,1.4091134414861983e-07,0.0
1814,1.2901375612273114e-07,0.0
1815,1.8610842289490392e-07,0.0
1816,3.3605255111979204e-07,0.0
1817,1.4945985071790346e-07,0.0
1818,1.1563542301473717e-07,0.0
1819,2.7844325245496293e-07,0.0
1820,1.7206397728841694e-07,0.0
1821,1.8342367980039853e-07,1.97229765852569e-09
1822,1.0526896687679255e-07,3.0076847679083585e-09
1823,1.8085316355609393e-07,0.0
1824,1.8779081756292726e-07,8.421112696055388e-10
1825,1.8491429898404022e-07,1.7610886082763955e-09
1826,2.1755721490990254e-07,0.0
1827,1.98171363763322e-07,0.0
1828,1.1281930289985809e-07,9.172301251858528e-10
1829,2.623391992528923e-07,0.0
1830,2.0038724546367348e-07,0.0
1831,2.0424479885150504e-07,3.1182412207897414e-09
1832,3.003653259447958e-07,4.058990921151917e-09
1833,2.0618858265208928e-07,1.50587169400751e-08
1834,1.9509169768561208e-07,1.9602515166639023e-08
1835,1.6563163285354676e-07,6.050470346963266e-09
1836,1.1156444762461248e-07,2.688300027031687e-09
1837,1.8299253667919402e-07,6.262101948095733e-09
1838,1.7484688630275969e-07,4.418513555037862e-09
1839,2.1883317247173295e-07,2.0974426639952526e-09
1840,1.8408400404013037e-07,3.1848443882154243e-09
1841,1.5601933389675082e-07,3.2102742686390684e-09
1842,1.4892348687567392e-07,6.708265054555795e-10
1843,2.2918814579497848e-07,4.134837805480629e-09
1844,1.0592923160857026e-07,1.5367971784030487e-08
1845,1.3001931620237883e-07,7.812318791877715e-09
1846,2.0315119719782615e-07,4.6836010625384006e-09
1847,1.9092011527277464e-07,5.393223645455691e-10
1848,1.6009990744247915e-07,8.84974404868899e-09
1849,2.0697154767823633e-07,1.3407063903514427e-08
1850,2.1521118043210663e-07,1.0183494048021657e-08
1851,1.4640225431961085e-07,1.0319102017319892e-08
1852,2.519581068227694e-07,5.208436348880241e-09
1853,2.1618393475364428e-07,4.777545470346922e-09
1854,2.1925703741487723e-07,7.79349651480743e-09
1855,2.0537846978641028e-07,2.1227748447927297e-09
1856,1.7861303436284004e-07,9.836659486950339e-09
1857,2.2650202424756571e-07,1.0251168802710708e-08
1858,2.2021541473682404e-07,2.7404585267731818e-08
1859,2.5562709993209864e-07,3.5645213447565993e-09
1860,2.0368467801290535e-07,7.323494255473406e-09
1861,1.9854206856351198e-07,9.903524222920623e-09
1862,1.599367110971528e-07,8.132375661773494e-09
1863,1.4634238765243168e-07,5.9935452156878455e-09
1864,2.2679063105268682e-07,9.589456340108882e-09
1865,2.904122933244935e-07,2.3534221238463715e-09
1866,2.2625099954654004e-07,1.8002767276925624e-08
1867,2.470081081895614e-07,5.82337378318698e-09
1868,2.2427028190108445e-07,2.222943251695142e-08
1869,1.6994646045986883e-07,1.904572499711321e-08
1870,1.823427453473414e-07,9.747882501187632e-09
1871,2.432249728290259e-07,2.549082545044712e-08
1872,2.2133262467249892e-07,1.6327815544059376e-08
1873,2.310597695398542e-07,1.3169209722718733e-08
1874,1.7625096404572105e-07,2.509335778055899e-08
1875,2.002534436051917e-07,1.0298748520654044e-08
1876,2.0375070364231362e-07,9.673623679873344e-09
1877,2.1461310950599e-07,9.27722432209066e-09
1878,2.306931889961561e-07,8.4547240319921e-09
1879,1.9549841567823023e-07,1.1607718342077078e-08
1880,2.3617674194120752e-07,2.0537107348062023e-08
1881,2.2242299690944378e-07,1.9523021921319383e-08
1882,2.3027632778394036e-07,2.3293848627758962e-08
1883,1.9400370376843057e-07,1.0110942305630033e-08
1884,3.6639417455575085e-07,3.1688145440966764e-08
1885,2.281755036026567e-07,2.7716232864349877e-08
1886,2.4716767454968647e-07,2.5168509054651622e-08
1887,2.2067764704480908e-07,2.285123557044244e-08
1888,2.8342547064852397e-07,1.268122939990235e-08
1889,2.549910762539298e-07,1.2530273707511697e-08
1890,3.093670382092739e-07,2.7528423984790606e-08
1891,3.4293305040122846e-07,1.784781566982474e-08
1892,2.51994208610995e-07,1.817868522380195e-08
1893,3.3009112643256344e-07,2.0938616174248637e-08
1894,3.1318650628442413e-07,3.591877373310126e-08
1895,3.3222753392792015e-07,2.5278181325916194e-08
1896,3.2138807604109587e-07,1.8280790214930676e-08
1897,4.1544467066501056e-07,2.6220210780358855e-08
1898,4.3908834790329365e-07,1.7540900398849146e-08
1899,3.731115452154654e-07,2.2110313580014918e-08
1900,3.65969246018949e-07,1.9206897405865675e-08
1901,3.7109226669329587e-07,1.3412973065562994e-08
1902,4.021522550523571e-07,2.455141867585553e-08
