year,devrais_VERB écrire_VERB,devrais_VERB décrire_VERB
1800,0.0,0.0
1801,0.0,1.1905912700171939e-08
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,1.0729059418679299e-08,5.960588467246453e-09
1819,0.0,1.035105001712111e-09
1820,3.5599443393152796e-09,1.1866481131050932e-09
1821,6.903041693817613e-09,0.0
1822,0.0,0.0
1823,9.882686891060644e-10,0.0
1824,8.421112696055388e-10,0.0
1825,0.0,0.0
1826,1.0569580766173203e-08,0.0
1827,4.608636583469661e-09,0.0
1828,5.503380862137419e-09,0.0
1829,7.715858174606183e-09,0.0
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,2.3167257001688313e-09,1.1583628500844156e-09
1834,1.7735608537350345e-08,0.0
1835,9.832014313815307e-09,0.0
1836,3.36037508930076e-09,1.3441500135158435e-09
1837,0.0,0.0
1838,1.2624323808552163e-09,5.049729523420865e-09
1839,3.4957374772659477e-09,0.0
1840,3.821813088222825e-09,0.0
1841,1.4125206782011901e-08,0.0
1842,4.695785538189057e-09,0.0
1843,2.3627644285539873e-09,0.0
1844,4.390849017710252e-09,0.0
1845,3.348136878855712e-09,2.2320911785556063e-09
1846,4.6836010625384006e-09,0.0
1847,2.6966118227278457e-09,0.0
1848,2.413566457803995e-09,0.0
1849,5.02764896381791e-09,0.0
1850,9.504594444820214e-09,0.0
1851,6.449438760824933e-10,7.739326512989919e-09
1852,6.510545436100301e-09,0.0
1853,1.1943863675867306e-09,0.0
1854,4.1565315633818045e-09,0.0
1855,1.0613874223963649e-08,0.0
