year,nos_DET eaux_NOUN,nos_DET dos_NOUN
1800,1.6978488170948935e-07,0.0
1801,2.5240534040626983e-07,0.0
1802,5.572221937200084e-07,0.0
1803,5.558466682487051e-07,1.950339223455444e-09
1804,1.9033252907085796e-07,4.943701892301533e-09
1805,2.4448747981686836e-07,2.842877711017877e-09
1806,1.123850950079941e-07,0.0
1807,1.7366425675291453e-07,2.8469551160981155e-09
1808,2.1074488509853495e-07,0.0
1809,3.4789070069152217e-07,2.259030518203531e-09
1810,6.248138508802015e-07,0.0
1811,2.0307322312618226e-07,0.0
1812,5.521120840512594e-07,0.0
1813,2.5594099395398473e-07,0.0
1814,1.5733385794192145e-07,0.0
1815,2.0498898534171417e-07,0.0
1816,2.0394914201915526e-07,4.6352077731626196e-09
1817,4.125714561098448e-07,7.784366928831332e-09
1818,9.393887872022333e-07,1.5497530370112145e-08
1819,2.950049129424315e-07,7.24573512300708e-09
1820,2.7530235424677585e-07,1.1866481131050932e-09
1821,4.4376696273218386e-07,1.97229765852569e-09
1822,3.258325307342602e-07,0.0
1823,2.2137218458340158e-07,8.894418535021487e-09
1824,2.206331588539001e-07,1.9368560089105813e-08
1825,1.6994505336320742e-07,0.0
1826,1.8849086469430176e-07,0.0
1827,5.382887540150705e-07,0.0
1828,4.797113555277122e-07,0.0
1829,9.199018062844289e-07,0.0
1830,3.965997514843167e-07,0.0
1831,3.710706950599274e-07,0.0
1832,3.0983630083802893e-07,0.0
1833,1.646033624069787e-06,0.0
1834,4.060521003879103e-07,1.120143711119681e-08
1835,4.250455489795968e-07,4.5378527602224494e-09
1836,3.75017862097593e-07,6.720750067579218e-10
1837,4.049492597912874e-07,6.957891152126194e-09
1838,2.670044372266034e-07,0.0
1839,2.7126923396458835e-07,0.0
1840,2.223021389191615e-07,5.732719632334238e-09
1841,3.5698249689630757e-07,1.2841097074556274e-09
1842,2.5223075894587055e-07,0.0
1843,3.538239612410621e-07,8.860366662588604e-09
1844,3.507190520779524e-07,2.195424508855126e-09
1845,3.1026068048056743e-07,5.580227946389016e-10
1846,3.2199757704631793e-07,5.854501328173001e-10
1847,2.1518961723643315e-07,1.0786447290911383e-09
1848,2.244616927882248e-07,8.045221711050488e-10
