year,seriez_VERB en_ADP,seriez_VERB dans_ADP
1800,6.288328791015374e-08,1.1633408547595536e-07
1801,3.5717739876872656e-08,6.905429472681135e-08
1802,4.2518962573012686e-08,5.147032311469957e-08
1803,2.3404069793286908e-08,6.631153581793114e-08
1804,5.19088700912107e-08,6.426812149129546e-08
1805,6.822906328807221e-08,3.4114531644036106e-08
1806,7.492339904047185e-08,1.0374009207225754e-07
1807,5.124519120158766e-08,7.686778502602465e-08
1808,6.798222074166915e-08,5.891792298484688e-08
1809,3.162642769893864e-08,3.162642769893864e-08
1810,7.020380365929668e-08,5.148278958699848e-08
1811,2.0056614147279106e-08,3.008491944456182e-08
1812,3.467370746079723e-08,6.401299401659344e-08
1813,2.0130190847567064e-08,8.627225156487839e-08
1814,3.1466772298927026e-08,2.5173417128598885e-08
1815,5.394447111228828e-09,2.4275012222574333e-08
1816,6.025770460382773e-08,7.416332437060191e-08
1817,9.341240314597599e-08,8.407116069975018e-08
1818,4.410835785506606e-08,5.364529798157491e-08
1819,7.866798057420965e-08,6.003609342997152e-08
1820,9.255855104584043e-08,8.662531314485022e-08
1821,1.23268605989324e-07,9.861488337037372e-08
1822,7.920236555492011e-08,7.21844344298006e-08
1823,7.510841726343642e-08,6.917881023582595e-08
1824,7.831634718513669e-08,7.663212642228245e-08
1825,1.2327620879659662e-07,7.13240879690602e-08
1826,9.336463335785083e-08,6.605988289720699e-08
1827,1.0231173064312316e-07,6.267745789045875e-08
1828,5.961995697134626e-08,7.429564163885516e-08
1829,6.601345603485242e-08,7.11573591161141e-08
1830,4.800944353178238e-08,5.0096812032052185e-08
1831,7.016042502527853e-08,1.0134284167406804e-07
1832,5.411987658021644e-08,5.953186388296672e-08
1833,6.834341093053808e-08,4.170106393530659e-08
1834,3.453776287187793e-08,5.694063887062839e-08
1835,7.789980571715205e-08,5.596685070941021e-08
1836,6.787957573806125e-08,4.704525125021064e-08
1837,9.323574090558395e-08,4.6617870452791976e-08
1838,1.249808008196851e-07,4.1660268124132926e-08
1839,9.019002789045771e-08,6.152497888933794e-08
1840,9.490835850556323e-08,8.471685930544481e-08
1841,7.833069304297169e-08,6.292137300079048e-08
