year,nombreux_ADJ hommages_NOUN,nombreux_ADJ dommages_NOUN
1800,3.144164484325529e-09,0.0
1801,9.524730337773235e-09,0.0
1802,2.6854081625060644e-08,0.0
1803,0.0,0.0
1804,9.887403784603066e-09,0.0
1805,1.7057265822018053e-08,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,1.1330369531492579e-08,0.0
1809,2.259030518203531e-09,0.0
1810,2.574139479349924e-08,0.0
1811,1.2535384286138651e-08,1.2535384286138651e-08
1812,2.1337665856435706e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,9.440030979135372e-09,0.0
1815,5.394447111228828e-09,0.0
1816,1.8540831092650478e-08,0.0
1817,1.0898113522728181e-08,1.556873407970727e-09
1818,8.344824387052086e-09,0.0
1819,6.210630232317271e-09,0.0
1820,1.542642635854463e-08,0.0
1821,1.972297702934611e-08,0.0
1822,1.5038423839541792e-08,0.0
1823,3.4589405117912975e-08,9.882686891060644e-10
1824,2.189489300974401e-08,7.57900142644985e-09
1825,1.1447076175841175e-08,1.4969252504215547e-08
1826,7.0463874735082754e-09,8.807984341885344e-10
1827,6.452091305675367e-09,4.608636583469661e-09
1828,9.172301140836225e-09,0.0
1829,2.1432940755516938e-08,4.286587973467704e-09
1830,1.7742621594152297e-08,7.305785310052215e-09
1831,1.5591206103948707e-09,0.0
1832,2.976593194148336e-08,0.0
1833,2.4325620628928846e-08,2.3167257001688313e-09
1834,1.4935249481595747e-08,2.8003592777992026e-09
1835,5.294161553592858e-09,1.3613558280667348e-08
1836,1.68018754465038e-08,6.048674894287842e-09
1837,8.349468672008697e-09,1.87863058442872e-08
1838,9.468243078458727e-09,8.837027110075724e-09
1839,6.292327547896548e-09,2.027527834513876e-08
1840,2.4204817705708592e-08,1.0828470564661075e-08
1841,7.704658244733764e-09,5.1364388298225094e-09
1842,1.0733224087289273e-08,6.708265054555795e-09
1843,2.008349753168659e-08,4.7255288571079745e-09
1844,1.756339607084101e-08,7.683985892015244e-09
1845,1.4508592549589139e-08,2.2320911785556063e-09
1846,3.5127007969038004e-09,5.854501328173001e-09
1847,1.4561703842730367e-08,5.3932236454556914e-09
1848,1.287235473768078e-08,0.0
1849,1.5920887719289567e-08,2.513824481908955e-09
1850,1.0183494048021657e-08,6.788996032014438e-10
1851,1.870337307252612e-08,3.8696632564949596e-09
1852,1.2370036550635177e-08,0.0
1853,1.3735443005202796e-08,4.180352064508952e-09
1854,9.352196350675968e-09,1.558699391779328e-09
1855,1.1675261646360013e-08,7.960405667972736e-09
1856,1.7084724746041502e-08,7.248064815001953e-09
1857,1.610898081594314e-08,4.881508974818871e-09
1858,7.34051397444091e-09,4.893676019968041e-10
1859,6.619825576592575e-09,0.0
1860,1.373155189554609e-08,1.8308735638683515e-09
1861,1.4147890858851042e-08,1.8863854922557266e-09
1862,3.11741068514948e-08,8.584174260306554e-09
1863,7.991393324857654e-09,2.4973103585068657e-09
1864,1.102787461348953e-08,2.3973640850272204e-09
1865,1.0825742080555756e-08,1.3179164426446732e-08
1866,2.1895258939252926e-08,1.1190909532388105e-08
1867,1.067618526917613e-08,1.7955402498159856e-08
1868,7.409810987013543e-09,2.4699371437009177e-09
1869,1.3185501579471293e-08,1.4650557433881772e-09
1870,1.548193218070537e-08,5.734048791339319e-09
1871,2.1242354542039266e-09,0.0
1872,2.1770421909650395e-08,5.442605477412599e-09
1873,9.577607151811662e-09,6.584604861359367e-09
1874,5.974609251779839e-09,2.9873046258899194e-09
1875,1.830888685105947e-08,5.721527251978387e-09
1876,5.441413541973361e-09,2.418405919968336e-09
1877,1.4225077116236662e-08,1.608052180301911e-08
1878,2.5968081018845623e-08,2.4156354694326865e-09
1879,1.3440515367335593e-08,9.774920428640144e-09
1880,4.492492600149944e-09,7.059631101924424e-09
1881,4.8807553554297556e-09,2.091752326904839e-09
1882,1.9966155395678697e-09,6.655385131892899e-09
1883,7.58320695126713e-09,2.5277355764075082e-09
1884,1.0562715146988921e-08,1.9805090900604227e-09
1885,1.933690763067375e-09,1.933690763067375e-09
1886,2.3232470169887165e-08,2.5813855497602844e-09
1887,1.3057849024278312e-08,1.8933882017790893e-08
1888,1.8387781963724592e-08,5.706553452000662e-09
1889,1.50363277384713e-08,3.759081934617825e-09
1890,8.520702365899524e-09,1.9663159989136147e-09
1891,1.3385862196457765e-08,1.1473596295275001e-08
1892,2.3193495124473884e-08,5.014809900671935e-09
1893,1.7859408174558666e-08,1.847525021858587e-09
1894,5.671385139294216e-09,6.301539290376468e-10
1895,1.023164486468886e-08,1.8055843487019274e-09
1896,5.897029087265082e-09,5.897029087265082e-09
1897,5.826713334045053e-09,5.826713334045053e-09
1898,7.355861253444118e-09,6.224190496340043e-09
1899,1.2713430308508578e-08,3.3165470370022376e-09
1900,3.633737311048435e-09,2.07642125715779e-09
1901,3.353243460679778e-09,8.38310842965484e-09
1902,7.856454153909453e-09,3.437198747846537e-09
1903,1.0260418292773466e-08,1.0260418292773466e-08
1904,1.0211787859759625e-08,4.299700151477737e-09
1905,1.2385822145688508e-08,8.773290538499623e-09
1906,5.658602919567102e-09,3.600929110447737e-09
1907,1.1828539925318182e-08,1.0799970695529737e-08
