year,nos_DET eaux_NOUN,nos_DET do_NOUN
1800,1.6978488170948935e-07,3.144164484325529e-09
1801,2.5240534040626983e-07,0.0
1802,5.572221937200084e-07,0.0
1803,5.558466682487051e-07,0.0
1804,1.9033252907085796e-07,2.4718509461507665e-09
1805,2.4448747981686836e-07,2.842877711017877e-09
1806,1.123850950079941e-07,2.881669125542885e-09
1807,1.7366425675291453e-07,2.8469551160981155e-09
1808,2.1074488509853495e-07,4.5321479902327155e-09
1809,3.4789070069152217e-07,4.518061036407062e-09
1810,6.248138508802015e-07,2.3401267590372754e-09
1811,2.0307322312618226e-07,5.0141535368197765e-09
1812,5.521120840512594e-07,5.3344164641089264e-09
1813,2.5594099395398473e-07,1.4378708224072057e-08
1814,1.5733385794192145e-07,3.1466771410748606e-09
1815,2.0498898534171417e-07,0.0
1816,2.0394914201915526e-07,3.012885052555703e-08
1817,4.125714561098448e-07,7.784366928831332e-09
1818,9.393887872022333e-07,3.5763532135746345e-09
1819,2.950049129424315e-07,5.175524897538253e-09
1820,2.7530235424677585e-07,1.1866481131050932e-09
1821,4.4376696273218386e-07,5.9168927535324656e-09
1822,3.258325307342602e-07,5.012807946513931e-09
1823,2.2137218458340158e-07,1.9765373782121287e-09
1824,2.206331588539001e-07,8.421112696055388e-10
1825,1.6994505336320742e-07,1.8491430608946757e-08
1826,1.8849086469430176e-07,6.1655889282974385e-09
1827,5.382887540150705e-07,2.7651818612639545e-09
1828,4.797113555277122e-07,1.8344602503717056e-09
1829,9.199018062844289e-07,7.715858174606183e-09
1830,3.965997514843167e-07,2.0873670791843324e-08
1831,3.710706950599274e-07,0.0
1832,3.0983630083802893e-07,5.411987746839486e-09
1833,1.646033624069787e-06,1.1583628500844156e-09
1834,4.060521003879103e-07,0.0
1835,4.250455489795968e-07,1.2100940693926532e-08
1836,3.75017862097593e-07,6.720750067579218e-10
1837,4.049492597912874e-07,6.957890930081589e-10
1838,2.670044372266034e-07,1.2624323808552163e-09
1839,2.7126923396458835e-07,1.2584655095793096e-08
1840,2.223021389191615e-07,5.0957510988602905e-09
1841,3.5698249689630757e-07,0.0
1842,2.5223075894587055e-07,1.2074877098200432e-08
1843,3.538239612410621e-07,8.269675610961258e-09
1844,3.507190520779524e-07,1.097712254427563e-09
1845,3.1026068048056743e-07,1.1160455892778032e-09
1846,3.2199757704631793e-07,1.1709002656346001e-09
1847,2.1518961723643315e-07,1.0786447290911383e-09
1848,2.244616927882248e-07,8.045221711050488e-10
1849,4.7678869941059077e-07,3.3517659758786067e-09
1850,2.0706437897644037e-07,2.7155984128057753e-09
1851,3.3021126988330707e-07,6.449438760824933e-10
1852,5.462347409945778e-07,4.557382027314816e-09
1853,5.303075720775041e-07,5.971931837933653e-10
1854,3.7720523471396206e-07,1.558699391779328e-09
1855,3.0886374702276953e-07,5.306937111981824e-10
1856,2.7335559593666403e-07,1.0354378465748937e-09
1857,3.8075769914769353e-07,3.4170564155999728e-09
1858,3.2445070619058214e-07,4.404308473482388e-09
1859,2.7344970776610467e-07,1.5276520048956854e-09
1860,3.7212506143191604e-07,4.57718396518203e-09
1861,3.437937690087267e-07,3.772770984511453e-09
1862,3.3930077683597126e-07,2.2589931591987522e-09
1863,4.1255567762021883e-07,3.995696662428827e-09
1864,3.015883973667144e-07,2.3973640850272204e-09
1865,3.751355008851931e-07,2.8241067262513297e-09
1866,3.5129725728388905e-07,1.4596839292835284e-09
1867,4.682963172797372e-07,1.455843445796745e-09
1868,4.954693952896605e-07,2.469937032678615e-09
1869,3.750542578728755e-07,9.767038289254515e-10
1870,6.748975378556565e-07,2.2936195165357276e-09
1871,3.016414447110094e-07,1.0621177271019633e-09
1872,5.140238581446965e-07,0.0
1873,4.561335344988038e-07,0.0
