year,soyons_VERB en_ADP,soyons_VERB dans_ADP
1800,1.0375743109136693e-07,7.545995117652637e-08
1801,1.0239085401764214e-07,1.04772034603684e-07
1802,2.1483265300048515e-07,1.5664880947952042e-07
1803,1.716298487774992e-07,1.0531832117521844e-07
1804,1.928043786847411e-07,9.640218934237055e-08
1805,1.6772978028711805e-07,6.822906506442905e-08
1806,1.7001848107156547e-07,1.5272846098923765e-07
1807,1.4804165937576386e-07,1.0533733751927343e-07
1808,1.812859236061115e-07,1.2236799307174806e-07
1809,1.9427662523163747e-07,1.1295152546608733e-07
1810,1.825298929780672e-07,5.148278958699848e-08
1811,9.777599530025327e-08,3.008491944456182e-08
1812,1.7603574198332694e-07,1.226915742336132e-07
1813,1.4091134414861983e-07,3.1633157648869314e-08
1814,1.6677388892105682e-07,1.2901375967544482e-07
1815,1.3755839445295237e-07,7.012781444437621e-08
1816,1.7613789893289322e-07,1.3673863108465412e-07
1817,1.8059731665687195e-07,1.0431052155368548e-07
1818,1.7047283051851991e-07,1.0013788909191135e-07
1819,1.9045932164729606e-07,1.0765091928988113e-07
1820,1.09171627293847e-07,8.662531314485022e-08
1821,2.3568957230324372e-07,1.2228245793721726e-07
1822,2.466301509684854e-07,1.012587205195814e-07
1823,2.5892639676783347e-07,9.388552835165598e-08
1824,1.5073791725939145e-07,5.052667439997549e-08
1825,1.8139212443202268e-07,9.950150570148253e-08
1826,2.149148130570211e-07,8.807984386294265e-08
1827,2.608488376409923e-07,6.359918519605046e-08
1828,1.981217110369471e-07,1.0823315688135438e-07
1829,1.5774643502552976e-07,7.630126663826786e-08
1830,1.6385832068976924e-07,9.393152144987482e-08
1831,1.387617305503852e-07,1.153749238369528e-07
1832,1.8941957613538563e-07,5.276687886635045e-08
1833,1.9344658908071466e-07,6.950176789644047e-08
1834,2.5389924296348454e-07,1.2414926686687977e-07
1835,2.8664101847653e-07,7.411826175030001e-08
1836,3.037778961711979e-07,1.2635010726569362e-07
1837,1.4333255471399298e-07,7.166627824517491e-08
1838,1.4454851471334962e-07,8.07956708204216e-08
1839,1.8876983554072524e-07,8.249940652849119e-08
1840,2.3121969405792697e-07,1.2102408386560626e-07
1841,2.2600331384126093e-07,6.484753889424155e-08
1842,2.1734779132032145e-07,6.641182626054842e-08
1843,2.3804851867481602e-07,8.092467962406147e-08
1844,2.310684303896693e-07,1.355674657532724e-07
1845,2.2767329976858264e-07,1.4564394423821625e-07
1846,2.195438026930674e-07,8.898841730164975e-08
1847,1.41841778322771e-07,8.089835468183537e-08
1848,1.8986723571146058e-07,7.321151990202779e-08
1849,1.684262369572309e-07,7.29009101974043e-08
1850,1.6361480792426164e-07,5.702756578074286e-08
1851,1.5607641223880364e-07,6.836405219701192e-08
1852,2.0378006926335956e-07,8.789236005668499e-08
1853,1.719916327136417e-07,1.116751251473147e-07
1854,2.0990484550509336e-07,1.704177989836353e-07
1855,2.3562800066656564e-07,1.0295458352516107e-07
1856,2.2469001015323897e-07,1.154513202816787e-07
1857,1.5864905167362053e-07,8.59145572462694e-08
1858,2.290240326274784e-07,1.4338470277763804e-07
1859,2.067422393281504e-07,9.165911718511666e-08
1860,2.110081744888248e-07,7.598125603691663e-08
1861,1.7873502589083046e-07,6.979626476777412e-08
1862,2.5933240310749284e-07,1.061726782047856e-07
1863,2.1426922813816418e-07,8.241124271890499e-08
1864,2.3590061459799472e-07,8.103089887967485e-08
1865,1.8262555645520706e-07,1.2143657773799887e-07
1866,2.715011984122384e-07,1.0558380125758049e-07
1867,2.0624448993089572e-07,7.910082722162315e-08
1868,2.297041383769738e-07,5.433861460790723e-08
1869,2.236651774900622e-07,1.0206555156599961e-07
1870,2.2878854721852804e-07,1.0780011683308999e-07
1871,3.1120050447697167e-07,8.603153234254535e-08
1872,2.025858667487057e-07,8.405801343869257e-08
1873,1.7359412307627053e-07,6.345164393906089e-08
1874,1.9716210086784258e-07,7.289023284950957e-08
1875,2.374433829555045e-07,8.238998816523235e-08
1876,2.1161051932949704e-07,6.529695806278824e-08
1877,1.997695564526225e-07,6.122967866062368e-08
1878,1.7573747568278009e-07,5.737134145533673e-08
1879,1.90000021049741e-07,6.231511662235789e-08
1880,1.7713256372786645e-07,8.022307707022946e-08
1881,2.3567076112840368e-07,7.460583040241886e-08
1882,2.0565139990935677e-07,8.119569683273653e-08
1883,1.7378181382809998e-07,7.962367326586062e-08
1884,2.482238032897044e-07,5.809493330843907e-08
1885,2.28175507377415e-07,7.02574283195645e-08
1886,2.1360964863603726e-07,7.098810472783157e-08
1887,2.800908763256338e-07,7.638841659218798e-08
1888,1.800734548140781e-07,6.721051915015153e-08
1889,2.1802675548299177e-07,7.768769894056504e-08
1890,2.4054597957956503e-07,5.571228456346944e-08
1891,1.7210394709366028e-07,9.178877036220001e-08
1892,2.4071087811883274e-07,5.202865338560514e-08
1893,2.426416054746028e-07,8.005941515287773e-08
1894,2.14882483362544e-07,5.608369946230596e-08
1895,2.708376514171107e-07,8.365874326621281e-08
1896,2.2467680382831645e-07,3.8920392630981127e-08
1897,1.800454427769438e-07,4.0786996224895233e-08
1898,2.0030575820229046e-07,6.620275028179634e-08
1899,1.6914390421618464e-07,6.246163231082846e-08
1900,2.0712301895819962e-07,5.6582479146527476e-08
1901,1.9840022980055494e-07,3.688567695725453e-08
1902,1.8609975871441975e-07,4.9102838073356025e-08
1903,1.8954772507129292e-07,5.184211460118604e-08
1904,1.9241158000227188e-07,4.5146852478694655e-08
