year,jeunes_ADJ oies_NOUN,jeunes_ADJ doigts_NOUN
1800,2.2009151834367913e-08,0.0
1801,4.524246932646747e-08,0.0
1802,3.8043282302169246e-08,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,0.0
1819,0.0,4.140420006848444e-09
1820,1.0679833017945839e-08,1.1866481131050932e-09
1821,2.9584464655840748e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,5.929612356680991e-09,0.0
1824,0.0,0.0
1825,4.4027217427355936e-09,4.4027217427355936e-09
1826,1.7615968683770689e-09,7.927186018719112e-09
1827,1.8434546111834038e-09,0.0
1828,5.503380862137419e-09,0.0
1829,2.571952872898464e-09,8.57317605795771e-10
1830,7.305785310052215e-09,0.0
1831,1.5591206103948707e-09,2.0268567268999504e-08
1832,2.705993873419743e-09,9.470978667991403e-09
1833,4.6334514003376626e-09,2.3167257001688313e-09
1834,1.3068342852307069e-08,8.401078055442213e-09
1835,6.806779140333674e-09,0.0
1836,6.048674894287842e-09,2.688300027031687e-09
1837,3.478945576063097e-09,3.478945576063097e-09
1838,4.418513332993257e-09,6.312161904276081e-10
1839,2.7965900706306e-09,2.0974426639952526e-09
1840,5.732719632334238e-09,5.095750932326837e-09
1841,7.0626033910059505e-09,1.2841097074556274e-09
1842,8.720744570922534e-09,1.341653010911159e-09
1843,4.1348376944583265e-09,1.1813822142769936e-09
1844,3.2931368743049916e-09,1.6465684371524958e-09
1845,2.7901139176833567e-09,1.674068439427856e-09
1846,7.610851726624901e-09,0.0
1847,9.168480197274675e-09,5.393223645455691e-10
1848,1.6090443422100975e-09,1.6090443422100975e-09
1849,2.3462361831150247e-08,5.02764896381791e-09
1850,7.467895635215882e-09,4.752297222410107e-09
1851,1.9348316282474798e-09,1.2898877521649865e-09
1852,1.1067927019325907e-08,1.3021090872200602e-09
1853,7.1663179834757784e-09,2.388772735173461e-09
1854,3.117398783558656e-09,0.0
1855,7.429711956774554e-09,5.306937111981824e-10
