year,des_DET hommages_NOUN,des_DET dommages_NOUN
1800,9.809793102277808e-07,1.779597141648992e-06
1801,1.2429772731081812e-06,9.953342896551476e-07
1802,1.0741632365807163e-06,1.756704477884341e-06
1803,9.576165211910848e-07,1.5583210597469588e-06
1804,8.651478564658532e-07,3.7102481655892916e-06
1805,1.2195945711113154e-06,3.05325056615402e-06
1806,9.25015774200233e-07,3.2937477953964844e-06
1807,7.74371765377424e-07,8.261863513325807e-06
1808,1.0197332791506142e-06,5.098666406411212e-06
1809,9.668650915450883e-07,3.3162568797706626e-06
1810,1.7925370818794306e-06,4.137344149057753e-06
1811,5.741205679754557e-07,4.166761755186599e-06
1812,1.0162062835661345e-06,4.566260486171814e-06
1813,8.138349016917346e-07,2.895871830332908e-06
1814,1.2586708848516537e-06,2.1743539946328383e-06
1815,8.981754247017193e-07,2.093045395668014e-06
1816,8.644662621293264e-07,1.6501339814567473e-06
1817,1.1956787400180247e-06,1.3871741657567327e-06
1818,1.0991325876119618e-06,1.2243049241078552e-06
1819,1.0930708276291057e-06,2.2948277091927594e-06
1820,1.2412339351897117e-06,1.5343359791586408e-06
1821,1.4811955710847258e-06,1.903267275338294e-06
1822,1.2221226057818058e-06,2.0281820525269723e-06
1823,7.392249861126743e-07,2.6297830117982812e-06
1824,1.0534811920592801e-06,2.433701638437924e-06
1825,1.2979223580344978e-06,3.2210309655056335e-06
1826,1.1802699297902564e-06,2.820316694851499e-06
1827,1.014821801703647e-06,4.701731086242944e-06
1828,9.860224174929044e-07,4.525613348960178e-06
1829,9.524798549875868e-07,3.6530302622850286e-06
1830,9.81062585836412e-07,3.7196882658463437e-06
1831,7.857967716518033e-07,4.3437098611320835e-06
1832,8.131511446407558e-07,4.0238128349301405e-06
1833,1.0853860139548033e-06,3.4287540984223597e-06
1834,8.214387126059819e-07,3.9242368075065315e-06
1835,1.0875720661829291e-06,3.2816237762745004e-06
1836,8.038016838796125e-07,3.4255663194926456e-06
1837,6.262101583942581e-07,3.3502244605188025e-06
1838,6.356347295177756e-07,3.653479325294029e-06
1839,6.04762575129314e-07,3.6041053590452066e-06
1840,5.567107834170137e-07,3.623079010139918e-06
1841,7.300163584744723e-07,4.190691925032297e-06
1842,9.015908073450873e-07,3.891464530170197e-06
1843,8.517765479609807e-07,2.75852744380245e-06
1844,8.315170552108953e-07,3.9034648580127396e-06
1845,7.628171800888595e-07,4.115976025786949e-06
1846,7.845031562148108e-07,3.97110807170975e-06
1847,7.038156768501835e-07,4.5777683226333465e-06
1848,5.864966690083406e-07,3.96951236325549e-06
1849,6.552702354056805e-07,5.477623744809534e-06
1850,5.736701833569668e-07,3.587984338082606e-06
1851,6.172112785307604e-07,4.537825134320883e-06
1852,6.04829646810856e-07,4.84059046357288e-06
1853,8.348760438536829e-07,3.3621977308939677e-06
1854,9.902936888295244e-07,3.995985480287345e-06
1855,7.795890333284206e-07,3.089168103542761e-06
1856,7.558696255571817e-07,4.0444201658829115e-06
1857,6.082360234360706e-07,3.4507388591009658e-06
1858,7.267108876884976e-07,3.556234332791064e-06
1859,6.278649706814576e-07,4.105310381419258e-06
1860,6.371439895680453e-07,2.4410121568507748e-06
1861,6.776839756028608e-07,2.756009280346916e-06
1862,5.561641178708499e-07,2.80792846751865e-06
1863,6.168356714297829e-07,2.9033731152594555e-06
1864,5.32694274024692e-07,2.5397673653060338e-06
1865,5.747056892602131e-07,3.120167093584314e-06
1866,6.232850413567803e-07,3.3198077744600596e-06
1867,5.653525221305244e-07,3.5595371628005523e-06
1868,4.855895978650437e-07,3.014805088241701e-06
1869,5.332802714974605e-07,2.9428085781546542e-06
1870,5.349867571169398e-07,3.0161097583913943e-06
1871,4.726423812329017e-07,4.267589247319847e-06
1872,4.075906736566992e-07,3.408885049793753e-06
1873,4.579293357842573e-07,3.4473400774004404e-06
1874,5.640030984466193e-07,3.3159080885525327e-06
1875,3.5244606078066454e-07,3.0055182378418976e-06
1876,4.927502050833255e-07,3.059283471884555e-06
1877,3.7356289750434257e-07,3.6836763683822937e-06
1878,4.873544545702657e-07,3.779865664910176e-06
1879,4.398714121833791e-07,3.1939553082338534e-06
1880,4.993084470328313e-07,3.3058327062462922e-06
1881,4.23231198531937e-07,3.2268765153276036e-06
1882,5.470726742728971e-07,4.087071829417255e-06
1883,4.467772658500735e-07,4.2712413232948165e-06
1884,4.693806587852123e-07,3.8157809285621624e-06
1885,4.376586633103585e-07,3.968577857449418e-06
1886,4.414169358923914e-07,3.7165498270042008e-06
1887,4.04140432230804e-07,5.200941359362332e-06
1888,3.8233907950768753e-07,4.338248800195288e-06
1889,4.2101720065801373e-07,3.931999799533514e-06
1890,4.4897548701072765e-07,4.852212441619486e-06
1891,4.2962244073407874e-07,4.868629275733838e-06
1892,4.1622922886119795e-07,4.749024810735136e-06
1893,4.1138221762437865e-07,5.18415527039906e-06
1894,3.4469420739924317e-07,5.572451300395187e-06
1895,3.2079216616409667e-07,4.86424414702924e-06
1896,3.5205262438609e-07,4.797822839464061e-06
1897,3.088158164743504e-07,4.971934686182067e-06
1898,2.6537685737793026e-07,5.127601070853416e-06
1899,3.438153637347341e-07,4.9538157327333465e-06
1900,3.5506803719442814e-07,4.5115443754184525e-06
1901,3.37559819207911e-07,5.279122888168786e-06
1902,2.602450317468197e-07,4.499784154177178e-06
1903,2.851316389662628e-07,5.153430265636416e-06
1904,3.294645303242305e-07,4.556607109407196e-06
1905,3.0448479426681274e-07,4.99922725794022e-06
1906,3.11223169902064e-07,4.8206152314378414e-06
1907,3.1474200445913425e-07,5.06364358443534e-06
1908,3.1531119226713145e-07,4.2861693145823665e-06
1909,2.772495593106328e-07,4.346326932136435e-06
1910,3.254587768175554e-07,4.570852070173714e-06
1911,3.2560689122718145e-07,4.634046035789652e-06
1912,3.047511540898995e-07,4.997918949811719e-06
1913,2.4924050623376104e-07,4.7689786697446834e-06
1914,2.551459328259398e-07,4.776787136506755e-06
1915,1.908483429069463e-07,5.3708495215687435e-06
1916,2.527116318429279e-07,5.467361006594729e-06
1917,3.421524383817598e-07,4.246199750923552e-06
1918,4.169554665978126e-07,3.826111878879601e-06
1919,3.692347165795695e-07,4.825833457289264e-06
1920,3.415076466062317e-07,4.8068527576106135e-06
1921,2.86249860259602e-07,5.224438609729987e-06
1922,3.49714134095791e-07,4.995600193069549e-06
1923,3.2803279736981494e-07,4.54468727184576e-06
