year,quelques_DET hivers_NOUN,quelques_DET divers_ADJ
1800,1.5720821977538435e-08,6.288328968651058e-09
1801,4.524246932646747e-08,0.0
1802,2.2378401354217203e-08,2.2378401354217203e-08
1803,2.145373123596528e-08,1.950339223455444e-09
1804,3.213406074564773e-08,7.4155526164076946e-09
1805,1.9900143755080535e-08,0.0
1806,1.4408345627714425e-08,2.881669125542885e-09
1807,2.562259560079383e-08,0.0
1808,4.5321478125970316e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,4.44624070894406e-08,0.0
1811,5.515568801683912e-08,2.5070767684098882e-09
1812,1.3336041604361526e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,4.405347908686963e-08,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-08,0.0
1817,9.341240669868967e-09,0.0
1818,9.536941902865692e-09,2.384235475716423e-09
1819,1.0351049795076506e-08,1.3456364911235141e-08
1820,2.254631326081835e-08,8.899860759470357e-08
1821,1.2819934447350079e-08,2.070912508145284e-08
1822,1.4035862250239006e-08,6.015369535816717e-09
1823,1.4824030003524058e-08,9.882686669016039e-09
1824,1.431589158329416e-08,0.0
1825,1.0566531649658373e-08,0.0
1826,1.4092774835994248e-08,1.7615968683770689e-09
1827,3.6869092223668076e-09,0.0
1828,4.953042775923677e-08,9.172301251858528e-10
1829,1.0287811491593857e-08,3.429270478694235e-09
1830,3.339787468803479e-08,0.0
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,9.470978667991403e-09,1.3529969367098715e-09
1833,3.59092489077284e-08,0.0
1834,2.426978129577151e-08,0.0
1835,1.5126175867408165e-08,0.0
1836,7.392825018825988e-09,2.688300027031687e-09
1837,1.8090515530033713e-08,2.6439986200443855e-08
1838,1.199310784016916e-08,1.2624323586507558e-08
1839,2.866504900111977e-08,3.4957376993105527e-09
1840,1.3376346252869098e-08,0.0
1841,5.778493683550323e-09,2.5682194149112547e-09
1842,1.1404051036834062e-08,6.708265054555795e-09
1843,4.725528968130277e-09,0.0
1844,2.1405388628270572e-08,0.0
1845,2.7901139620922777e-08,1.1160455892778032e-09
1846,1.3465353498887112e-08,0.0
1847,1.5101026207275936e-08,1.0786447290911383e-09
1848,3.378993085334514e-08,7.24069959545659e-09
1849,1.759677070722887e-08,8.379414939696517e-10
1850,1.6293590476834652e-08,4.752297222410107e-09
1851,1.096404567135778e-08,2.2573035662887264e-08
1852,3.5156944022674e-08,3.906327261660181e-09
1853,2.8665272822081533e-08,7.763511389313749e-09
1854,1.454786069388092e-08,6.234797400583858e-09
1855,3.237231638308913e-08,0.0
1856,2.174419400091665e-08,0.0
1857,8.298565501441146e-09,4.3933582327682075e-09
1858,1.9085335978274998e-08,4.893676019968041e-10
1859,2.7497736532211547e-08,0.0
1860,1.4646988066857602e-08,1.8308735638683515e-09
1861,2.0278644818905178e-08,3.772770984511453e-09
1862,2.1686334950032915e-08,4.517986262886353e-10
1863,2.597202808374277e-08,4.994620828036034e-10
1864,1.582260189536555e-08,9.589455896019672e-10
1865,1.4591217123438582e-08,0.0
1866,1.216403244796993e-08,9.731225825149181e-10
1867,6.308654931785895e-09,0.0
1868,8.89177353968762e-09,9.87974813071446e-10
1869,1.0743741896135361e-08,0.0
1870,9.17447806614291e-09,0.0
1871,1.1683295220166201e-08,0.0
1872,2.0560953828407946e-08,6.047339295989218e-10
1873,4.1902030178953e-09,5.986004469882289e-10
1874,1.2546679251101978e-08,5.974609140757536e-10
1875,1.5448122780981066e-08,0.0
1876,8.464420275799966e-09,6.650616057868319e-09
1877,9.895705588292003e-09,0.0
1878,1.1474268646338714e-08,0.0
1879,3.176849006081284e-08,0.0
1880,1.3477476912271413e-08,1.9253538763308597e-09
1881,7.669758161910067e-09,1.3945015142624584e-09
1882,8.652000893505374e-09,6.655385131892899e-10
1883,1.832608226282062e-08,1.8958017378167824e-09
1884,2.1125430293977843e-08,0.0
1885,9.023890079618013e-09,2.5782542767416317e-09
1886,1.4842967244188543e-08,6.453463874400711e-10
1887,1.6975204131242094e-08,0.0
1888,1.7753721381907894e-08,0.0
1889,8.771191495338115e-09,6.265136742733546e-10
1890,1.8352281749844934e-08,6.554386478008212e-10
1891,1.0198752065093686e-08,4.461953806433883e-09
1892,5.641661360300532e-09,1.8805537127519756e-09
1893,2.155445777418663e-08,1.2316833108982905e-09
1894,1.3233232287745977e-08,0.0
1895,1.3842813118003505e-08,0.0
1896,1.6511680911435178e-08,0.0
1897,3.029891004757701e-08,0.0
1898,1.1882545614128048e-08,5.6583548957434e-10
1899,1.492446166651007e-08,0.0
1900,2.855079306307573e-08,5.191053142894475e-10
1901,2.4590450620198823e-08,5.588738916095792e-10
1902,1.6694965410124496e-08,9.820567692386817e-10
1903,8.100330184390714e-09,1.6200660812870638e-09
1904,5.912087708281888e-09,5.374625189347171e-10
1905,9.28936660926638e-09,5.160759042333041e-10
1906,1.594697174311932e-08,1.5432553013283723e-09
1907,3.085705913008496e-08,5.142843373384665e-10
1908,2.1118973236866623e-08,4.911389073214423e-10
1909,2.4204327431220918e-08,2.2003934230241384e-09
1910,4.114995899584528e-08,5.344150677544235e-10
1911,6.916486272601219e-09,1.0640748282497725e-09
1912,1.82329742415277e-08,5.209421227725386e-10
1913,1.0605979705591295e-08,3.181793939432964e-09
1914,1.87508826243743e-08,6.696743715117748e-10
1915,7.0684572639478915e-09,7.068456930880984e-09
1916,7.69122365795738e-09,0.0
1917,4.8252267959014716e-08,2.1932848870420685e-09
