year,quelques_DET oies_NOUN,quelques_DET doigts_NOUN
1800,5.0306631749208464e-08,4.087413785214267e-08
1801,1.6668277424969347e-08,3.5717739876872656e-08
1802,2.9091921760482364e-08,6.489736392722989e-08
1803,4.4857802805609026e-08,8.386458461018265e-08
1804,2.4718509905596875e-08,1.5572661093976592e-07
1805,5.4014676953428875e-08,1.5920115004064428e-07
1806,5.76333825108577e-09,7.492339904047185e-08
1807,5.693910232196231e-09,4.526658656800464e-07
1808,3.852325747288887e-08,6.118399653587403e-08
1809,3.162642769893864e-08,9.487928309681593e-08
1810,1.2870697219113936e-07,1.8487001796074765e-07
1811,0.0,2.0056614147279106e-08
1812,0.0,3.867452029737706e-07
1813,0.0,1.2653262615458516e-07
1814,0.0,9.44003133440674e-08
1815,4.315557688983063e-08,1.3755839445295237e-07
1816,1.8540831092650478e-08,2.850652833785716e-07
1817,1.2454987263765815e-08,1.3856173097792635e-07
1818,3.695565098382758e-08,1.6332013696995773e-07
1819,1.035105001712111e-09,7.866798057420965e-08
1820,3.5599443393152796e-09,5.93324074316115e-08
1821,9.861488514673056e-09,1.3214393845828454e-07
1822,1.804610860745015e-08,6.115625694746996e-08
1823,8.894418535021487e-09,8.20263039713609e-08
1824,1.431589158329416e-08,1.835802585503643e-07
1825,3.522177216552791e-09,6.95629991387392e-08
1826,1.8496766784892316e-08,7.486786812727075e-08
1827,1.013900030599757e-08,5.438191053031005e-08
1828,1.0089530988466322e-08,9.539193257523948e-08
1829,9.430493552731178e-09,6.3441500608441e-08
1830,9.39315203396518e-09,9.601888995014463e-08
1831,3.1182412207897414e-09,9.666548095310645e-08
1832,1.0823975493678972e-08,2.1377351799856115e-07
1833,2.0850531967653296e-08,9.266902623039641e-08
1834,1.8669061851994684e-08,6.72086244435377e-08
1835,7.563087933704082e-09,1.7697625764867553e-07
1836,1.949017514046858e-08,7.19120265557649e-08
1837,1.7394727436226276e-08,7.097048637660919e-08
1838,3.787297142565649e-09,4.292270006089893e-08
1839,4.894032734625853e-09,5.173691519644308e-08
1840,4.458782232319436e-09,5.22314479445285e-08
1841,4.494383976094696e-09,1.0529699911998591e-07
1842,6.708265054555795e-10,9.72698463996835e-08
1843,1.594865972620596e-08,3.839492279666956e-08
1844,4.9397050894128824e-09,2.7991662432391706e-08
1845,1.562463802784464e-08,3.9061594403477784e-08
1846,8.196302303531411e-09,6.147226305763809e-08
1847,1.0786447290911383e-08,5.3392915866368185e-08
1848,1.6090443422100975e-09,4.103063133698015e-08
1849,4.189707469848258e-09,1.508294644736452e-08
1850,1.8330290174617403e-08,2.430460677160795e-07
1851,9.029214709244116e-09,5.4175284702751014e-08
1852,1.9531636308300904e-09,4.2318543780339724e-08
1853,2.388772735173461e-09,4.5983876928445966e-08
1854,8.832629572186335e-09,2.7537021551893304e-08
1855,2.1227748447927297e-09,4.2986190607052777e-08
1856,3.1063135952358323e-09,1.8120162259549488e-08
1857,0.0,3.856392183365642e-08
1858,8.80861672492017e-09,4.404308251437783e-08
1859,3.055304009791371e-09,2.9025388537107233e-08
1860,1.327383358784573e-08,3.112485041922852e-08
1861,1.8863854922557266e-09,3.961409689168249e-08
1862,4.066187636597718e-09,3.7499287341979937e-08
1863,6.493007298491449e-09,2.597202808374277e-08
1864,1.102787461348953e-08,2.9727313943794798e-08
1865,0.0,3.388927893865912e-08
1866,8.758103242634263e-09,3.6005533943228585e-08
1867,5.338092634588065e-09,4.610170734054009e-08
1868,2.3711396401893126e-08,3.359114231216154e-08
1869,9.767038400276817e-09,7.032267412832027e-08
1870,3.4404292748035914e-09,4.3578769926000405e-08
1871,8.496941816815706e-09,4.354682658913589e-08
1872,5.442605477412599e-09,2.6003558417642125e-08
1873,5.986004469882289e-10,2.2746817762708815e-08
1874,6.572069888299836e-09,6.333085378340542e-08
1875,5.721527251978387e-09,2.803548326824057e-08
1876,3.02300739996042e-09,4.6554312405078235e-08
1877,6.80329748092845e-09,2.9687115987719892e-08
1878,9.058632954861423e-09,5.314398165978673e-08
1879,7.94212295929242e-09,4.154341226580982e-08
1880,6.417846032391594e-09,3.914886193001621e-08
1881,1.3945015142624584e-09,3.137628468152798e-08
1882,5.989846396659004e-09,2.3293848405714357e-08
1883,6.319338829996468e-09,2.7173157945981075e-08
1884,7.2618666635548834e-09,1.4523733327109767e-08
1885,6.445635636342928e-09,2.5782542323327107e-08
1886,1.0325542088018835e-08,3.033127959906068e-08
1887,1.0446279397058333e-08,2.3504128421336645e-08
1888,1.141310668195672e-08,2.9166826731596984e-08
1889,3.7590820456401275e-09,2.6313573542324775e-08
1890,7.209825181320184e-09,2.6217545745499393e-08
1891,1.0836173736095134e-08,3.1233678754460925e-08
1892,8.149066088591894e-09,4.5760142119988245e-08
1893,3.0792082772457263e-09,3.7566341148931315e-08
1894,6.301539290376468e-09,1.9534772022211655e-08
1895,3.0093072478365457e-09,2.2268872967856623e-08
1896,6.486731818355906e-09,4.5407121396223715e-08
1897,8.157398867503218e-09,3.379494017963225e-08
1898,7.355861253444118e-09,1.923840664552756e-08
1899,6.080336234504102e-09,1.7688250864011934e-08
1900,4.6719478286050276e-09,6.22926377147337e-09
1901,7.265360535413379e-09,2.123720777014171e-08
1902,3.928227076954727e-09,2.5042448115186744e-08
1903,3.2401321625741275e-09,1.512061720276847e-08
1904,1.0211787859759625e-08,1.1286712897629059e-08
1905,5.160758931310738e-09,2.5287718585786934e-08
1906,7.716276506641861e-09,2.5206503551089554e-08
1907,1.131425531042396e-08,1.2342823652033985e-08
1908,5.893666887857307e-09,1.866327870025941e-08
1909,8.251475669407426e-09,4.290767208203761e-08
1910,1.0688301688155377e-08,1.9238942883248455e-08
1911,3.7242618988742038e-09,1.0108711201439746e-08
1912,6.772247651554153e-09,2.1879568379290504e-08
1913,1.1136278676993072e-08,1.856046338843953e-08
1914,2.678697486047099e-09,2.209925398233281e-08
1915,2.3561523843085297e-09,4.358881966481931e-08
1916,0.0,3.076489463182952e-08
1917,2.1932848870420685e-09,2.0836205649743533e-08
1918,3.44591288836682e-09,9.189101035644853e-09
1919,7.366278753639932e-09,2.3940405213807026e-08
1920,5.300562211374427e-09,2.4231141537711665e-08
1921,1.5145494858259667e-09,2.4232791773215467e-08
1922,1.180469710870824e-08,3.098733003525922e-08
1923,3.1847844361720945e-09,3.1847843473542525e-08
1924,2.578324886925998e-09,1.675911143195208e-08
1925,3.299453377181294e-09,5.49908882874206e-08
