year,ils_PRON eurent_VERB,ils_PRON durent_VERB
1800,4.137720452490612e-06,7.074370103055116e-07
1801,4.2480297679503565e-06,7.381666193850833e-07
1802,4.3458855998324e-06,4.811356291156699e-07
1803,5.1625480637085275e-06,6.884697398845674e-07
1804,4.24663994635921e-06,6.451530722983989e-07
1805,4.602618901117239e-06,7.448339829352335e-07
1806,4.0545083948018146e-06,7.377072961389786e-07
1807,4.429862087818037e-06,6.291770802135943e-07
1808,5.064675406174501e-06,5.733167114385651e-07
1809,5.301944497659861e-06,1.0210818004452449e-06
1810,4.743436988974281e-06,4.0484193419842995e-07
1811,5.665993398906721e-06,5.991913383240899e-07
1812,4.3155429807484325e-06,7.281478389131735e-07
1813,3.603304378430039e-06,6.815507660462572e-07
1814,5.154256996320328e-06,8.496028414128887e-07
1815,4.757902274832304e-06,8.819920935820846e-07
1816,4.065077177983767e-06,6.048946161740787e-07
1817,4.796726898348425e-06,8.407116212083565e-07
1818,5.511160338755872e-06,7.975267806159536e-07
1819,5.929081339672848e-06,7.018011700665738e-07
1820,5.7540564739611e-06,7.452150327935669e-07
1821,5.337037350727769e-06,7.839882982807467e-07
1822,4.989749072592531e-06,8.431542823927884e-07
1823,5.807066827401286e-06,7.856736345956961e-07
1824,8.504481684212806e-06,9.574805233114603e-07
1825,7.138572868825577e-06,9.685987407692664e-07
1826,7.0851427835805225e-06,6.253668871636364e-07
1827,4.961658191859897e-06,7.779378279337834e-07
1828,4.873243597103283e-06,9.961119218360182e-07
1829,4.842987209485727e-06,7.535821993087666e-07
1830,4.858347097069782e-06,1.0374215122510577e-06
1831,4.203389266876911e-06,7.0784076910968e-07
1832,3.768096405565302e-06,8.808009823724205e-07
1833,4.546574245978263e-06,9.660745945438975e-07
1834,4.259346610524517e-06,9.213182181611046e-07
1835,6.061058911654982e-06,1.1677407769639103e-06
1836,6.356485641845211e-06,9.624113914696864e-07
1837,5.1050046749878675e-06,9.156584539482537e-07
1838,6.2660832327310345e-06,9.304126393772094e-07
1839,4.557742613542359e-06,8.865190466167405e-07
1840,5.511054496309953e-06,1.143359170896474e-06
1841,4.109151177544845e-06,1.0703054442728899e-06
1842,4.629373734132969e-06,1.1061928830713441e-06
1843,4.424276426107099e-06,1.2168236622756012e-06
1844,4.709185589035769e-06,1.3430509255840661e-06
1845,4.188519255876599e-06,1.0541050414758502e-06
1846,4.2796405068656895e-06,1.2107108489090024e-06
1847,4.252017561157118e-06,1.1288016992239136e-06
1848,3.6396582459019555e-06,1.12230840443317e-06
1849,3.771574711208814e-06,1.0826204288605368e-06
1850,4.560168690659339e-06,1.15073480344563e-06
1851,3.7922699789305625e-06,1.1060787414862716e-06
1852,3.6693434708467976e-06,1.01108771843883e-06
1853,4.182143868547428e-06,1.0182143483916661e-06
1854,4.0276789832205395e-06,1.0313394085414984e-06
1855,3.466491250492254e-06,1.0544883934926474e-06
1856,3.7570862900793145e-06,1.0633946487814683e-06
1857,4.078988922628923e-06,9.79230733832992e-07
1858,3.626703346526483e-06,1.0908003815757183e-06
1859,3.900604724549339e-06,1.1192596929276988e-06
1860,3.6054478300684423e-06,1.1726745157147889e-06
1861,3.5577229482441908e-06,1.0214777717010293e-06
1862,3.559721449164499e-06,1.1195569840083408e-06
1863,3.6136081007498433e-06,1.088327906018094e-06
1864,3.66988473388119e-06,1.3348522145406605e-06
1865,3.5776724303104857e-06,1.1367028918130018e-06
1866,3.6331530850475247e-06,1.2937664450873854e-06
1867,3.6454320593293232e-06,1.2481431497235462e-06
1868,3.3591144301681197e-06,1.171244136344285e-06
1869,3.3080958132813976e-06,1.2492042316125662e-06
1870,3.4163463737968414e-06,1.3004822676521144e-06
1871,3.0323460009640257e-06,1.330833498514039e-06
1872,3.3804627150857414e-06,1.2082583680239622e-06
1873,2.9247617021610495e-06,1.185827528615846e-06
1874,3.2017930493566382e-06,1.2188202589413777e-06
1875,3.1262424045053194e-06,1.2450042987666166e-06
1876,3.130021809738537e-06,1.063494011077637e-06
1877,3.320627683933708e-06,1.2078945417215436e-06
1878,3.317271477953909e-06,1.233785852150504e-06
1879,3.588006791233056e-06,1.177877919644743e-06
1880,3.019596647391154e-06,1.0043929279390795e-06
1881,2.941003629075567e-06,1.2097300299274139e-06
1882,3.0900952765477996e-06,1.1527126986266012e-06
1883,2.7811409495370754e-06,1.1899315666141774e-06
1884,2.9641619221365545e-06,1.274787706506686e-06
1885,2.981751038078073e-06,1.1170286597916856e-06
1886,2.796285855310998e-06,1.2203499863971956e-06
1887,2.6481318400328746e-06,1.1190576856279222e-06
1888,2.7867001790582435e-06,1.2662208064284641e-06
1889,2.7290935236123914e-06,1.1991471353667293e-06
1890,2.5267159458053357e-06,1.0827846210759162e-06
1891,2.376309282681177e-06,1.0861671029260833e-06
1892,2.483584580659226e-06,1.0869600259866274e-06
1893,2.5963883558688394e-06,1.2483110509720063e-06
1894,2.675633709259273e-06,1.3334056916392e-06
1895,2.8016649480377964e-06,1.2404364326812356e-06
1896,2.7739623646994005e-06,1.2354275895631872e-06
1897,2.454211710301024e-06,1.155437288957728e-06
1898,2.8365332696012047e-06,1.0773507739259003e-06
1899,2.4641944946779404e-06,1.0883801877525912e-06
1900,2.5716476557136048e-06,1.1228247700501015e-06
