year,moins_ADV écrit_VERB,moins_ADV décrit_VERB
1800,4.7162465932615305e-08,0.0
1801,1.6668277424969347e-08,4.7623651688866175e-09
1802,3.5805442166747525e-08,0.0
1803,8.386458461018265e-08,0.0
1804,1.4831105943358125e-07,2.4718509461507665e-09
1805,3.980028751016107e-08,0.0
1806,8.933174200365102e-08,0.0
1807,8.256169792275614e-08,0.0
1808,1.1783584596969376e-07,1.1330369531492579e-08
1809,1.1746958961111886e-07,0.0
1810,4.212228077449254e-08,1.4040760554223652e-08
1811,7.270522672797597e-08,0.0
1812,4.800974906515876e-08,0.0
1813,8.91479885467561e-08,2.300593315851529e-08
1814,1.0384034254684593e-07,9.440030979135372e-09
1815,3.776112933451259e-08,0.0
1816,2.3176038865813098e-08,3.244645441213834e-08
1817,2.0239355080775567e-08,0.0
1818,2.5034472272977837e-08,8.344824387052086e-09
1819,6.417651121637391e-08,0.0
1820,7.238553223487543e-08,1.1866481131050932e-09
1821,1.1143481515318854e-07,1.0847637454958203e-08
1822,6.717162648328667e-08,1.0025615893027862e-09
1823,3.5577674140085946e-08,2.9648061783404955e-09
1824,4.5474010335055937e-08,2.5263338088166165e-09
1825,2.201360693732113e-08,1.0566531649658373e-08
1826,3.963592831723872e-08,2.642395191543301e-09
1827,6.267745789045875e-08,0.0
1828,6.237164740241496e-08,3.668920500743411e-09
1829,3.943661042171698e-08,7.715858174606183e-09
1830,7.305784777145163e-08,0.0
1831,2.9623292263636358e-08,4.677361609140007e-09
1832,3.788391467196561e-08,1.3529969367098715e-09
1833,1.9692167896323554e-08,1.1583628500844156e-09
1834,6.254136053485126e-08,5.600718555598405e-09
1835,2.8739734148075513e-08,0.0
1836,4.032450107160912e-08,0.0
1837,3.270208637218275e-08,1.1132625488130543e-08
1838,2.209256599883247e-08,2.5248647617104325e-09
1839,5.733009800223954e-08,6.9914749545318955e-09
1840,2.6752692505738196e-08,1.9109065441114126e-09
1841,3.531301828729738e-08,3.852329122366882e-09
1842,3.6895457355967665e-08,2.683306021822318e-09
1843,4.961805188941071e-08,1.1813822142769936e-09
1844,1.975882035765153e-08,6.586273748609983e-09
1845,3.57134588568897e-08,3.348136878855712e-09
1846,4.625055893825447e-08,1.7563503984519002e-09
1847,3.5055954583640414e-08,5.9325460100012606e-09
1848,4.424871846708811e-08,1.6090443422100975e-09
1849,3.4355601030711114e-08,8.379414939696517e-10
1850,1.968808760466345e-08,5.431196825611551e-09
1851,2.192809134271556e-08,0.0
1852,5.338647213193326e-08,1.3021090872200602e-09
1853,7.046879346717105e-08,1.1943863675867306e-09
1854,5.7152309551611324e-08,2.5978321716024766e-09
1855,4.6701046585440054e-08,4.776243400783642e-09
1856,5.0736453260924463e-08,2.0708756931497874e-09
1857,4.735063896532665e-08,2.4407544874094356e-09
1858,5.970284888690003e-08,2.936205500958522e-09
1859,3.971895168319861e-08,3.055304009791371e-09
1860,4.394096464466202e-08,6.865775947773045e-09
1861,5.8949545689301885e-08,9.431927461278633e-10
1862,4.653525920161883e-08,4.9697850279528666e-09
1863,5.4441368746438457e-08,4.994620828036034e-10
1864,7.575670224468922e-08,2.3973640850272204e-09
1865,4.6597758540656287e-08,6.589582213223366e-09
1866,4.525020003143254e-08,2.919367858567057e-09
