year,des_DET eaux_NOUN,des_DET dos_NOUN
1800,1.2161627836348998e-05,2.829747991484055e-08
1801,1.0810568916497232e-05,4.7623651688866175e-09
1802,1.0750584408469877e-05,6.489736392722989e-08
1803,1.2193521158110343e-05,5.851017448321727e-09
1804,1.1934096463050992e-05,2.4718509461507665e-09
1805,1.0493061409988513e-05,0.0
1806,8.725694257805117e-06,2.881669125542885e-09
1807,1.0451171831959982e-05,3.701041606518629e-08
1808,9.442730757314166e-06,1.1330369531492579e-08
1809,1.143069447095968e-05,6.09938268780752e-08
1810,9.154575806746834e-06,9.360507036149102e-09
1811,1.0775416043884434e-05,1.7549536934780008e-08
1812,1.0788856940280311e-05,8.00162425207418e-09
1813,9.303023773554742e-06,0.0
1814,7.325464238761015e-06,2.2026739543434815e-08
1815,9.127404766218206e-06,5.394447111228828e-09
1816,8.081484850208653e-06,1.1588019432906549e-08
1817,7.968077664344264e-06,9.341240669868967e-09
1818,8.528410489816451e-06,1.1921177378582115e-09
1819,8.172153641794466e-06,1.3456364911235141e-08
1820,7.181594508409717e-06,8.306536791735653e-09
1821,6.7215905588113856e-06,9.861488514673056e-09
1822,8.149823329972605e-06,1.2030739071633434e-08
1823,6.7113327801848754e-06,9.882686669016039e-09
1824,7.527632703840936e-06,1.1789557774477544e-08
1825,7.487268231187727e-06,1.4969253392393966e-08
1826,8.103345280119356e-06,3.699353356978463e-08
1827,7.783987014065019e-06,3.871254605769536e-08
1828,7.69739506267797e-06,1.0089531210510927e-08
1829,8.64176151793572e-06,4.0293926084622456e-08
1830,8.167867537878237e-06,6.262101504006523e-09
1831,8.966502967666656e-06,6.548306430431694e-08
1832,8.223515258976022e-06,3.3824925083081325e-08
1833,9.679280147167901e-06,1.6217079235048004e-08
1834,8.237723786663764e-06,2.0535968259238757e-08
1835,8.491078808958719e-06,1.8151411040889798e-08
1836,6.8820482610476574e-06,3.8308275662757296e-08
1837,7.70795137583491e-06,2.1569462660409044e-08
1838,7.458450674846517e-06,1.9567702125300457e-08
1839,6.9446324175714835e-06,1.7478688718597368e-08
1840,7.442981001304361e-06,1.4013314952876499e-08
1841,7.3110786047436704e-06,1.8619591202195807e-08
1842,6.6042869377724855e-06,1.2074876654111222e-08
1843,7.415536231292208e-06,3.1306630177141415e-08
1844,7.332169111862186e-06,2.360081374774836e-08
1845,7.733079932847886e-06,1.2276501593078137e-08
1846,7.986125666548105e-06,1.1709002656346001e-08
1847,6.925438384541849e-06,2.6426795862732888e-08
1848,6.943831074579521e-06,3.218088684420195e-09
1849,7.152668619170299e-06,1.256912263158938e-08
1850,6.721785084096155e-06,1.3577992064028876e-08
1851,7.5155312018182485e-06,2.1283147688677673e-08
1852,8.450037128682197e-06,1.2370035884501362e-08
1853,7.715138671926525e-06,2.149895506065036e-08
1854,8.09380572519558e-06,2.026309059433018e-08
1855,8.42688534419267e-06,8.491099379170919e-09
