year,mes_DET années_NOUN,mes_DET damnés_NOUN
1800,1.3519907327008696e-07,0.0
1801,1.2858386355674156e-07,0.0
1802,1.5664880947952042e-07,0.0
1803,1.1897069196464827e-07,1.1702034896643454e-08
1804,1.6314216177981677e-07,0.0
1805,1.8194417528150097e-07,0.0
1806,1.2103009794373065e-07,0.0
1807,1.508886242618246e-07,0.0
1808,1.2010191596800723e-07,0.0
1809,9.487928487317276e-08,0.0
1810,2.0827127578115778e-07,0.0
1811,1.504246114336638e-07,2.5070767684098882e-09
1812,1.386948245141184e-07,0.0
1813,1.5241430628698538e-07,0.0
1814,7.866692497415784e-08,0.0
1815,1.3216395267079406e-07,5.394447111228828e-09
1816,5.5622493277951435e-08,0.0
1817,1.2143612426740447e-07,0.0
1818,1.1801965271729387e-07,4.768470951432846e-09
1819,1.3766896778122373e-07,0.0
1820,2.4326285696929517e-07,0.0
1821,2.3470341670162043e-07,0.0
1822,1.8246620925310708e-07,0.0
1823,1.3736934434405157e-07,9.882686891060644e-10
1824,1.642117029021506e-07,0.0
1825,1.4440927031955653e-07,8.805443041381977e-10
1826,1.2859657771979727e-07,0.0
1827,1.5116327212183478e-07,0.0
1828,9.906085285393829e-08,0.0
1829,1.3116959074466195e-07,0.0
1830,1.9621251290402597e-07,5.218417920005436e-09
1831,1.2161140539035387e-07,1.5591206103948707e-09
1832,1.5965363431291735e-07,0.0
1833,1.7954624809135566e-07,0.0
1834,2.3896399170553195e-07,0.0
1835,1.5655591312224715e-07,0.0
1836,1.787719483559158e-07,6.720750067579218e-10
1837,1.405494014505848e-07,2.0873671680021744e-09
1838,1.6979715811160645e-07,1.2624323808552163e-09
1839,1.4192694663961447e-07,6.292327547896548e-09
1840,1.401331459760513e-07,2.5478754661634184e-09
1841,9.695028602152433e-08,3.2102742686390684e-09
1842,1.482526537088802e-07,3.3541325272778977e-09
1843,1.2995204690113837e-07,1.1813822142769936e-09
1844,1.2953004180360495e-07,1.097712254427563e-09
1845,1.3169337309548723e-07,0.0
1846,1.5046068391200151e-07,3.5127007969038004e-09
1847,9.653870325365688e-08,1.6179670936367074e-09
1848,1.3113711272438877e-07,0.0
1849,2.9746923146944937e-07,0.0
1850,2.4440385537616294e-07,0.0
1851,1.3801798459667225e-07,0.0
1852,1.2630458012807821e-07,0.0
1853,1.2600775978199863e-07,0.0
1854,1.6989822082535966e-07,1.558699391779328e-09
1855,1.6080018738762192e-07,1.0613874223963649e-09
1856,1.708472510131287e-07,5.177189232874468e-10
1857,1.6743576769506774e-07,4.881509085841174e-10
1858,1.7812981312204101e-07,9.787352039936081e-10
1859,1.675324998728911e-07,2.036869339860914e-09
1860,2.128390539368752e-07,9.154367819341758e-10
1861,1.876953525936642e-07,4.715963730639317e-10
1862,2.2228491847187115e-07,0.0
1863,1.6632086841106286e-07,2.4973103585068657e-09
1864,1.8795333822652083e-07,0.0
1865,1.492069707786925e-07,0.0
1866,1.3623716199617775e-07,4.865612912574591e-10
1867,1.2277612881916866e-07,0.0
1868,1.1855697579221669e-07,1.975949626142892e-09
1869,1.2355303180555666e-07,4.883519144627257e-10
1870,1.376171727685005e-07,7.454263428741115e-09
1871,1.2745412103498666e-07,0.0
1872,1.2578465380386206e-07,2.4189357183956872e-09
1873,1.281004962105925e-07,1.1972008939764578e-09
1874,1.1292011059538254e-07,1.7923826867161097e-09
1875,1.3273943011427036e-07,1.1443054281912168e-09
1876,7.980739336055365e-08,0.0
1877,1.354474701287245e-07,1.8554447978047506e-09
1878,7.548860625483655e-08,0.0
1879,1.4234727530038072e-07,6.720257683667796e-09
1880,1.238644351531093e-07,6.417846254436199e-10
1881,1.0040410725054016e-07,6.972507571312292e-10
1882,1.4575293150187463e-07,1.3310770263785798e-09
1883,1.6177507689008053e-07,0.0
1884,1.115686796282489e-07,0.0
