year,deux_DET ans_NOUN,deux_DET dents_NOUN
1800,2.2854931899018993e-05,1.4526040104101412e-06
1801,2.3223673565553327e-05,1.185828921279608e-06
1802,2.085667028950411e-05,2.137137329327743e-06
1803,2.4190056933548476e-05,2.586149761896195e-06
1804,2.3707521563665068e-05,1.6759148877554253e-06
1805,2.2211403233995952e-05,1.6460261420547795e-06
1806,2.2747895627617254e-05,1.671368085709446e-06
1807,2.258774270558206e-05,5.864727747884046e-07
1808,2.4518920781702036e-05,7.387400984271153e-07
1809,2.840279148585978e-05,7.387029654637445e-07
1810,2.6696166401052324e-05,5.943922136708579e-07
1811,3.280509974956658e-05,9.702386569721e-07
1812,2.6082628437507083e-05,9.175196282740217e-07
1813,3.1233429126587e-05,3.4796474324139126e-07
1814,2.4880776663849247e-05,4.373881301589222e-07
1815,2.3681622224103194e-05,7.552225791407352e-07
1816,2.473346808073984e-05,1.7057564214439935e-06
1817,2.219478722054191e-05,2.9409337942709612e-06
1818,3.026667786798498e-05,1.2386102810069133e-06
1819,2.980895442306064e-05,1.4232693459348411e-06
1820,2.7404452112023137e-05,6.455365735291707e-07
1821,2.7602306658991438e-05,4.6546225163091037e-07
1822,2.485450363565178e-05,5.955216124675644e-07
1823,2.552006230871484e-05,1.0574474487157204e-06
1824,2.455596381878422e-05,1.5259056382888048e-06
1825,2.67033868794897e-05,1.1464687332818357e-06
1826,2.652524437962711e-05,9.732822796593155e-07
1827,2.612636023968662e-05,1.011134804329572e-06
1828,2.5398102252438548e-05,1.285956617635975e-06
1829,2.4340104346265434e-05,1.1093689877839097e-06
1830,2.482610079823644e-05,1.3734875690118997e-06
1831,2.5248398742405698e-05,6.158526506538919e-07
1832,2.9634691827595816e-05,1.0715736067368198e-06
1833,2.7282920427751378e-05,8.409714133961188e-07
1834,2.739498177106725e-05,7.775664307985153e-07
1835,2.686635718873731e-05,1.3568179610956577e-06
1836,2.6696162990447192e-05,9.16038244369588e-07
1837,2.8485605525929714e-05,7.674553934577943e-07
1838,2.7173224907528493e-05,5.13178754601995e-07
1839,2.7301010732116993e-05,9.599295545115183e-07
1840,2.7588395710154145e-05,5.331429537847043e-07
1841,2.8096961841583834e-05,6.170147415218707e-07
1842,2.8579222544067306e-05,5.574568398003521e-07
1843,2.9381567173913936e-05,8.872180643493266e-07
1844,2.8093749506297172e-05,7.442489327047497e-07
1845,2.7340885026205797e-05,9.079030895975393e-07
1846,2.7226357588006067e-05,6.147226496722169e-07
1847,2.8703275120278704e-05,8.418822048383845e-07
1848,2.6990914420821355e-05,6.259182301349142e-07
1849,2.7888368208550673e-05,9.70336265559979e-07
1850,3.013160096543288e-05,8.798538999599259e-07
1851,2.796025250972889e-05,7.300764792717018e-07
1852,2.756174353635288e-05,7.767080951737171e-07
1853,2.838459215581679e-05,1.0403105008549574e-06
1854,2.7388944317863206e-05,6.188036252297024e-07
1855,2.8526910000437056e-05,9.149159687638075e-07
1856,2.7127954467687232e-05,7.657063152421983e-07
1857,2.754928391368594e-05,6.219042596455893e-07
1858,2.9581783110188553e-05,6.136669785661297e-07
1859,2.6821495794138173e-05,6.523074169706433e-07
1860,2.7797695111075882e-05,7.593547834972014e-07
1861,2.742851677339786e-05,5.475233919582934e-07
1862,2.87727953036665e-05,8.552548038665009e-07
1863,2.9034730005150777e-05,4.2104653363850275e-07
1864,2.896159435294976e-05,6.750976808689302e-07
1865,2.775767245566385e-05,5.450525755179569e-07
1866,2.68596435262225e-05,4.802359914179988e-07
1867,2.9428904326778138e-05,5.837932448571337e-07
1868,2.9551809120675898e-05,6.411956636753757e-07
1869,2.830145899679337e-05,5.630697543779206e-07
1870,3.1369834005090524e-05,5.946208414542298e-07
1871,2.669208049610461e-05,1.0663661740295538e-06
1872,2.914938397680089e-05,5.986865739826541e-07
1873,2.9397268122011155e-05,6.117696358387548e-07
1874,2.866796694434015e-05,6.930546518901792e-07
1875,3.0118691029201727e-05,5.481223119829792e-07
1876,2.98455477150128e-05,6.493419881792306e-07
1877,3.3209986895599286e-05,6.772373790653319e-07
1878,2.9792636951242457e-05,5.495570540858807e-07
1879,3.0991385528977844e-05,5.351769136741069e-07
1880,3.225737805223616e-05,5.076516504942674e-07
1881,3.171235971421993e-05,7.460583297813628e-07
1882,3.1965148309609503e-05,6.489000767828657e-07
1883,3.178627571287507e-05,5.832749803147408e-07
1884,3.18584695833124e-05,6.126374936243906e-07
1885,3.1833060688768455e-05,6.200701445635559e-07
1886,3.253578302064852e-05,6.743869835901251e-07
1887,3.179912778250582e-05,1.4761898690096587e-06
1888,3.195225986019068e-05,5.154919948680003e-07
1889,3.074615801779146e-05,6.089712627499466e-07
1890,3.231377991141926e-05,5.361487946942134e-07
1891,3.154346518385864e-05,7.55345093139681e-07
1892,3.065239866373304e-05,5.428531952844651e-07
1893,3.1418393291460234e-05,5.751961129618621e-07
1894,3.152282101837045e-05,4.997120379712783e-07
1895,3.274788468843326e-05,6.26537795866966e-07
1896,3.278040458098985e-05,1.0614652454776774e-06
1897,3.210926990959706e-05,7.190164641457386e-07
1898,3.32315192963506e-05,5.652696781766053e-07
1899,3.468334239187243e-05,6.31249474025708e-07
1900,3.3337982358716545e-05,7.163653510389167e-07
1901,3.3795664421631955e-05,6.069370517280959e-07
1902,3.1959074135556875e-05,1.2943508416185523e-06
1903,3.471207753591443e-05,8.591750724207259e-07
1904,3.506029383970599e-05,5.224135666281882e-07
1905,3.591010840864328e-05,5.898747765797907e-07
1906,3.436212386986881e-05,6.39422133019707e-07
1907,3.316722597901389e-05,6.022269474215136e-07
1908,3.454523653090291e-05,5.957515165633254e-07
1909,3.37133274115331e-05,6.887231345231726e-07
1910,3.3754188734747004e-05,5.54722840107047e-07
1911,3.3795017770898994e-05,5.628956065706348e-07
1912,3.3738815545802936e-05,5.772038615958763e-07
1913,3.5336472137714736e-05,6.167377204491231e-07
1914,3.413932836338063e-05,5.638658171491784e-07
1915,2.880278543671011e-05,7.433660531575015e-07
1916,3.375677863459714e-05,4.5488091693357546e-07
1917,3.629228478985169e-05,4.847159633669662e-07
1918,3.277867313045135e-05,4.043204384629462e-07
1919,3.135364443096478e-05,6.878262652776357e-07
1920,3.053881027881289e-05,5.936629587921516e-07
1921,3.2526465020055184e-05,6.050625174225388e-07
1922,3.241569652345788e-05,5.016996409423768e-07
1923,3.0924257202968874e-05,5.191198511056427e-07
1924,3.166698650147737e-05,5.130866571612103e-07
1925,3.0753105420444626e-05,6.928852123166962e-07
1926,3.0308580107885064e-05,4.5810628179765445e-07
1927,3.102717823821877e-05,4.2144069212213253e-07
1928,3.161014262786921e-05,4.3533216675939457e-07
1929,3.247651284254971e-05,3.876861445206714e-07
1930,3.192990504885529e-05,4.28547032527149e-07
1931,3.186314438607951e-05,4.4366836071674243e-07
1932,3.183416583851795e-05,4.0988666150099107e-07
1933,3.212588285350648e-05,3.3264921706077644e-07
1934,3.025828209501924e-05,4.1096821234987146e-07
1935,3.052989586649346e-05,4.835186722118578e-07
1936,2.985468540828151e-05,5.662241591153361e-07
1937,3.0250160534706083e-05,5.174949651021166e-07
1938,2.9403809890027333e-05,4.3822425865869263e-07
1939,2.8419404770829715e-05,4.3129221083404445e-07
1940,2.8238477625563974e-05,7.252338960483939e-07
1941,2.830786206686753e-05,5.814460184438985e-07
1942,2.9547154781539575e-05,5.643634093388528e-07
1943,2.72352497177053e-05,7.780670543411361e-07
1944,2.6357765818829648e-05,6.362108493362939e-07
1945,3.167109116475331e-05,5.816605863628865e-07
1946,2.8896035473735537e-05,4.0510412091521175e-07
1947,3.090605014222092e-05,4.5418518901385596e-07
1948,2.8923570425831713e-05,4.751014932580233e-07
1949,3.0817552215012256e-05,4.1525943972331447e-07
1950,2.9563114708253124e-05,5.38149294015966e-07
1951,2.901074094552314e-05,5.042843280733678e-07
1952,2.819891517447104e-05,7.718796517508508e-07
1953,2.8738107403114554e-05,5.160663398839915e-07
