year,les_DET ans_NOUN,les_DET dents_NOUN
1800,1.693132617219817e-05,1.4702113162456953e-05
1801,1.832796260714531e-05,1.2203560686430137e-05
1802,1.82630137715023e-05,2.2004682477927417e-05
1803,1.89514466910623e-05,1.658568464790733e-05
1804,1.9670989786391146e-05,1.19884771265788e-05
1805,1.4603862837248016e-05,2.1779285361844813e-05
1806,1.6134465113282204e-05,9.103193065129744e-06
1807,1.3924457562097814e-05,7.578594420465379e-06
1808,2.0578218027367257e-05,9.898211544623337e-06
1809,2.5804905817494728e-05,1.0251480489387177e-05
1810,1.5220184650388546e-05,8.372973979930975e-06
1811,1.898358459584415e-05,9.654752545884548e-06
1812,1.2181139936728869e-05,1.1823733984783757e-05
1813,1.2598624380188994e-05,7.65522420920206e-06
1814,1.43394081533188e-05,1.940555705459701e-05
1815,1.360209807899082e-05,9.370154202770209e-06
1816,1.250347304448951e-05,1.041762970999116e-05
1817,1.3660007425642107e-05,1.4840117387393548e-05
1818,1.4607018783863168e-05,1.1384724416529934e-05
1819,1.5006952708063181e-05,1.0225802043350996e-05
1820,1.4165018910716753e-05,8.906980951906007e-06
1821,1.4544709301844705e-05,7.524315378759638e-06
1822,1.308543414779706e-05,8.499717353060987e-06
1823,1.2178435099485796e-05,9.576323691362632e-06
1824,1.1067026207456365e-05,8.891010679690226e-06
1825,1.3106901860737707e-05,1.2630527066903596e-05
1826,1.3817965736961924e-05,8.995594612315472e-06
1827,1.2623977454495616e-05,8.501091258494853e-06
1828,1.181117204396287e-05,1.0457340295033646e-05
1829,1.2647149560507387e-05,9.872012242340134e-06
1830,1.240835445059929e-05,1.1583843843254726e-05
1831,1.045702174451435e-05,1.1345720508870727e-05
1832,1.1064808859373443e-05,1.0477608327619237e-05
1833,1.223231174662942e-05,1.6784678109615925e-05
1834,1.3057141586614307e-05,1.2024743114125158e-05
1835,1.317868100159103e-05,1.363851617952605e-05
1836,1.1751231795642525e-05,1.1431996085775609e-05
1837,1.2489414075389504e-05,1.1330229312989104e-05
1838,1.424023685103748e-05,8.588958337441e-06
1839,1.132199486164609e-05,1.1290533507235523e-05
1840,1.148263800132554e-05,7.983130615230039e-06
1841,1.129374504671432e-05,9.761159788013174e-06
1842,1.1474487109808251e-05,8.579199800351489e-06
1843,1.1633661415544339e-05,1.0298108463757671e-05
1844,1.2247724043845665e-05,8.241623618232552e-06
1845,1.1073404493799899e-05,9.320654669409123e-06
1846,1.2638697626243811e-05,9.849027946984279e-06
1847,1.2484773833421059e-05,7.186470497799746e-06
1848,1.2595599400810897e-05,8.542416594536917e-06
1849,1.1974183507845737e-05,8.954242389336287e-06
1850,1.2649257769226097e-05,8.52086895974935e-06
1851,1.1113673281215597e-05,7.234980216708209e-06
1852,1.1776274732255843e-05,8.202636195164814e-06
1853,1.1919975804630667e-05,1.110420998884365e-05
1854,1.1197176718269475e-05,7.757127150398446e-06
1855,1.1140853530378081e-05,9.50525503640165e-06
1856,1.0548523277975619e-05,7.674665141621517e-06
1857,1.0285827556799632e-05,7.702044911184203e-06
1858,9.45213560044067e-06,7.518154461649829e-06
1859,9.868123015621677e-06,7.647425945833675e-06
1860,1.0040510460385121e-05,9.665639026934514e-06
1861,9.688475984148681e-06,8.305755500259693e-06
1862,1.0097247468365822e-05,7.693678753639688e-06
1863,1.0330873919883743e-05,7.297640308934206e-06
1864,9.519452760287095e-06,7.923767441297969e-06
1865,9.946033060259651e-06,7.849133510262618e-06
1866,9.192115612677298e-06,7.223975444503594e-06
1867,9.765797585714608e-06,8.217265644816507e-06
1868,1.0073391422338318e-05,8.607236736679624e-06
1869,9.157086424238514e-06,7.82339753868655e-06
1870,9.029407010530122e-06,7.960579921473254e-06
1871,8.709364919923246e-06,8.653073223285901e-06
1872,9.156276064459234e-06,8.83032498677494e-06
1873,8.97002792044077e-06,9.350138725494617e-06
1874,1.0045110684586689e-05,1.0441226777402335e-05
1875,9.419922207598574e-06,8.642367049560562e-06
1876,9.910022527037654e-06,8.60892004084235e-06
1877,9.389169463247526e-06,1.010846312965441e-05
1878,9.713874533190392e-06,8.692664209775103e-06
1879,1.0815949281095527e-05,8.484630939165072e-06
1880,9.620993296266533e-06,8.329722788857907e-06
1881,9.83193331194343e-06,8.154347540312301e-06
1882,1.0076918442791793e-05,9.387420959683368e-06
1883,1.0116629709955305e-05,8.071059482972487e-06
1884,9.628574844100513e-06,8.722162363028474e-06
1885,9.615599083190318e-06,8.659711568270723e-06
1886,9.386562851432245e-06,8.592141739427461e-06
1887,9.400998351338785e-06,9.400345561516588e-06
1888,9.421519280294888e-06,7.288536778560228e-06
1889,9.19220838113688e-06,7.734311509466352e-06
1890,9.003761078929529e-06,7.813484103280643e-06
1891,8.952591997513082e-06,8.991475169750629e-06
1892,8.901287401386071e-06,7.4639177682911395e-06
1893,8.342806722794194e-06,7.627814795796439e-06
1894,8.549928679713048e-06,7.328690060148801e-06
1895,8.554859050491359e-06,6.929230892183114e-06
1896,8.641506610729266e-06,7.589476524572092e-06
1897,8.419600817433093e-06,7.644065362910624e-06
1898,8.237999281845987e-06,8.004874871403445e-06
1899,9.059148396772798e-06,7.060928851387871e-06
1900,8.995575626613572e-06,6.894237685628468e-06
1901,8.17911950434791e-06,8.234448159782914e-06
1902,7.427295258821687e-06,1.6667958220750734e-05
1903,8.568529665353708e-06,6.673052382666356e-06
1904,8.498895113007165e-06,8.1248209653495e-06
1905,8.56840779306367e-06,6.994893055889406e-06
1906,8.298084139823914e-06,7.4801586720241175e-06
1907,8.477462870359886e-06,7.6052365329815075e-06
1908,8.340030035469681e-06,7.521792554143758e-06
1909,8.003380571608432e-06,7.383419927009527e-06
1910,7.751690645818599e-06,7.902395395831263e-06
1911,7.850743713788688e-06,7.019701854460436e-06
1912,7.621904387633549e-06,6.317986219528393e-06
1913,7.231156814668793e-06,6.59744966924336e-06
1914,6.806570127082523e-06,6.422846809073235e-06
1915,6.017613031872315e-06,6.144845315247949e-06
1916,5.304746537149185e-06,5.400337471428429e-06
1917,5.152026005816879e-06,6.97793603876562e-06
1918,5.2573145694623236e-06,5.7167696070337115e-06
1919,5.5311543292191345e-06,5.579956166457123e-06
1920,5.472451903187903e-06,7.1360711899615126e-06
1921,5.203234650252853e-06,7.712085903222032e-06
1922,5.073068223282462e-06,8.178441305517481e-06
1923,5.827093900734326e-06,6.506514409920783e-06
1924,5.576916919380892e-06,6.1351242948148865e-06
1925,5.7465481404506136e-06,7.212605282802542e-06
1926,5.318937382980948e-06,7.114580057532294e-06
1927,5.533360308618285e-06,6.492193847407179e-06
1928,5.39766188012436e-06,6.675093288777134e-06
1929,5.891046839678893e-06,6.911507909990178e-06
1930,5.328477982402546e-06,7.037414547994558e-06
1931,5.560111276281532e-06,6.155471226065856e-06
1932,5.027139650337631e-06,7.1971278998717025e-06
1933,4.939267000736436e-06,6.873220968373062e-06
1934,5.011895154893864e-06,6.0255367770878365e-06
1935,5.340248208085541e-06,6.763277440313686e-06
1936,4.579504548019031e-06,6.564320642610255e-06
1937,4.5453934944816865e-06,5.7667319879328716e-06
1938,4.676552634919062e-06,6.811923526583996e-06
1939,4.670802809414454e-06,7.012322157606832e-06
1940,4.412262114783516e-06,6.0478421914922365e-06
1941,3.825147359748371e-06,9.164415359919076e-06
