year,aux_ADP ans_NOUN,aux_ADP dents_NOUN
1800,2.5153315874604232e-08,9.432493470740155e-07
1801,3.0955374485941434e-08,7.810278930264758e-07
1802,6.713520406265161e-08,1.7455153056289419e-06
1803,9.751696339321825e-09,1.0024743914982537e-06
1804,4.943701892301533e-09,1.1271640687482432e-06
1805,1.1371510844071508e-08,1.8905136585090077e-06
1806,7.204172636221529e-08,7.694056307627761e-07
1807,3.131650672116848e-08,5.693910338777641e-07
1808,2.4926813502190726e-08,6.775561018912413e-07
1809,9.036122072814123e-09,7.748474786239967e-07
1810,1.4040760554223652e-08,6.692762326565571e-07
1811,8.774768645025688e-08,1.0304084980816697e-06
1812,2.1337665856435706e-08,1.133563500843593e-06
1813,1.7254450312975678e-08,5.895270192013413e-07
1814,1.8880061958270744e-08,2.212113940913696e-06
1815,4.315557688983063e-08,6.33847548670019e-07
1816,2.3176038865813098e-08,5.909889750910224e-07
1817,1.5568734412774177e-08,9.932851980920532e-07
1818,2.6226590676969863e-08,1.0359502766732476e-06
1819,4.968504008218133e-08,8.798392627795693e-07
1820,1.6613073583471305e-08,8.947326932684518e-07
1821,1.0847637454958203e-08,6.873457323308685e-07
1822,4.110502516141423e-08,7.910210797490436e-07
1823,1.1859224047228167e-08,6.868467608001083e-07
1824,7.831634540877985e-08,7.351631552410254e-07
1825,2.0252518551089338e-08,1.098919256037334e-06
1826,1.6735169472426037e-08,7.522018563577149e-07
1827,1.198245475064752e-08,7.963723760440189e-07
1828,1.9261833017480967e-08,6.998465664764808e-07
1829,1.971830487779158e-08,6.764236104572774e-07
1830,2.5048405571936883e-08,8.203352876989811e-07
1831,9.354723218280014e-09,1.0259013834001962e-06
1832,2.3000947924067816e-08,9.376268508276553e-07
1833,2.5483982257767934e-08,1.5023965715954546e-06
1834,2.7070139907436896e-08,9.595897836334188e-07
1835,1.663879345414898e-08,1.27438033814542e-06
1836,2.3522625958172227e-08,8.508469591106405e-07
1837,1.2524203452102256e-08,9.2748683755417e-07
1838,2.398621434807069e-08,7.940699902064807e-07
1839,1.6080393461237463e-08,8.746335424802965e-07
1840,3.3759350870354865e-08,8.892085361367208e-07
1841,8.988767952189392e-09,8.520067922290764e-07
1842,1.609983613093391e-08,8.043209618335823e-07
1843,3.366939316240547e-08,1.0278025683874148e-06
1844,1.1525978838022866e-08,6.800327696510067e-07
1845,1.0044410247989077e-08,8.141552712004341e-07
1846,1.4050803187615202e-08,7.698669151068316e-07
1847,1.887628364727334e-08,6.488048143182823e-07
1848,2.091757700384278e-08,6.621217494284792e-07
1849,4.77626631578687e-08,6.150490321488178e-07
1850,2.2403687793826066e-08,8.947896503741504e-07
1851,1.805842853030981e-08,6.875101803416328e-07
1852,2.148479971708639e-08,7.42202189485397e-07
1853,1.4332636411040767e-08,8.241265732067404e-07
1854,1.8184825922862302e-08,6.993364536356239e-07
1855,1.963566731433275e-08,9.525952009425964e-07
1856,1.4496130074093116e-08,7.201469998108223e-07
1857,2.147864064383498e-08,7.678613656025846e-07
1858,2.936205545367443e-08,7.418813083859277e-07
